Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Males,Total,Chronic liver disease,Denmark,19.93,19.53,17.1,17.89,16.3,15.94,16.79,15.4,16.59,15.61,16.08
Annual,Rate,Males,Total,Chronic liver disease,Estonia,27.83,24.73,29.5,32.89,34.88,37.79,33.52,35.18,36.59,50.45,51.77
Annual,Rate,Males,Total,Chronic liver disease,Greece,11.79,10.8,11.51,10.84,10.28,10.46,9.98,8.83,9.05,9.51,9.61
Annual,Rate,Males,Total,Chronic liver disease,Spain,17.28,16.24,15.85,15.13,15.14,14.18,14.43,13.37,13.28,12.85,13.11
Annual,Rate,Males,Total,Chronic liver disease,European Union - 27 countries (from 2020),23.73,23.39,22.14,21.62,21.37,21.44,21.17,21.33,21.19,21.42,22.1
Annual,Rate,Males,Total,Chronic liver disease,Finland,30.37,32.77,33.3,32.5,27.72,28.57,26.15,27.2,28.19,31.1,30.28
Annual,Rate,Males,Total,Chronic liver disease,France,18.42,18.24,17.48,17.16,17.16,16.6,16.1,15.95,15.67,15.52,15.86
Annual,Rate,Males,Total,Chronic liver disease,Croatia,45.65,43.02 d,41.43 d,40.69,36.56,35.73,37.4,39.56,39.32,33.65,38.18
Annual,Rate,Males,Total,Chronic liver disease,Hungary,64.85 d,57.76 d,53.13 d,53.76,50.59,49.12,47.93,50.16,49.42,50.56,52.08
Annual,Rate,Males,Total,Chronic liver disease,Ireland,9.74,11.34,11.4,10.09,9.57,9.64,8.74,9.47,10.22,8.48,11.83
Annual,Rate,Males,Total,Chronic liver disease,Iceland,1.29,1.57,4.92,3.99,3.83,3.52,8.71,3.71,4.31,6.85,6.48
Annual,Rate,Males,Total,Chronic liver disease,Italy,14.5,13.5,12.53,12.38,11.88,11.41,11.28,10.77,10.57,10.19,10.12
Annual,Rate,Males,Total,Chronic liver disease,Liechtenstein,14.25,15.42,14.42,:,5.26,24.29,4.96,8.9,18.89,4.19,0.0
Annual,Rate,Males,Total,Chronic liver disease,Lithuania,47.47,43.04,45.03,39.8,37.01,39.65,34.46,31.46,30.5,37.96,39.27
Annual,Rate,Males,Total,Chronic liver disease,Luxembourg,17.09,21.3,18.88,22.89,15.13,24.48,18.9,21.22,22.88,18.52,18.2
