Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Albania,3946.8,4253.3,4354.6,4627.8,4777.4,4938.7 p,5272.6 p,5673.5 p,5877.4 p,5979.5 p,6229.1 p,6370.0 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Austria,107205.4,106241.8,111621.0,114695.9,115643.5,118062.0,118601.2,118554.1,118711.6,119481.8,120544.1,120454.9
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Belgium,131597.3,135227.0,139603.3,143071.8,145641.5,148424.6 p,148537.8 p,149442.1 p,149916.0 p,151532.0 p,152992.0 p,154525.3 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Bulgaria,18772.5,19895.1,20853.2,21941.6,23030.3,23369.4,23205.9,23531.8,24585.0,25244.7 p,25727.6 p,26070.1 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Switzerland,181136.7,187061.0,192909.0,204643.1,203317.5,202389.1,204763.1,209037.4,211437.0,215594.6,211498.0,217694.7
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Cyprus,6820.8,7120.3,7221.1,7501.0,7573.6,7677.7,7724.4,7912.6,8025.2,8166.5,8317.1,8362.9
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Czechia,64150.5,68942.1,70534.2,72921.6,74552.2,78987.4,80902.6,79286.2,78593.7,78355.8,80020.6,80011.4
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Germany,944587.0 p,962521.0 p,979029.0 p,993638.0 p,1012073.0 p,1029719.0 p,1041192.0 p,1052400.0 p,1063813.0 p,1068064.0 p,1073823.0 p,1078075.0 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),Denmark,91340.5,91795.7,95367.6,98427.5,96721.9,95848.1,93809.6,92792.7,93978.1,95247.7,96794.1,99618.5
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,Million euro (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3247790.3,3311255.9,3382776.1,3445588.6,3507428.4,3594580.3,3637236.6,3663745.7,3706584.6,3738648.7,3764019.0,3799641.5
