Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Per thousand inhabitants,Females,Total,Albania,:,:,:,:,:,:,:,:,0.6,0.4
Annual,Per thousand inhabitants,Females,Total,Austria,0.9,0.8,0.8,0.8,1.0,1.0,0.8,0.7,0.7,0.8
Annual,Per thousand inhabitants,Females,Total,Belgium,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Annual,Per thousand inhabitants,Females,Total,Bulgaria,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7
Annual,Per thousand inhabitants,Females,Total,Switzerland,1.5,1.5,1.5,1.5,1.6,1.6,1.7,1.8,1.8,:
Annual,Per thousand inhabitants,Females,Total,Cyprus,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.6,0.6
Annual,Per thousand inhabitants,Females,Total,Czechia,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.6,0.7,0.7
Annual,Per thousand inhabitants,Females,Total,Germany,1.2,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.2,1.2
Annual,Per thousand inhabitants,Females,Total,Denmark,1.3,1.5,1.6,1.6,1.5,1.4,1.4,1.2,1.3,1.2
Annual,Per thousand inhabitants,Females,Total,Estonia,0.7,0.6,0.6,0.7,0.8,0.6,0.7,0.7,0.6,0.7
Annual,Per thousand inhabitants,Females,Total,Greece,0.5,0.6,0.6,0.8,0.7,0.6,0.7,0.7,0.8,0.9
Annual,Per thousand inhabitants,Females,Total,Spain,0.8,0.9,1.0,1.3,1.8,1.7,0.9,0.9,1.0,1.1
Annual,Per thousand inhabitants,Females,Total,European Union - 27 countries (from 2020),0.9,0.9,0.9,0.9,0.9,0.9 d,0.8 d,0.8,0.8,0.9 d
Annual,Per thousand inhabitants,Females,Total,European Union - 28 countries (2013-2020),0.9,0.9,1.0,1.0,1.0,1.0 d,0.9 d,:,:,:
Annual,Per thousand inhabitants,Females,Total,Finland,1.4,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.2,1.2
Annual,Per thousand inhabitants,Females,Total,France,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.9
Annual,Per thousand inhabitants,Females,Total,Croatia,0.8,0.8,0.9,0.6,0.7,0.7,0.8,0.7,0.8,0.9
Annual,Per thousand inhabitants,Females,Total,Hungary,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.7
Annual,Per thousand inhabitants,Females,Total,Ireland,1.0,1.2,1.0,1.2,1.1,1.2 d,1.3 d,1.2 d,1.4 d,1.3 d
Annual,Per thousand inhabitants,Females,Total,Iceland,0.6,1.1,0.8,1.0,0.9,0.7,0.9,0.8,0.7,0.9
Annual,Per thousand inhabitants,Females,Total,Italy,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6 p,0.6,0.7
Annual,Per thousand inhabitants,Females,Total,Liechtenstein,1.5,0.9,1.3,2.2,2.2,1.5,1.5,1.1,1.3,:
Annual,Per thousand inhabitants,Females,Total,Lithuania,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6
Annual,Per thousand inhabitants,Females,Total,Luxembourg,0.3,0.4,0.6,0.5,0.8,0.5,0.5,0.5,0.6,0.9
Annual,Per thousand inhabitants,Females,Total,Latvia,0.6,0.6,0.5,0.4,0.3,0.2,0.3,0.3,0.3,0.5
Annual,Per thousand inhabitants,Females,Total,North Macedonia,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4
Annual,Per thousand inhabitants,Females,Total,Malta,0.2,0.1,0.2,0.2,0.4,0.3,0.2,0.4,0.8,0.5
Annual,Per thousand inhabitants,Females,Total,Netherlands,1.0,1.0,1.1,1.2,1.1,1.1,:,1.0 e,1.2 e,:
Annual,Per thousand inhabitants,Females,Total,Norway,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.1,:
Annual,Per thousand inhabitants,Females,Total,Poland,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.4
Annual,Per thousand inhabitants,Females,Total,Portugal,1.0,1.1,1.0,1.1,1.0,1.1,1.0,0.9,1.0,1.1
Annual,Per thousand inhabitants,Females,Total,Romania,1.0,0.7,0.8,0.5,0.4,0.4,0.4,0.4,0.6,0.6
Annual,Per thousand inhabitants,Females,Total,Serbia,:,0.4,0.6,0.6,1.0,0.6,0.5,0.5,0.5,0.5
Annual,Per thousand inhabitants,Females,Total,Sweden,1.3,1.4,1.3,1.2,1.2,1.1,1.0,1.0,0.9,1.0
