Time frequency,External trade indicator,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Ireland,-1.1,-1.1,-1.5,-1.9,-2.0,-2.4,-3.1,-2.3,-2.8,-3.2,-3.0,-3.1,-2.6,-1.5,-1.1,-1.1,-1.4,-1.2,-0.7,-1.2,-2.1,-1.8
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Italy,-1.4,-1.3,-2.0,-2.6,-3.2,-2.9,-3.6,-2.6,-3.2,-3.6,-3.8,-3.3,-2.6,-2.0,-1.5,-1.9,-2.2,-2.0,-1.3,-2.6,-5.4,-2.9
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Lithuania,-1.7,-1.4,0.1,-2.3,-3.3,-4.2,-5.7,-4.1,-7.2,-7.7,-7.5,-6.1,-4.7,-3.6,-2.6,-3.0,-3.9,-3.6,-2.4,-4.8,-10.5,-3.8
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Luxembourg,-3.7,-3.8,-4.4,-5.5,-5.8,-5.2,-6.3,-3.9,-4.6,-5.7,-6.0,-5.1,-4.2,-2.9,-2.3,-2.7,-3.3,-3.2,-2.0,-2.8,-5.1,-3.9
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Latvia,-3.6,-4.0,-4.7,-5.0,-5.6,-4.5,-5.8,-4.5,-5.0,-5.8,-6.3,-5.8,-4.9,-3.6,-2.5,-3.0,-3.5,-2.8,-1.6,-2.6,-7.8,-3.4
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Malta,-2.7,-3.0,-3.0,-4.2,-4.5,-1.4,-2.3,-0.1,1.0,-2.8,-11.7,-8.5,-14.1,-8.3,-7.8,-5.8,-8.2,-5.8,-5.4,-5.4,-7.6,-5.2
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Netherlands,-0.3,-0.5,-0.8,-1.1,-1.1,-1.2,-0.7,-0.7,-1.4,-1.9,-2.5,-1.3,-1.5,-1.0,-0.6,-0.7,-1.4,-0.9,-0.4,-1.2,-1.1,-1.2
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Poland,-1.5,-1.8,-1.6,-2.3,-2.4,-2.6,-3.0,-2.2,-2.6,-3.3,-3.4,-2.7,-2.6,-1.6,-1.4,-2.0,-2.7,-2.3,-1.5,-2.0,-3.4,-2.6
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Portugal,-2.5,-2.4,-2.7,-3.8,-3.8,-3.6,-4.6,-2.8,-3.4,-4.2,-4.7,-3.6,-3.6,-2.3,-1.6,-2.2,-2.5,-2.5,-1.7,-2.7,-4.7,-2.7 e
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Romania,-1.9,-2.5,-3.0,-2.7,-3.0,-2.6,-2.8,-1.5,-2.1,-2.6,-2.9,-1.9,-1.4,-0.9,-1.0,-1.3,-1.6,-1.7,-1.2,-2.0,-2.8,-1.6 p
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Sweden,-1.3,-1.4,-1.2,-1.5,-1.7,-1.6,-1.9,-1.2,-1.6,-1.8,-1.7,-1.5,-1.3,-0.8,-0.8,-0.9,-1.3,-1.1,-0.7,-0.7,-1.2,-1.0
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Slovenia,-2.8,-3.1,-3.5,-4.7,-5.1,-4.7,-6.2,-4.0,-5.0,-6.2,-6.8,-5.5,-4.1,-3.1,-2.1,-2.6,-3.0,-3.5,-2.0,-2.8,-3.8,-3.0
Annual,Trade balance in million ECU/EURO,"Mineral fuels, lubricants and related materials",All countries of the world,Slovakia,-5.4,-4.7,-4.2,-4.9,-6.2,-4.9,-5.8,-4.4,-5.6,-6.7,-5.7,-5.9,-4.0,-3.0,-2.5,-2.9,-3.9,-3.1,-2.1,-3.5,-6.6,-3.2
