Time frequency,Sector,Stock or flow,Financial position,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,133.27,-5175.18,-2627.14
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Currency and deposits,Million euro,Institutions and bodies of the European Union,76.37,-60.57,55.43
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Debt securities,Million euro,Institutions and bodies of the European Union,-856.56,-8680.01,3326.98
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Loans,Million euro,Institutions and bodies of the European Union,-252.03,-2107.0,-6658.24
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,259.08,-313.14,325.54
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,897.24,8090.19,319.35
Annual,European institutions and bodies,Nominal holding gains and losses,Assets,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,9.15,-2104.63,3.8
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,-24576.25,-129565.95,29684.0
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Monetary gold and special drawing rights (SDRs),Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Currency and deposits,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Debt securities,Million euro,Institutions and bodies of the European Union,-20449.51,-120719.02,28639.6
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Loans,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,0.0,-20.91,-25.81
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,-30.86,20.16,-10.79
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Provisions for calls under standardised guarantees,Million euro,Institutions and bodies of the European Union,-30.86,20.16,-10.79
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,-4270.73,-3451.19,506.99
Annual,European institutions and bodies,Nominal holding gains and losses,Liabilities,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,174.84,-5395.0,574.0
Annual,European institutions and bodies,Stock,Assets,Financial net worth,Million euro,Institutions and bodies of the European Union,132161.61,227185.87,136070.95
Annual,European institutions and bodies,Stock,Assets,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,843061.78,918932.96,945871.03
Annual,European institutions and bodies,Stock,Assets,Currency and deposits,Million euro,Institutions and bodies of the European Union,152273.6,152073.7,119329.04
Annual,European institutions and bodies,Stock,Assets,Debt securities,Million euro,Institutions and bodies of the European Union,80590.36,90095.95,129136.14
Annual,European institutions and bodies,Stock,Assets,Short-term debt securities,Million euro,Institutions and bodies of the European Union,60.76,6673.39,26757.86
Annual,European institutions and bodies,Stock,Assets,Long-term debt securities,Million euro,Institutions and bodies of the European Union,80529.6,83422.56,102378.28
Annual,European institutions and bodies,Stock,Assets,Loans,Million euro,Institutions and bodies of the European Union,440521.49,478799.65,518728.53
Annual,European institutions and bodies,Stock,Assets,Short-term - loans,Million euro,Institutions and bodies of the European Union,950.17,1158.0,2490.77
Annual,European institutions and bodies,Stock,Assets,Long-term - loans,Million euro,Institutions and bodies of the European Union,439571.32,477641.64,516237.76
Annual,European institutions and bodies,Stock,Assets,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,6089.84,6739.81,9064.27
Annual,European institutions and bodies,Stock,Assets,Equity,Million euro,Institutions and bodies of the European Union,1380.21,1501.17,1553.47
Annual,European institutions and bodies,Stock,Assets,Investment fund shares/units,Million euro,Institutions and bodies of the European Union,4709.62,5238.64,7510.8
Annual,European institutions and bodies,Stock,Assets,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Assets,Non-life insurance technical reserves,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Assets,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Assets,Provisions for calls under standardised guarantees,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Assets,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,1991.02,8563.64,6934.23
Annual,European institutions and bodies,Stock,Assets,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,161595.48,182660.21,162678.82
Annual,European institutions and bodies,Stock,Liabilities,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,710900.17,691747.09,809800.08
Annual,European institutions and bodies,Stock,Liabilities,Monetary gold and special drawing rights (SDRs),Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Liabilities,Currency and deposits,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Liabilities,Currency,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Liabilities,Debt securities,Million euro,Institutions and bodies of the European Union,566560.07,539897.27,663362.1
Annual,European institutions and bodies,Stock,Liabilities,Short-term debt securities,Million euro,Institutions and bodies of the European Union,44331.7,27010.32,23449.74
Annual,European institutions and bodies,Stock,Liabilities,Long-term debt securities,Million euro,Institutions and bodies of the European Union,522228.37,512886.95,639912.36
Annual,European institutions and bodies,Stock,Liabilities,Loans,Million euro,Institutions and bodies of the European Union,2070.61,5673.34,4535.91
Annual,European institutions and bodies,Stock,Liabilities,Short-term - loans,Million euro,Institutions and bodies of the European Union,950.56,4722.72,3695.37
Annual,European institutions and bodies,Stock,Liabilities,Long-term - loans,Million euro,Institutions and bodies of the European Union,1120.05,950.62,840.54
Annual,European institutions and bodies,Stock,Liabilities,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,84375.55,84665.67,85001.95
Annual,European institutions and bodies,Stock,Liabilities,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,6787.7,5831.08,6086.94
Annual,European institutions and bodies,Stock,Liabilities,Non-life insurance technical reserves,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Liabilities,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Stock,Liabilities,Provisions for calls under standardised guarantees,Million euro,Institutions and bodies of the European Union,6787.7,5831.08,6086.94
Annual,European institutions and bodies,Stock,Liabilities,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,7738.11,3563.55,1961.31
Annual,European institutions and bodies,Stock,Liabilities,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,43368.13,52116.18,48851.88
Annual,European institutions and bodies,Transactions,Assets,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,134596.13,81046.35,29565.22
Annual,European institutions and bodies,Transactions,Assets,Currency and deposits,Million euro,Institutions and bodies of the European Union,31378.97,-139.32,-32800.08
Annual,European institutions and bodies,Transactions,Assets,Debt securities,Million euro,Institutions and bodies of the European Union,7109.06,18185.61,35713.21
Annual,European institutions and bodies,Transactions,Assets,Short-term debt securities,Million euro,Institutions and bodies of the European Union,-1695.64,7302.22,19679.92
Annual,European institutions and bodies,Transactions,Assets,Long-term debt securities,Million euro,Institutions and bodies of the European Union,8804.7,10883.38,16033.29
Annual,European institutions and bodies,Transactions,Assets,Loans,Million euro,Institutions and bodies of the European Union,70995.3,40385.16,46587.12
