Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From minimum compulsory school age to 12 years,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.0,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Austria,:,:,:,:,:,:,:,:,:,0.0,0.1,0.1,0.0,0.5,0.5,0.4,0.1,0.4,:
Annual,From minimum compulsory school age to 12 years,Percentage,Belgium,:,:,:,:,:,:,:,:,:,5.6,8.6,7.0,0.2,0.1,0.1 b,0.3,0.2,0.3,:
Annual,From minimum compulsory school age to 12 years,Percentage,Bulgaria,:,:,:,:,:,:,:,:,:,3.2,2.8,2.8,2.7,0.8,0.2,0.1,0.9,0.0 n,:
Annual,From minimum compulsory school age to 12 years,Percentage,Switzerland,:,:,:,:,:,1.1,:,1.2,0.3,0.4,:,:,0.4,0.4,0.7,0.2,0.1,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Cyprus,:,:,:,:,:,:,:,:,:,0.0,0.1,0.0,0.0,0.0,0.0,0.1,4.9,0.0 n,:
Annual,From minimum compulsory school age to 12 years,Percentage,Czechia,:,:,:,:,:,:,:,:,:,9.6,8.2,0.5,0.5,0.2,0.5,0.5,13.5,1.2,:
Annual,From minimum compulsory school age to 12 years,Percentage,Germany,:,:,:,:,:,:,:,:,:,9.5,9.4,9.8,10.5,9.8,11.1,0.2 b,0.0,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Denmark,:,:,:,:,:,:,:,:,:,0.2,0.0,0.1,0.6,0.1,0.2,1.4,1.5,2.2,:
Annual,From minimum compulsory school age to 12 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,3.0 e,3.1 e,3.0 e,3.2 e,3.0 e,3.1 e,2.7 e,3.0,3.8 e,4.4,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Euro area - 18 countries (2014),:,:,:,:,:,:,:,3.0,3.1,3.0,3.2,3.0,3.1,2.7,3.0,3.8 e,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,3.0,3.1,2.9,3.2,3.0,3.1,2.7,3.0,3.8 e,4.4,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,3.0,3.2,3.0,3.1,2.5,3.0,3.8 e,1.3,1.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Estonia,:,:,:,:,:,:,:,:,:,0.5,0.1,0.9,0.2,0.0,0.2,0.2,5.4,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Greece,:,:,:,:,:,:,:,:,:,7.9,8.8,1.6,8.8,7.7,9.6,7.4,0.0 n,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Spain,:,:,:,:,:,:,:,:,:,0.7,0.4,0.1,0.3,0.4,0.3,0.6,0.2,0.1,:
Annual,From minimum compulsory school age to 12 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,3.3,3.0,2.6,2.9,2.4,2.9,2.9,2.9 e,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,3.3,3.0,2.6,2.9,2.4,2.9,2.9,2.9 e,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,4.2 e,3.4 e,3.7 e,3.4 e,3.1 e,3.4 e,2.8 e,2.8 e,2.8 e,2.8 e,3.4 e,1.5,0.9,:
Annual,From minimum compulsory school age to 12 years,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.3 e,3.0,2.6,2.9,2.4,2.9,2.9,2.9 e,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Finland,:,:,:,:,:,:,:,:,:,0.2,0.2,0.0,0.0,0.4,0.1,0.0 n,0.0,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,France,:,:,:,:,:,:,:,:,:,0.3,0.4,0.6,0.2,0.3,0.5,13.8 b,1.5,2.1 b,:
Annual,From minimum compulsory school age to 12 years,Percentage,Croatia,:,:,:,:,:,:,:,:,:,7.2,5.6,4.3,4.6,1.8,2.2,2.5,3.4,2.2,:
