Time frequency,Unit of measure,Category,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Austria,41.7,43.0,48.3 b,48.6,49.1,50.1,50.4,51.1,52.2,52.3 b,53.5,54.5
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,29.7 b,30.4,31.2
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Belgium,50.3,49.6,51.1 b,50.5,51.1,54.3 b,54.4,54.6,56.6,58.7 b,59.3,58.5
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Bulgaria,32.8,34.0,35.4 b,36.3,36.8,36.5,36.8,36.4 b,38.0,38.5 b,38.1,39.0
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Switzerland,51.7,53.4,54.3 b,55.1,56.4,57.7,58.6,59.6,59.8,58.9 b,58.7,59.9
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Cyprus,48.5,47.9,48.8 b,49.3,50.6,50.9,52.0,52.4,53.0,54.8 b,55.3,58.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Czechia,36.6,37.2,38.1 b,38.1,38.7,39.6,39.9,39.8,40.6,42.0 b,41.9,42.6
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Germany,46.4 b,46.8,47.0 b,47.7,48.4,48.7,49.3,50.3,50.8 b,52.0 b,51.8,52.9
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Denmark,53.3,53.8,54.1 b,54.6,55.4 b,56.9 b,57.7,58.4,59.3,60.0 b,60.2,61.0 b
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Euro area – 20 countries (from 2023),43.0,43.6,44.2 b,44.9,45.5,46.2,47.1,48.1,49.3,49.8 b,50.3,51.0
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Estonia,49.2,48.9,48.9 b,47.9,47.9,49.1,50.2,51.9,52.8,54.9 b,55.2,54.4
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Greece,34.3,35.1,35.4 b,36.1,37.4,38.5,39.2,39.3,40.7,42.6 b,43.3,42.8
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Spain,40.4,41.2,42.2 b,42.7,43.4,44.3,45.1,46.5,47.8,48.0 bd,48.4 d,49.1 d
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,European Union - 27 countries (from 2020),41.6,42.3,43.0 b,43.7,44.4,45.1,46.0,47.0,48.0,48.7 b,49.2,50.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Finland,53.6,54.6,55.6 b,56.5,56.9,57.7,58.4,59.9,61.6,57.7 b,57.8,58.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,France,48.1,48.9 b,49.1 b,50.0,50.6,50.9,52.2,53.5,55.2,55.0 bd,55.8 d,56.9 d
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Croatia,32.3 b,35.6,35.8 b,36.4,37.6,38.4,39.9,40.3,40.4,39.2 b,39.5,42.2
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Hungary,35.6,36.0,36.3 b,36.7,36.3,36.5,37.2 b,38.1,39.8,41.7 b,42.0,42.4
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Ireland,51.9,52.8,53.1 b,54.2,54.9,56.6 b,57.2,58.0,60.8,63.0 b,63.8,64.4
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Iceland,51.4,53.0,54.1 b,55.4,57.2,57.7,59.0,59.0,57.7 b,58.1 b,58.2,59.2
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Italy,34.7,34.8,35.0 b,35.5,35.7,36.3,37.1 b,37.5,38.0,37.0 b,37.4,38.9
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Lithuania,43.9,45.6,46.5 b,48.2,49.1,49.4,50.5,51.9,52.4,54.2 b,55.7,56.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Luxembourg,58.9,61.1,64.5 b,58.8 b,59.6,57.6,61.2,63.7,65.0,68.1 b,69.2,68.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Latvia,40.1,41.2,40.7 b,42.4,43.3,44.4,44.4,46.8,47.7,49.3 b,49.7,48.9
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Montenegro,35.9,37.5,38.8 b,37.1,38.1,37.2,36.8,38.8,38.4,:,:,:
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,North Macedonia,27.6,26.4,26.8 b,28.6,30.9,31.4,31.7,32.5,35.4,:,:,:
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Malta,37.6,39.0,39.5 b,40.2,40.3,42.8,46.1,47.4,47.5,48.4 b,48.6,48.4
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Netherlands,52.1,52.7 b,52.8 b,53.6,54.6,55.3,56.9,58.7 b,60.8,62.6 b,64.0,63.8
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Norway,55.4,56.3,58.7 b,59.7,59.3,59.1,59.2,59.3,60.5,61.8 b,62.0,62.3
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Poland,37.7,39.0,40.4 b,41.6,42.8,44.0,45.2,46.5 b,47.0,47.5 b,47.9,51.0
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Portugal,28.7,30.0,33.0 b,34.9,36.2,36.5,37.6,38.6,40.2,41.8 b,42.0,41.4
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Romania,25.5,25.1,25.6 b,27.0,27.6,27.7,27.9,28.2,28.4,30.4 b,31.4,29.9
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Serbia,22.4,30.9,32.7 b,33.4,33.6,34.4,35.2,35.3,35.4,37.2 b,38.1,39.8
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Sweden,52.6,53.8,55.1 b,56.2,57.9,58.6,59.9 b,60.7,61.4,62.4 b,64.1,65.1
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Slovenia,42.8,43.5,43.7 b,45.1,46.5,47.8,47.4,48.2,50.6,55.8 b,55.0,48.3 b
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Slovakia,32.5,32.5,32.9 b,33.5,34.2,35.2,36.9,38.1,39.7,41.9 b,42.8,42.5
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,Türkiye,23.1 b,23.8,24.7 b,26.3,27.5,28.1,28.8,30.3,32.6,33.1 b,33.5,35.0
Annual,Percentage of population in the labour force,Persons with tertiary education (ISCED) and/or employed in science and technology,From 25 to 64 years,Total,United Kingdom,53.3,54.1,54.6 b,55.5,56.8,57.0,57.6,59.1,:,:,:,:
