Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Enterprises with non-autonomous pension funds - number,"Electricity, gas and water supply",Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Electricity, gas and water supply",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,"Electricity, gas and water supply",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Electricity, gas and water supply",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Electricity, gas and water supply",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Construction,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,Construction,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,Construction,Greece,:,:,:,:,:,:,:,:,: @C
Annual,Enterprises with non-autonomous pension funds - number,Construction,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Construction,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Construction,Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,Construction,Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,Construction,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,Construction,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Construction,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,Construction,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Greece,:,:,:,:,:,:,:,:,5.0
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Greece,:,:,:,:,:,:,:,:,: @C
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,Hotels and restaurants,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Greece,:,:,:,:,:,:,:,:,4.0
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Transport, storage and communication",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Greece,:,:,:,:,:,:,:,:,: @C
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Finland,:,:,:,:,:,:,:,:,0.00 d
