Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Spain,:,:,:,:,:,:,:,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Finland,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Italy,:,:,:,:,:,:,:,2.39,261.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Poland,:,:,:,:,:,:,:,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Total - all NACE activities,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
