Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Austria,141.27,117.62,199.26,164.14,239.47,332.82,257.95 b,248.61,401.29 b
Annual,Million euro,Belgium,142.74,46.83,100.92,104.92,80.68,99.71,119.25 b,282.57,395.52 b
Annual,Million euro,Bulgaria,0.07,0.1,:,:,0.0,:,0.14 b,0.03,0.00 b
Annual,Million euro,European Commission,677.01,1535.42,2730.17,2823.72,2652.49,2534.78,2577.58 b,2501.76,4030.62 b
Annual,Million euro,Cyprus,0.0,:,:,:,:,:,0.00 b,0.0,0.00 b
Annual,Million euro,Czechia,7.66,8.19,7.55,7.07,7.2,7.47,12.23 b,11.51,8.49 b
Annual,Million euro,Germany,5130.61,7406.15,8534.08,6729.6,6611.98,6811.79,7698.28 b,7844.73,9476.29 b
Annual,Million euro,Denmark,222.04,143.79,172.98,181.72,198.16,246.9,272.66 b,386.14,264.54 b
Annual,Million euro,Estonia,0.53,1.21,0.38,0.62,0.97,0.53,1.97 b,2.77,2.79 b
Annual,Million euro,European Investment Bank (EIB),2098.5,2214.7,1947.72,2640.36,2972.44,3184.3,2711.51 b,2563.36,2523.44 b
Annual,Million euro,Greece,0.04,0.23,0.23,4.59,3.77,0.69,1.11 b,8.28,1.98 b
Annual,Million euro,Spain,498.75,466.72,595.03,529.06,694.94,740.14,529.78 b,726.72,743.47 b
Annual,Million euro,European Union - 27 countries (from 2020),10163.87,12333.74,14337.95,13906.81,14792.83,16205.77,18103.89 b,17977.97,21920.86 b
Annual,Million euro,European Union - 28 countries (2013-2020),11715.3,13813.88,15501.53,14924.63,16113.18,17511.17,:,:,:
Annual,Million euro,Finland,132.25,115.43,43.04,119.38,46.59,146.76,125.46 b,146.51,161.52 b
Annual,Million euro,France,2921.43,2792.83,3334.84,4377.38,5088.76,5958.78,6715.53 b,5781.84,7667.73 b
Annual,Million euro,Croatia,0.03,:,:,0.02,0.05,0.03,0.12 b,0.17,0.02 b
Annual,Million euro,Hungary,2.71,41.34,35.29,13.98,3.09,3.39,11.79 b,19.01,8.23 b
Annual,Million euro,Ireland,41.44,36.0,52.7,64.47,77.21,70.23,89.16 b,91.78,118.19 b
Annual,Million euro,Italy,143.23,327.34,242.95,632.62,451.96,417.59,582.81 b,731.4,957.81 b
Annual,Million euro,Lithuania,0.26,0.43,0.54,1.48,0.76,1.99,2.73 b,3.32,4.00 b
Annual,Million euro,Luxembourg,36.26,45.65,129.53,40.43,40.98,51.43,31.5 b,39.13,66.03 b
Annual,Million euro,Latvia,0.42,0.01,0.01,:,0.04,0.0,0.00 b,0.0,0.09 b
Annual,Million euro,Malta,0.08,0.16,0.2,0.16,0.1,0.1,0.10 b,0.1,0.20 b
Annual,Million euro,Netherlands,339.98,425.84,471.89,405.44,577.83,580.79,1109.70 b,618.93,804.44 b
Annual,Million euro,Poland,4.19,5.67,5.38,4.29,49.49,12.88,22.49 b,8.44,19.45 b
Annual,Million euro,Portugal,9.52,6.22,2.0,2.17,1.64,0.89,2.32 b,2.17,4.25 b
Annual,Million euro,Romania,0.03,:,0.78,0.86,0.03,0.24,4.78 b,5.0,8.06 b
Annual,Million euro,Sweden,384.75,341.43,402.4,515.04,608.59,708.92,507.50 b,1004.62,793.85 b
Annual,Million euro,Slovenia,2.35,2.35,2.98,3.75,4.39,5.78,1.71 b,4.87,5.23 b
Annual,Million euro,Slovakia,1.23,2.2,2.99,3.63,4.16,5.91,2.83 b,9.31,7.37 b
Annual,Million euro,United Kingdom,1551.43,1480.15,1163.58,1017.82,1320.36,1305.4,:,:,:
