Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage,Total,Females,Albania,:,:,:,:,:,:,:,28.8,32.2,29.3,22.3,:
Annual,Total,Total,Percentage,Total,Females,Austria,14.9,14.2,12.4,12.4,10.1,12.0,11.2,12.5,10.3,9.9,8.6,10.6
Annual,Total,Total,Percentage,Total,Females,Belgium,19.2,21.9,18.8,17.9,17.7,18.2,19.6,18.7,18.3,17.3 b,16.0,14.6
Annual,Total,Total,Percentage,Total,Females,Bulgaria,15.8 b,15.3,14.3,13.2,13.3,13.1,12.5 b,12.3,13.0,11.7,11.1,8.4
Annual,Total,Total,Percentage,Total,Females,Switzerland,9.0,10.8,12.6,11.6,11.3 b,12.2,12.5,12.2,9.6,10.6,11.3,12.4
Annual,Total,Total,Percentage,Total,Females,Cyprus,29.1,30.1,29.8,30.6,25.7,26.8,27.2,29.5,30.6,30.8,40.1,31.7
Annual,Total,Total,Percentage,Total,Females,Czechia,11.9,11.9,10.4,10.2,9.4,8.7,8.2,7.7,7.5,7.3,6.9,8.3
Annual,Total,Total,Percentage,Total,Females,Germany,13.7,14.1,13.7,13.1,12.6,13.1,13.5,12.7,13.7,12.3,12.2 bu,16.3 u
Annual,Total,Total,Percentage,Total,Females,Denmark,8.4,16.5 b,17.7,15.6,15.2,16.0,15.6,15.1,16.1,14.8,16.7,15.5
Annual,Total,Total,Percentage,Total,Females,Euro area - 19 countries  (2015-2022),16.6,16.0,15.4,16.3,16.7,16.2,16.1,13.4,14.1,13.4,16.8,:
Annual,Total,Total,Percentage,Total,Females,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,18.2 e
Annual,Total,Total,Percentage,Total,Females,Estonia,18.7,19.3,19.8,17.5,16.1 b,13.9,13.8,13.9,13.2,13.9,10.4,10.4
Annual,Total,Total,Percentage,Total,Females,Greece,17.2,15.5,14.4,13.8,13.9,15.4,15.0,13.6,13.1,12.7,12.7,13.1
Annual,Total,Total,Percentage,Total,Females,Spain,21.5,15.8,12.0,16.7,17.1,15.1,15.8,11.2,15.7,14.5,19.6,22.8
Annual,Total,Total,Percentage,Total,Females,European Union - 27 countries (2007-2013),16.3,15.6,15.3,15.7,15.8,15.4,15.6,13.4 e,14.0 e,13.4 e,:,:
Annual,Total,Total,Percentage,Total,Females,European Union - 27 countries (from 2020),16.4 e,15.6 e,14.9 e,15.6 e,15.7 e,15.4 e,15.4 e,13.2 e,13.6 e,12.9 e,14.9,15.7 e
Annual,Total,Total,Percentage,Total,Females,European Union - 28 countries (2013-2020),16.3,15.6,15.3,15.6,15.8,15.4,15.6,13.4 e,14.0 e,13.3 e,:,:
Annual,Total,Total,Percentage,Total,Females,Finland,5.0,5.6,5.7,5.3,4.9,4.1,4.7,4.0,4.3,4.1,4.6,5.4
Annual,Total,Total,Percentage,Total,Females,France,12.7,10.9,12.6,12.6,13.5,12.8,14.2,11.0,12.7,11.6,18.1 b,21.7
Annual,Total,Total,Percentage,Total,Females,Croatia,19.8,15.3,13.8,13.1,11.6,10.6,11.1,11.6,11.4,10.3,9.2,5.6
Annual,Total,Total,Percentage,Total,Females,Hungary,24.5 b,21.9,24.7,26.6,27.0,25.7,27.0,25.2,22.5,22.4,20.0,12.2
Annual,Total,Total,Percentage,Total,Females,Ireland,12.6,10.8,12.9,14.6,15.4,14.0,13.8,12.8,12.5,12.0 b,16.3 b,:
Annual,Total,Total,Percentage,Total,Females,Iceland,16.3,17.0,19.7,18.7,16.4,19.8,19.2,20.5,19.9,18.5,:,:
Annual,Total,Total,Percentage,Total,Females,Italy,20.8,23.2,21.6,22.8,24.7,23.9,20.8,16.0,12.9,14.2,19.8,17.4
Annual,Total,Total,Percentage,Total,Females,Lithuania,19.1,18.7,17.6,20.3,19.1,16.2,17.9,15.2,14.6,13.8,11.3,8.0
Annual,Total,Total,Percentage,Total,Females,Luxembourg,17.3,15.7,17.0,15.3,15.3,14.7,19.1 b,17.8,18.5,15.3,16.0 b,17.8
Annual,Total,Total,Percentage,Total,Females,Latvia,24.3,25.9,27.5,27.4,27.3,24.4,21.8,22.8,23.1,19.5,17.3,18.8
Annual,Total,Total,Percentage,Total,Females,Montenegro,:,:,:,39.7,30.4,33.8,26.5,24.4,25.3,26.0,22.6,:
Annual,Total,Total,Percentage,Total,Females,North Macedonia,24.2,16.1,14.2,13.9,14.9,12.1,14.1,14.3,15.1,13.4,13.0,:
Annual,Total,Total,Percentage,Total,Females,Malta,12.9,10.7,11.2,11.9,10.8,10.6,9.0,8.5,7.4,7.8,6.4,8.1
Annual,Total,Total,Percentage,Total,Females,Netherlands,15.4,14.7,16.5,15.6,16.1 p,16.0,17.3 b,13.8,16.1,15.0,15.0,15.6
Annual,Total,Total,Percentage,Total,Females,Norway,7.9,7.4,8.3,7.1,6.1,7.2,6.0,5.3,6.7,6.5,6.3,4.9
Annual,Total,Total,Percentage,Total,Females,Poland,15.7,11.3,10.7,10.1,9.1,11.6,11.8,11.9,11.3,10.6,5.9,5.8
Annual,Total,Total,Percentage,Total,Females,Portugal,22.2,21.6,22.6,32.0 b,32.8,28.2,30.3,25.6,27.3,24.8,25.4,28.6
