Time frequency,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Malignant neoplasms (C00-C97),Number,European Union (aggregate changing according to the context),3978.0,3890.0,3888.0,3894.0,3971.0,3892.0,3848.0,3093.0,3258.0
Annual,Malignant neoplasms (C00-C97),Percentage,European Union (aggregate changing according to the context),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Annual,Malignant neoplasm of nasal cavity and middle ear,Number,European Union (aggregate changing according to the context),43.0,69.0,49.0,60.0,45.0,59.0,52.0,48.0,54.0
Annual,Malignant neoplasm of nasal cavity and middle ear,Percentage,European Union (aggregate changing according to the context),1.1,1.8,1.3,1.5,1.1,1.5,1.4,1.6,1.7
Annual,Malignant neoplasm of accessory sinuses,Number,European Union (aggregate changing according to the context),94.0,87.0,95.0,131.0,116.0,96.0,102.0,99.0,110.0
Annual,Malignant neoplasm of accessory sinuses,Percentage,European Union (aggregate changing according to the context),2.4,2.2,2.4,3.4,2.9,2.5,2.7,3.2,3.4
Annual,Malignant neoplasm of larynx,Number,European Union (aggregate changing according to the context),23.0,40.0,29.0,39.0,25.0,27.0,34.0,21.0,15.0
Annual,Malignant neoplasm of larynx,Percentage,European Union (aggregate changing according to the context),0.6,1.0,0.7,1.0,0.6,0.7,0.9,0.7,0.5
Annual,Malignant neoplasm of bronchus and lung,Number,European Union (aggregate changing according to the context),1724.0,1668.0,1700.0,1573.0,1575.0,1569.0,1572.0,1286.0,1277.0
Annual,Malignant neoplasm of bronchus and lung,Percentage,European Union (aggregate changing according to the context),43.3,42.9,43.7,40.4,39.7,40.3,40.9,41.6,39.2
Annual,Malignant melanoma of skin,Number,European Union (aggregate changing according to the context),4.0,11.0,13.0,9.0,10.0,12.0,14.0,7.0,11.0
Annual,Malignant melanoma of skin,Percentage,European Union (aggregate changing according to the context),0.1,0.3,0.3,0.2,0.3,0.3,0.4,0.2,0.3
Annual,Other malignant neoplasms of skin,Number,European Union (aggregate changing according to the context),92.0,100.0,104.0,97.0,96.0,111.0,129.0,85.0,73.0
Annual,Other malignant neoplasms of skin,Percentage,European Union (aggregate changing according to the context),2.3,2.6,2.7,2.5,2.4,2.9,3.4,2.7,2.2
Annual,Mesothelioma,Number,European Union (aggregate changing according to the context),1623.0,1530.0,1524.0,1543.0,1588.0,1529.0,1510.0,1274.0,1409.0
Annual,Mesothelioma,Percentage,European Union (aggregate changing according to the context),40.8,39.3,39.2,39.6,40.0,39.3,39.2,41.2,43.2
Annual,Malignant neoplasm of bladder,Number,European Union (aggregate changing according to the context),240.0,263.0,256.0,309.0,369.0,367.0,303.0,161.0,148.0
Annual,Malignant neoplasm of bladder,Percentage,European Union (aggregate changing according to the context),6.0,6.8,6.6,7.9,9.3,9.4,7.9,5.2,4.5
Annual,Lymphoid leukaemia,Number,European Union (aggregate changing according to the context),11.0,8.0,8.0,11.0,16.0,3.0,5.0,11.0,15.0
Annual,Lymphoid leukaemia,Percentage,European Union (aggregate changing according to the context),0.3,0.2,0.2,0.3,0.4,0.1,0.1,0.4,0.5
Annual,Myeloid leukaemia,Number,European Union (aggregate changing according to the context),25.0,17.0,19.0,27.0,28.0,22.0,19.0,11.0,14.0
Annual,Myeloid leukaemia,Percentage,European Union (aggregate changing according to the context),0.6,0.4,0.5,0.7,0.7,0.6,0.5,0.4,0.4
Annual,Leukaemia of unspecified cell type,Number,European Union (aggregate changing according to the context),15.0,18.0,12.0,11.0,17.0,11.0,13.0,11.0,16.0
Annual,Leukaemia of unspecified cell type,Percentage,European Union (aggregate changing according to the context),0.4,0.5,0.3,0.3,0.4,0.3,0.3,0.4,0.5
Annual,Other malignant neoplasms (remainder of C00-C97),Number,European Union (aggregate changing according to the context),84.0,79.0,79.0,84.0,86.0,86.0,95.0,79.0,116.0
Annual,Other malignant neoplasms (remainder of C00-C97),Percentage,European Union (aggregate changing according to the context),2.1,2.0,2.0,2.2,2.2,2.2,2.5,2.6,3.6
