Time frequency,Unit of measure,Sector,Seasonal adjustment,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,24.93,28.41,25.92,25.47,26.53,26.45,26.41,25.39,27.1,27.5,26.91,26.74
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Belgium,27.32,24.77,25.15,25.36,28.9,25.45 p,27.46 p,28.12 p,28.46 p,25.68 p,27.89 p,26.67 p
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Czechia,29.4,27.38,29.15,28.93,30.5,24.84,26.84,27.82,30.61,23.77,:,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Germany,19.99 p,19.34 p,20.87 p,20.21 p,20.41 p,19.52 p,20.75 p,20.00 p,19.92 p,19.07 p,20.11 p,19.69 p
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Denmark,22.8,22.61,22.18,20.19,26.26,22.22,23.5,24.41,21.6,21.97,22.3,20.17
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area – 20 countries (from 2023),23.45,22.45,23.06,22.28,22.8,22.53,22.73,21.55,22.64,22.02,21.52,21.29
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,25.8,27.36,28.22,22.55,27.51,19.2,18.22,27.06,:,:,:,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,20.69 p,20.37 p,19.53 p,17.62 p,19.91 p,21.23 p,20.54 p,17.77 p,20.15 p,22.90 p,:,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,25.53,25.16,24.6,23.99,21.6,23.75,24.3,23.22,21.03,23.08,23.68,22.16
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),23.66,22.61,23.58,22.83,23.29,22.57,23.18,22.32,22.96,22.16,22.2,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,24.89,22.66,25.35,25.8,26.35,22.78,24.48,24.71,25.42,21.7,21.75,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,23.52,22.79,22.95,22.41,24.21,22.93,22.79,21.98,23.26,22.62,22.97,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,22.75,30.73,40.57,42.7,21.55,28.23 p,36.02 p,36.37 p,19.64 p,30.83 p,34.06 p,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,39.19,18.64,21.61,21.63,22.88,18.81,19.36,17.6,36.94,19.4,1.8,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,22.99,24.01,23.79,22.1,23.39,23.51,22.56,21.53,22.56,22.74,22.13,20.93
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,17.1,17.46 p,18.17 p,15.24 p,17.28 p,18.13 p,18.17 p,14.78 p,15.74 p,17.46 p,16.83 p,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Norway,16.65,14.71,16.52,13.14,16.41,17.93,22.35,:,:,:,:,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,22.84,13.84,16.5,17.73,21.9,13.96,16.68,18.68,22.96,14.35,:,:
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,26.52,31.97,28.28,26.72,25.61,29.79 p,27.11 p,25.77 p,24.47 p,28.42 p,26.71 p,24.65 p
Quarterly,Percentage,Non-financial corporations,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,27.22,25.34,26.87,25.35,27.99,25.36,26.89,25.4,28.06,24.73,26.16,25.06
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Austria,25.7,27.13,25.8,26.5,26.68,25.63,26.23,26.06,27.19,26.76,26.66,27.63
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Belgium,25.34,26.18,25.75,26.1,26.52,26.86,27.99,28.79,25.94,27.04,28.4,27.33
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Czechia,27.4,29.4,29.83,29.08,28.06,26.98,27.33,27.74,28.0,25.61,:,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Germany,19.65,20.14,20.32,20.29,20.09,20.29,20.19,20.07,19.63,19.78,19.56,19.77
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Denmark,22.55,22.34,22.09,20.83,26.13,21.92,23.24,25.06,21.5,22.05,21.54,20.66
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Euro area – 20 countries (from 2023),22.66,22.76,22.91,22.92,22.04,22.81,22.59,22.16,21.9,22.27,21.41,21.89
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Estonia,22.18,27.67,29.61,24.87,23.56,19.53,19.25,29.68,:,:,:,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Greece,20.19,19.37,19.03,19.32,19.5,20.1,19.96,19.59,19.81,21.63,:,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Spain,26.53,24.44,23.62,24.45,22.53,23.15,23.33,23.67,21.97,22.51,22.78,22.6
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,European Union - 27 countries (from 2020),22.97,23.04,23.24,23.43,22.65,22.95,22.87,22.88,22.35,22.51,21.92,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Finland,23.84,24.7,25.49,25.37,24.86,24.78,24.54,24.15,23.97,23.34,21.82,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,France,22.58,22.97,23.09,23.26,23.18,23.15,22.57,22.67,22.46,22.88,22.68,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Hungary,32.96,34.8,33.54,33.67,32.15,30.18,30.19,29.3,29.64,30.37,29.04,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Ireland,39.19,18.64,21.61,21.63,22.88,18.81,19.36,17.6,36.94,19.4,1.8,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Italy,22.54,23.51,23.5,23.27,23.15,22.99,22.58,22.51,22.19,22.27,22.09,21.7
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Netherlands,16.92,16.61,17.21,17.26,17.17,17.22,17.18,16.73,15.72,16.52,15.93,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Norway,17.23,14.81,15.22,13.8,17.13,18.05,20.78,:,:,:,:,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Poland,18.44,17.76,18.24,17.71,17.85,18.27,18.22,18.71,18.29,19.21,:,:
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Portugal,28.25,29.23,27.86,27.76,27.27,27.2,26.82,26.77,26.11,25.94,26.48,25.6
Quarterly,Percentage,Non-financial corporations,Seasonally and calendar adjusted data,Sweden,25.65,26.26,26.6,26.51,26.35,26.37,26.61,26.5,26.39,25.76,25.9,26.12
