Time frequency,Age class,Income situation in relation to the risk of poverty threshold,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.7,19.4,17.4,12.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Austria,1.3,3.0,2.9,3.3,3.1,3.3 b,2.9,2.8,2.9,2.6,2.7,2.8,3.1,3.2,3.3,1.9,2.5,2.4
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Belgium,1.6,0.9,0.7,0.5,0.6,0.4,0.6,1.2,0.4,0.3,0.2,0.3,0.3,0.9 b,1.2,1.0,1.3 b,1.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Bulgaria,:,:,:,17.7,11.0,18.6 b,14.1,9.4,8.4,7.7,7.0,6.9 b,6.9,6.3 b,5.5,5.6,4.8,4.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Switzerland,:,:,:,:,1.6,1.0,1.1,0.7,1.2,1.4,1.9,0.9 b,1.2,1.6,1.5,2.0,1.5,1.4
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Cyprus,:,:,1.1,0.8,0.6,1.3 b,1.1,1.1,0.9,0.8,1.0,1.3,0.4,0.9,0.4,0.8,0.9,1.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Czechia,:,:,8.4,8.6,6.3,5.3,5.1,3.7,4.0,2.9,3.1,2.5,2.5,2.3,1.9,2.0,1.3,1.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Germany,:,:,1.4,2.2,1.3,1.5,1.1,1.4,1.1,1.2,1.0,1.0,1.1,1.1,1.1,1.6,1.4,0.9 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Denmark,1.5,1.4,0.9,0.9,1.2,0.7,0.9,0.9,2.0 b,1.5,1.5,1.7,1.7,1.3,1.8,1.9,1.6,1.6
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,3.3,3.5,3.1,3.0,2.6,2.6,2.5,2.4,2.5,2.6,2.6,2.3,2.1,2.1,2.1,2.5
