Time frequency,Type of transport,Type of operation and loading status,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Loaded - total transport,Thousand tonnes,Austria,333963.0,325475.0,349544.0,351068.0,376399.0,386858.0,393313.0,402083.0,373064.0,403502.0,390419.0,370596.0
Annual,Total,Loaded - total transport,Thousand tonnes,Belgium,291380.0,300608.0,299476.0,295057.0,291522.0,300121.0,285526.0,283979.0,273251.0,277828.0,273307.0,275878.0
Annual,Total,Loaded - total transport,Thousand tonnes,Bulgaria,140274.0,160127.0,153077.0,161567.0,146636.0,151479.0,143199.0,114574.0,136229.0,157376.0,160488.0,165218.0
Annual,Total,Loaded - total transport,Thousand tonnes,Switzerland,300479.0,295647.0,303167.0,289215.0,284617.0,291346.0,292912.0,301103.0,316299.0,287868.0,307601.0,279024.0
Annual,Total,Loaded - total transport,Thousand tonnes,Cyprus,22964.0,16122.0,14585.0,14402.0,19682.0,25595.0,29308.0,29361.0,26041.0,27670.0,38550.0,40693.0
Annual,Total,Loaded - total transport,Thousand tonnes,Czechia,339314.0,351517.0,386243.0,438907.0,431889.0,459433.0,479235.0,504099.0,459703.0,500288.0,473688.0,433685.0
Annual,Total,Loaded - total transport,Thousand tonnes,Germany,2891837.0,2938701.0,3052628.0,3035329.0,3111858.0,3161837.0,3200925.0,3208232.0,3119646.0,3107981.0,3060964.0,2856755.0
Annual,Total,Loaded - total transport,Thousand tonnes,Denmark,176354.0,173917.0,178146.0,181232.0,184726.0,179062.0,167534.0,167747.0,178098.0,171555.0,174842.0,169507.0
Annual,Total,Loaded - total transport,Thousand tonnes,Estonia,31321.0,31080.0,27358.0,28162.0,34581.0,28969.0,28494.0,28373.0,23281.0,28894.0,27156.0,25110.0
Annual,Total,Loaded - total transport,Thousand tonnes,Greece,400124.0,436233.0,403327.0,420005.0,419836.0,340908.0,368458.0,372209.0,304637.0,270994.0,290027.0,275426.0
