Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,From 20 to 64 years,Armenia,36.1,37.5,47.1,48.0,47.8,41.9,50.7,51.4,51.8,50.3,48.7,48.5,48.5,42.7 bd,44.8,47.2,47.0,47.8
Annual,Rate,Females,From 20 to 64 years,Azerbaijan,72.9,72.0,71.5,70.3,70.8,70.0,69.2,69.3,69.0,69.5,69.5,69.6,69.9,70.3,68.9,67.9,69.7,70.8
Annual,Rate,Females,From 20 to 64 years,Belarus,:,:,:,:,70.7 d,:,:,:,:,:,:,76.0,76.3,76.5,77.4,77.3,:,:
Annual,Rate,Females,From 20 to 64 years,Georgia,53.4,52.0,51.3,50.5,51.7,55.4,56.1,54.8,55.8,57.7,59.5,59.1,59.5,58.2,58.3,43.9 b,43.5,46.4
Annual,Rate,Females,From 20 to 64 years,Moldova,57.7 d,51.5 d,52.3 d,51.6 d,48.0 d,46.2 d,46.6 d,45.6 d,45.8 d,48.6 bd,49.4,49.7,48.4,50.9,46.8 bd,45.5,46.9,48.7
Annual,Rate,Females,From 20 to 64 years,Ukraine,62.8,63.0,63.6,63.5,62.1,62.1,61.5,61.7,62.0,58.9 d,59.1 d,59.3 d,59.4 d,61.0 d,61.6 d,60.0 d,59.3 d,:
Annual,Rate,Males,From 20 to 64 years,Armenia,63.6,68.0,71.6,72.6,67.4,60.7,69.5,69.3,71.2,69.6,66.9,66.6,66.1,65.9 bd,66.6,63.9,68.1,71.4
Annual,Rate,Males,From 20 to 64 years,Azerbaijan,81.1,81.3,80.6,79.2,78.7,77.9,77.0,77.0,77.3,77.0,76.8,77.6,77.8,77.7,79.3,78.1,79.5,80.1
Annual,Rate,Males,From 20 to 64 years,Belarus,:,:,:,:,76.5 d,:,:,:,:,:,:,79.7,80.6,82.7,83.0,83.7,:,:
Annual,Rate,Males,From 20 to 64 years,Georgia,69.4,66.9,66.4,68.7,68.6,68.7,70.3,72.4,70.8,72.9,74.0,72.4,71.4,72.2,72.3,58.7 b,58.1,62.2
