Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Euro per billion GDP,Austria,0.83,1.11,1.22,1.34,1.47,1.3,1.42,1.38,1.45,1.49,1.5,1.52,1.26
Annual,Euro per billion GDP,Australia,0.17,0.19,0.24,0.16,0.16,0.21,0.19,0.14,0.15,0.15,0.15,0.16,0.14
Annual,Euro per billion GDP,Belgium,0.56,0.83,0.94,0.87,0.95,0.85,0.95,0.99,0.95,0.88,0.96,0.96,0.92
Annual,Euro per billion GDP,Bulgaria,:,0.14,0.04,0.18,1.35,0.99,1.4,1.48,1.51,2.52,2.67,2.53,2.81
Annual,Euro per billion GDP,Brazil,0.04,0.04,0.02,0.01,0.02,0.03,0.04,0.02,0.03,0.01,0.01,0.02,0.02
Annual,Euro per billion GDP,Canada,0.05,0.09,0.09,0.08,0.09,0.08,0.17,0.15,0.15,0.22,0.2,0.11,0.09
Annual,Euro per billion GDP,Switzerland,0.62,0.87,1.24,1.25,1.64,1.04,0.75,0.65,0.67,0.52,0.64,0.58 p,0.54 p
Annual,Euro per billion GDP,China except Hong Kong,0.02,0.05,0.06,0.08,0.11,0.11,0.09,0.09,0.09,0.09,0.1,0.1,0.12
Annual,Euro per billion GDP,Cyprus,0.31,0.14,0.47,0.55,0.45,0.11,0.37,0.62,0.81,0.72,1.6,1.37,0.79 p
Annual,Euro per billion GDP,Czechia,0.11,0.38,0.76,1.2,1.06,0.87,1.07,1.25,1.58,1.74,1.5,1.64,1.29
Annual,Euro per billion GDP,Germany,0.86,1.13,1.27,1.29,1.37,1.3,1.34,1.3,1.28,1.27,1.24,1.19,1.07
Annual,Euro per billion GDP,Denmark,1.49,1.45,1.48,1.64,1.72,1.67,1.73,1.51,1.6,1.66,1.5,1.68,1.71
Annual,Euro per billion GDP,Estonia,:,0.52,0.27,0.89,0.62,0.91,1.63,2.11,2.4,2.01,2.44,1.67,1.88
Annual,Euro per billion GDP,Greece,0.03,0.02,0.06,0.03,0.13,0.1,0.13,0.19,0.21 p,0.2 p,0.37 p,0.26 p,0.37 p
