Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Percentage of households,Households located in cities,Albania,:,:,:,:,:,:,:,98.18,98.91,:
Annual,Percentage of households,Households located in cities,Austria,85.6,88.09,89.26,90.16,91.82,92.35,96.14,95.24,96.09,95.81
Annual,Percentage of households,Households located in cities,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,83.77,86.16
Annual,Percentage of households,Households located in cities,Belgium,79.47,83.79,85.21,86.19,88.25,89.75,90.77,93.99,94.63,92.22
Annual,Percentage of households,Households located in cities,Bulgaria,71.35,73.11,77.34,80.55,82.43,86.47,90.67,91.29,93.07,96.35
Annual,Percentage of households,Households located in cities,Switzerland,:,:,93.11 b,:,95.27,:,98.4,:,100.0,:
Annual,Percentage of households,Households located in cities,Cyprus,74.67,76.17,84.64,89.8,92.24,93.25,93.06,95.39,92.17,96.78
Annual,Percentage of households,Households located in cities,Czechia,84.08,86.38,86.25,89.35,90.11,90.09,92.69,93.59,94.7,96.3
Annual,Percentage of households,Households located in cities,Germany,90.86,92.98,93.57,95.47,94.96,95.58,92.74 b,91.56,92.75,93.56
Annual,Percentage of households,Households located in cities,Denmark,90.65,94.88,97.91,92.51,95.97,96.11,96.99,96.23,96.81,96.22
Annual,Percentage of households,Households located in cities,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",85.08,87.49,89.19,91.07,92.34,93.23 e,94.24 b,93.96,94.81,95.16
Annual,Percentage of households,Households located in cities,Estonia,89.54,89.83,91.22,91.85,91.54,91.35,94.41,93.05,93.75,92.67
Annual,Percentage of households,Households located in cities,Greece,75.35,77.29,79.69,84.14,84.79,85.73,88.82,89.91,91.09,92.5
Annual,Percentage of households,Households located in cities,Spain,82.54,84.62,85.96,89.54,93.46,96.58,96.71,97.23,97.32,97.65
Annual,Percentage of households,Households located in cities,European Union - 15 countries (1995-2004),86.66,88.92,90.56,91.78,:,:,:,:,:,:
Annual,Percentage of households,Households located in cities,European Union - 27 countries (2007-2013),85.5,87.89,89.64,91.01,:,:,:,:,:,:
Annual,Percentage of households,Households located in cities,European Union - 27 countries (from 2020),84.43,86.87,88.65,90.53,91.91,92.97 e,94.10 b,94.05,94.88,95.44
Annual,Percentage of households,Households located in cities,European Union - 28 countries (2013-2020),85.49,87.84,89.59,90.99,92.5,:,:,:,:,:
Annual,Percentage of households,Households located in cities,Finland,93.65,94.74,97.33,95.2,97.02,97.66,98.1,98.58,98.37,98.32
Annual,Percentage of households,Households located in cities,France,84.27,86.87,88.55,90.1,91.91,:,94.91,93.72,95.14,95.08
Annual,Percentage of households,Households located in cities,Croatia,83.19,78.93,79.45,87.24,85.55,90.85,91.63,91.0,92.94,91.44
Annual,Percentage of households,Households located in cities,Hungary,83.24,86.01,88.07,88.62,90.54,91.83,94.1,94.94,96.39,97.7
Annual,Percentage of households,Households located in cities,Ireland,88.92,89.79,92.15,94.62,92.87,92.19,98.21 b,: u,93.77,92.8
Annual,Percentage of households,Households located in cities,Iceland,:,:,98.33,98.92,97.82,98.49,98.43,:,:,:
