Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,Assault,Austria,0.44,0.48,0.45,0.39,0.66,0.56,0.58,0.62,0.57,0.48,0.63
Annual,Rate,Females,Total,Assault,Belgium,1.13,0.85,0.92,0.77,0.94,0.84,0.94,0.8,0.62,0.51,0.61
Annual,Rate,Females,Total,Assault,Bulgaria,0.72,0.71,0.8,0.8,0.61,0.68,0.78,0.85,0.52,0.49,0.58
Annual,Rate,Females,Total,Assault,Switzerland,0.56,0.44,0.61,0.5,0.49,0.41,0.35,0.48,0.43,0.59,0.43
Annual,Rate,Females,Total,Assault,Cyprus,1.27,0.8,0.63,0.95,0.76,1.01,0.24,1.71,1.74,0.86,1.09
Annual,Rate,Females,Total,Assault,Czechia,0.63,0.73,0.83,0.57,0.63,0.48,0.55,0.48,0.63,0.55,0.53
Annual,Rate,Females,Total,Assault,Germany,0.47,0.49,0.52,0.46,0.52,0.45,0.4,0.39,0.34,0.41,0.39
Annual,Rate,Females,Total,Assault,Denmark,0.43,0.24,0.21,0.69,0.45,0.34,0.36,0.43,0.45,0.29,0.35
Annual,Rate,Females,Total,Assault,Estonia,1.83,2.41,2.6,1.15,1.45,1.39,1.31,0.71,0.69,1.43,0.61
Annual,Rate,Females,Total,Assault,Greece,0.52,0.59,0.8,0.48,0.53,0.38,0.44,0.48,0.37,0.43,0.51
Annual,Rate,Females,Total,Assault,Spain,0.41,0.41,0.43,0.45,0.48,0.42,0.47,0.39,0.43,0.41,0.35
Annual,Rate,Females,Total,Assault,European Union - 27 countries (from 2020),0.62,0.59,0.61,0.53,0.54,0.47,0.47,0.44,0.44,0.44,0.43
Annual,Rate,Females,Total,Assault,Finland,1.24,1.31,0.72,0.92,0.58,0.7,0.92,0.63,0.82,0.64,0.8
Annual,Rate,Females,Total,Assault,France,0.45,0.48,0.45,0.32,0.36,0.27,0.3,0.35,0.38,0.35,0.44
Annual,Rate,Females,Total,Assault,Croatia,0.82,0.64 d,0.95 d,0.92,0.82,0.97,0.93,0.37,0.51,0.83,0.57
Annual,Rate,Females,Total,Assault,Hungary,1.41 d,1.07 d,0.98 d,0.8,1.09,0.74,0.7,0.64,0.72,0.59,0.4
Annual,Rate,Females,Total,Assault,Ireland,0.03,0.4,0.2,0.22,0.2,0.06,0.11,0.12,0.07,0.07,0.08
Annual,Rate,Females,Total,Assault,Iceland,0.52,0.66,0.45,0.53,:,0.63,1.13,0.0,0.0,1.24,0.0
Annual,Rate,Females,Total,Assault,Italy,0.35,0.37,0.41,0.35,0.31,0.36,0.32,0.31,0.25,0.28,0.32
Annual,Rate,Females,Total,Assault,Liechtenstein,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Females,Total,Assault,Lithuania,2.85,2.25,2.5,1.88,2.44,1.8,1.45,0.69,0.98,1.04,0.99
Annual,Rate,Females,Total,Assault,Luxembourg,:,:,0.33,0.99,0.67,0.29,0.0,0.64,0.72,0.0,0.58
Annual,Rate,Females,Total,Assault,Latvia,3.0,2.99,3.05,3.5,2.87,1.95,1.99,1.94,1.13,1.88,1.73
Annual,Rate,Females,Total,Assault,Malta,0.92,1.05,:,:,0.45,0.86,0.51,1.39,0.67,0.3,0.0
Annual,Rate,Females,Total,Assault,Netherlands,0.61,0.57,0.67,0.37,0.5,0.41,0.5,0.44,0.49,0.5,0.43
Annual,Rate,Females,Total,Assault,Norway,1.93,0.35,0.72,0.31,0.47,0.54,0.42,0.33,0.66,0.64,0.57
Annual,Rate,Females,Total,Assault,Poland,0.64,0.51,0.62,0.45,0.45,0.41,0.38,0.26,0.33,0.3,0.3
Annual,Rate,Females,Total,Assault,Portugal,0.6,0.73,0.63,1.0,0.61,0.39,0.42,0.46,0.71,0.57,0.48
Annual,Rate,Females,Total,Assault,Romania,1.49,1.41,1.21,1.22,1.05,0.92,0.89,0.86,0.96,0.95,0.79
Annual,Rate,Females,Total,Assault,Serbia,0.96,0.94,1.5,0.84,1.04,1.24,0.92,0.82,0.84,0.76,0.86
Annual,Rate,Females,Total,Assault,Sweden,0.46,0.49,0.48,0.54,0.55,0.55,0.47,0.53,0.44,0.48,0.4
Annual,Rate,Females,Total,Assault,Slovenia,1.02,0.54,0.74,0.96,0.86,0.49,0.75,0.69,0.3,1.08,0.67
Annual,Rate,Females,Total,Assault,Slovakia,1.25,0.84,1.15,0.67,0.61,0.6,0.36,0.46,0.24,0.41,0.3
Annual,Rate,Females,Total,Assault,Türkiye,0.47 d,0.4 d,0.66 d,0.55 d,0.51 d,0.64 d,0.65 d,0.52 d,0.46 d,0.41 d,0.43 d
Annual,Rate,Females,Total,Assault,United Kingdom,0.14 d,0.09 d,0.1 d,0.11 d,0.1 d,0.09 d,0.09 d,0.08 d,:,:,:
Annual,Rate,Males,Total,Assault,Austria,0.64,0.38,0.42,0.46,0.45,0.41,0.48,0.52,0.45,0.35,0.14
Annual,Rate,Males,Total,Assault,Belgium,1.57,1.48,1.04,1.27,1.17,1.37,1.23,1.19,1.01,0.94,0.71
Annual,Rate,Males,Total,Assault,Bulgaria,1.9,2.35,1.69,1.91,2.21,1.56,1.55,1.57,1.47,0.98,1.56
Annual,Rate,Males,Total,Assault,Switzerland,0.52,0.54,0.44,0.31,0.63,0.27,0.4,0.44,0.38,0.44,0.35
Annual,Rate,Males,Total,Assault,Cyprus,3.53,3.17,2.17,1.34,2.21,1.52,1.88,1.4,1.13,2.01,1.96
Annual,Rate,Males,Total,Assault,Czechia,1.18,1.17,0.89,0.91,1.08,0.54,0.67,0.58,0.84,0.63,0.43
Annual,Rate,Males,Total,Assault,Germany,0.6,0.55,0.48,0.45,0.54,0.47,0.47,0.42,0.45,0.49,0.38
Annual,Rate,Males,Total,Assault,Denmark,1.16,0.42,0.48,0.81,0.72,0.6,1.24,0.94,0.82,0.95,0.83
Annual,Rate,Males,Total,Assault,Estonia,7.84,7.85,5.59,5.19,6.14,4.06,3.49,4.02,3.15,5.03,3.63
Annual,Rate,Males,Total,Assault,Greece,2.63,2.27,1.93,1.67,1.21,1.19,1.23,1.36,1.25,1.07,1.15
Annual,Rate,Males,Total,Assault,Spain,0.96,0.84,0.88,0.83,0.7,0.73,0.82,0.72,0.74,0.79,0.82
Annual,Rate,Males,Total,Assault,European Union - 27 countries (from 2020),1.28,1.22,1.11,1.03,0.99,0.92,0.89,0.9,0.89,0.9,0.87
Annual,Rate,Males,Total,Assault,Finland,2.32,1.35,2.23,1.89,2.04,1.66,1.26,1.79,1.48,2.17,1.55
Annual,Rate,Males,Total,Assault,France,0.94,0.9,0.89,0.65,0.66,0.67,0.55,1.01,1.09,1.13,1.21
Annual,Rate,Males,Total,Assault,Croatia,1.47,1.89 d,1.19 d,0.87,1.0,1.68,1.52,0.75,1.24,1.0,0.91
Annual,Rate,Males,Total,Assault,Hungary,2.22 d,1.73 d,1.58 d,1.12,1.52,1.24,0.91,1.47,0.92,1.25,1.01
Annual,Rate,Males,Total,Assault,Ireland,1.21,1.32,0.93,1.2,0.73,0.99,0.62,0.79,0.49,0.23,0.21
Annual,Rate,Males,Total,Assault,Iceland,1.09,:,1.55,:,2.51,:,0.56,0.67,0.0,0.0,0.41
Annual,Rate,Males,Total,Assault,Italy,0.98,1.0,0.78,0.78,0.84,0.67,0.64,0.61,0.5,0.42,0.5
Annual,Rate,Males,Total,Assault,Liechtenstein,:,:,:,4.43,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Males,Total,Assault,Lithuania,7.81,6.89,7.77,5.97,5.86,5.6,4.31,4.58,3.43,4.16,2.33
Annual,Rate,Males,Total,Assault,Luxembourg,0.75,0.67,:,1.24,1.24,0.61,0.3,0.26,0.65,0.58,1.21
Annual,Rate,Males,Total,Assault,Latvia,9.86,10.21,9.23,10.72,7.69,7.63,5.78,6.05,5.99,5.38,5.56
