Time frequency,Effects,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical injury,Percentage,Austria,12.5
Annual,Physical injury,Percentage,Belgium,12.5
Annual,Physical injury,Percentage,Bulgaria,5.9
Annual,Physical injury,Percentage,Cyprus,11.0
Annual,Physical injury,Percentage,Czechia,6.3
Annual,Physical injury,Percentage,Germany,13.7
Annual,Physical injury,Percentage,Denmark,: u
Annual,Physical injury,Percentage,Estonia,14.5
Annual,Physical injury,Percentage,Greece,11.3
Annual,Physical injury,Percentage,Spain,9.3
Annual,Physical injury,Percentage,European Union (aggregate changing according to the context),13.1 e
Annual,Physical injury,Percentage,Finland,19.5
Annual,Physical injury,Percentage,France,: u
Annual,Physical injury,Percentage,Croatia,7.7
Annual,Physical injury,Percentage,Hungary,22.0
Annual,Physical injury,Percentage,Ireland,16.4
Annual,Physical injury,Percentage,Lithuania,12.5
Annual,Physical injury,Percentage,Luxembourg,14.6
Annual,Physical injury,Percentage,Latvia,12.2
Annual,Physical injury,Percentage,Montenegro,3.1 u
Annual,Physical injury,Percentage,Malta,10.8
Annual,Physical injury,Percentage,Netherlands,12.0
Annual,Physical injury,Percentage,Poland,: u
Annual,Physical injury,Percentage,Portugal,7.5
Annual,Physical injury,Percentage,Romania,24.9
Annual,Physical injury,Percentage,Serbia,5.3
Annual,Physical injury,Percentage,Sweden,17.1
Annual,Physical injury,Percentage,Slovenia,9.0
Annual,Physical injury,Percentage,Slovakia,: u
Annual,Physical injury,Percentage,Kosovo*,1.5 u
Annual,Felt that their life was in danger,Percentage,Austria,8.1
Annual,Felt that their life was in danger,Percentage,Belgium,10.4
Annual,Felt that their life was in danger,Percentage,Bulgaria,2.8 u
Annual,Felt that their life was in danger,Percentage,Cyprus,14.9
Annual,Felt that their life was in danger,Percentage,Czechia,4.3
Annual,Felt that their life was in danger,Percentage,Germany,8.6
Annual,Felt that their life was in danger,Percentage,Denmark,: u
Annual,Felt that their life was in danger,Percentage,Estonia,12.0
Annual,Felt that their life was in danger,Percentage,Greece,14.2
Annual,Felt that their life was in danger,Percentage,Spain,9.0
Annual,Felt that their life was in danger,Percentage,European Union (aggregate changing according to the context),9.2 e
Annual,Felt that their life was in danger,Percentage,Finland,10.6
Annual,Felt that their life was in danger,Percentage,France,: u
Annual,Felt that their life was in danger,Percentage,Croatia,6.3
Annual,Felt that their life was in danger,Percentage,Hungary,12.3
Annual,Felt that their life was in danger,Percentage,Ireland,14.5
Annual,Felt that their life was in danger,Percentage,Lithuania,8.0
Annual,Felt that their life was in danger,Percentage,Luxembourg,14.1
Annual,Felt that their life was in danger,Percentage,Latvia,13.0
Annual,Felt that their life was in danger,Percentage,Montenegro,: u
Annual,Felt that their life was in danger,Percentage,Malta,12.3
Annual,Felt that their life was in danger,Percentage,Netherlands,6.4
Annual,Felt that their life was in danger,Percentage,Poland,6.9
Annual,Felt that their life was in danger,Percentage,Portugal,5.9
Annual,Felt that their life was in danger,Percentage,Romania,17.8
Annual,Felt that their life was in danger,Percentage,Serbia,6.9
Annual,Felt that their life was in danger,Percentage,Sweden,13.0
Annual,Felt that their life was in danger,Percentage,Slovenia,5.6
Annual,Felt that their life was in danger,Percentage,Slovakia,: u
Annual,Felt that their life was in danger,Percentage,Kosovo*,2.3 u
