Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Ireland,260.0,385.0,580.0,840.0,855.0,1090.0,360.0,670.0,2420.0,2890.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Iceland,30.0,90.0,275.0,175.0,180.0,225.0,160.0,280.0,1095.0,910.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Italy,4410.0,7295.0,11170.0,15510.0,10185.0,6625.0,4045.0,7175.0,8620.0,10880.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Liechtenstein,20.0,40.0,15.0,50.0,25.0,10.0,5.0,25.0,5.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Lithuania,105.0,70.0,165.0,185.0,130.0,310.0,120.0,940.0,210.0,110.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Luxembourg,355.0,780.0,625.0,630.0,615.0,770.0,505.0,535.0,860.0,915.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Latvia,60.0,85.0,125.0,135.0,40.0,40.0,40.0,175.0,175.0,285.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Montenegro,:,:,:,:,270.0,200.0,30.0,55.0,35.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Malta,315.0,395.0,455.0,465.0,460.0,505.0,190.0,185.0,215.0,80.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Netherlands,5130.0,10580.0,6220.0,4280.0,5510.0,5670.0,3175.0,6225.0,9125.0,10255.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Norway,2395.0,10370.0,1250.0,1080.0,800.0,605.0,360.0,455.0,1170.0,1160.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Poland,3340.0,5570.0,5920.0,2335.0,1870.0,1795.0,1040.0,2555.0,2650.0,2345.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Portugal,75.0,145.0,360.0,560.0,300.0,325.0,190.0,430.0,415.0,405.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Romania,375.0,295.0,530.0,1595.0,550.0,540.0,1575.0,2760.0,2575.0,940.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Sweden,23265.0,70385.0,10875.0,9005.0,8500.0,9510.0,6150.0,6340.0,6375.0,4460.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Slovenia,120.0,85.0,425.0,510.0,790.0,835.0,775.0,1905.0,1070.0,155.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,Slovakia,65.0,105.0,35.0,35.0,45.0,45.0,15.0,35.0,140.0,85.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,Asylum applicant,United Kingdom,7030.0,8280.0,9505.0,7975.0,9455.0,10710.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Austria,8080.0,31655.0,17365.0,11625.0,6375.0,5900.0,5580.0,11690.0,22825.0,19450.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Belgium,4080.0,12100.0,4955.0,4710.0,5850.0,7175.0,4570.0,7225.0,9685.0,8415.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Bulgaria,3305.0,5470.0,6530.0,1140.0,830.0,710.0,1105.0,3700.0,5085.0,5675.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Switzerland,6410.0,11145.0,8925.0,6595.0,5745.0,5875.0,4625.0,6080.0,9675.0,11200.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Cyprus,350.0,510.0,675.0,685.0,1085.0,1160.0,580.0,1080.0,2150.0,2135.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Czechia,210.0,250.0,240.0,235.0,245.0,260.0,100.0,170.0,200.0,160.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Germany,54910.0,137415.0,261320.0,89175.0,78270.0,71390.0,55315.0,73245.0,81210.0,103465.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Denmark,2995.0,6295.0,2390.0,1165.0,1095.0,995.0,420.0,725.0,1455.0,715.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Estonia,15.0,70.0,60.0,75.0,20.0,35.0,10.0,20.0,180.0,150.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Greece,1300.0,2420.0,19635.0,19670.0,21575.0,25165.0,10665.0,7035.0,8095.0,13790.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Spain,1140.0,3715.0,3710.0,7730.0,11035.0,21710.0,15485.0,9185.0,20580.0,30710.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,European Union - 27 countries (from 2020),137695.0,359935.0,377090.0,193600.0,176525.0,190610.0,128320.0,166685.0,218435.0,255075.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Finland,805.0,7590.0,1705.0,1315.0,910.0,870.0,430.0,475.0,1500.0,1025.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,France,13940.0,13590.0,15240.0,20960.0,24525.0,32440.0,19550.0,25750.0,34070.0,38495.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Croatia,15.0,20.0,460.0,165.0,220.0,505.0,745.0,1165.0,1000.0,430.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Hungary,11670.0,45315.0,8455.0,1590.0,345.0,240.0,45.0,25.0,20.0,10.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Ireland,260.0,385.0,580.0,840.0,860.0,1090.0,355.0,665.0,2420.0,2880.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Iceland,:,:,270.0,175.0,170.0,215.0,155.0,280.0,1095.0,905.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Italy,4340.0,7175.0,11080.0,15495.0,8535.0,4300.0,2675.0,6520.0,7835.0,10335.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Liechtenstein,:,:,15.0,50.0,25.0,10.0,0.0,20.0,5.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Lithuania,95.0,60.0,160.0,180.0,120.0,305.0,90.0,925.0,195.0,105.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Luxembourg,315.0,725.0,805.0,610.0,580.0,760.0,500.0,520.0,840.0,900.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Latvia,55.0,85.0,120.0,135.0,40.0,40.0,30.0,175.0,160.0,280.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Montenegro,:,:,:,:,270.0,200.0,30.0,55.0,35.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Malta,305.0,375.0,420.0,440.0,445.0,495.0,175.0,160.0,190.0,60.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Netherlands,4675.0,10205.0,5875.0,3850.0,4845.0,5185.0,2935.0,5985.0,8845.0,10125.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Norway,2335.0,10290.0,1225.0,1060.0,790.0,590.0,355.0,450.0,1150.0,1140.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Poland,2145.0,4780.0,4810.0,1385.0,1055.0,1200.0,455.0,1955.0,1950.0,1745.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Portugal,75.0,145.0,140.0,250.0,300.0,320.0,135.0,330.0,360.0,370.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Romania,375.0,295.0,525.0,1575.0,520.0,515.0,1565.0,2655.0,2555.0,935.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Sweden,22075.0,69130.0,9385.0,8060.0,6005.0,7000.0,4010.0,3370.0,3845.0,2480.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Slovenia,115.0,80.0,420.0,515.0,790.0,815.0,775.0,1905.0,1055.0,150.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,Slovakia,50.0,90.0,30.0,35.0,45.0,40.0,15.0,35.0,135.0,85.0
Annual,Extra-EU27 (from 2020),Total,Person,Less than 18 years,First time applicant,United Kingdom,6855.0,8115.0,9325.0,7750.0,9250.0,10295.0,:,:,:,:
