Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Liechtenstein,5.0,10.0,5.0,10.0,5.0,5.0,0.0,5.0,0.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Lithuania,15.0,15.0,25.0,15.0,25.0,30.0,15.0,340.0,25.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Luxembourg,65.0,185.0,115.0,100.0,105.0,105.0,80.0,95.0,185.0,225.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Latvia,20.0,25.0,15.0,20.0,10.0,5.0,5.0,30.0,35.0,65.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Montenegro,:,:,:,:,45.0,30.0,5.0,10.0,5.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Malta,110.0,85.0,65.0,65.0,65.0,110.0,20.0,25.0,60.0,25.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Netherlands,1675.0,4805.0,2150.0,1490.0,1750.0,1450.0,1065.0,2475.0,4500.0,5775.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Norway,1090.0,5590.0,325.0,220.0,175.0,165.0,125.0,210.0,660.0,470.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Poland,360.0,555.0,565.0,255.0,245.0,215.0,145.0,425.0,460.0,450.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Portugal,20.0,50.0,80.0,100.0,75.0,95.0,90.0,155.0,175.0,160.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Romania,145.0,100.0,135.0,415.0,160.0,245.0,1220.0,2145.0,790.0,420.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Sweden,8230.0,35575.0,2625.0,1830.0,1770.0,1855.0,1230.0,1330.0,1475.0,965.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Slovenia,70.0,45.0,235.0,390.0,585.0,670.0,550.0,935.0,360.0,65.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,Slovakia,10.0,30.0,5.0,20.0,20.0,30.0,10.0,20.0,25.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,Asylum applicant,United Kingdom,2570.0,3685.0,4015.0,3030.0,4000.0,4840.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Austria,2920.0,12495.0,5065.0,2130.0,750.0,1110.0,1505.0,5870.0,14005.0,6160.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Belgium,1130.0,4710.0,1760.0,1435.0,1760.0,2375.0,2090.0,3565.0,4500.0,3240.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Bulgaria,1410.0,2205.0,2995.0,500.0,510.0,535.0,815.0,2985.0,3270.0,3725.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Switzerland,1540.0,3775.0,2580.0,1120.0,760.0,925.0,935.0,1620.0,4435.0,5175.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Cyprus,85.0,145.0,240.0,215.0,270.0,440.0,250.0,545.0,1095.0,960.0
