Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,13000.0,PROD_BP,MIO_EUR,AT,3475.99,3446.5,3229.17,3200.84,3588.42,3513.05,3610.36,3594.59,3727.41,4483.6,4740.37,4684.22 e
Annual,13000.0,PROD_BP,MIO_EUR,BE,4746.45,4586.53,4510.29,4303.63,4732.5,4488.91,4747.4,4711.29,4858.8,6443.07,6295.51,6369.38 e
Annual,13000.0,PROD_BP,MIO_EUR,BG,1162.17,1122.39,1041.19,936.43,952.43,946.7,976.64,1003.17,1003.48,1193.2,1296.22,1267.20 e
Annual,13000.0,PROD_BP,MIO_EUR,CH,4472.77,4619.31,4912.56,4829.23,4754.36,4615.38,4949.85,5376.11,5471.46,5948.68,6177.78,6315.06 e
Annual,13000.0,PROD_BP,MIO_EUR,CY,355.07,367.09,354.78,399.81,410.88,419.09,434.96,455.65,480.42,477.21,539.22,558.94 e
Annual,13000.0,PROD_BP,MIO_EUR,CZ,1805.05,1871.83,1702.61,1683.03,1953.63,2014.97,2057.6,1988.06,2093.29,2689.12,2923.97,2883.15 e
Annual,13000.0,PROD_BP,MIO_EUR,DE,29619.77,28714.29,25592.35,25119.18,29307.92,27804.72,28818.5,26520.28,26967.97,36688.37,35921.79,36007.50 e
Annual,13000.0,PROD_BP,MIO_EUR,DK,6780.66,6786.93,5754.22,6063.4,6777.78,6253.37,6597.04,6948.35,6475.64,7684.47,7708.58,7497.95 e
Annual,13000.0,PROD_BP,MIO_EUR,EA19,127337.7,126081.67,119411.62,117329.21,129437.62,125788.09,129549.56,126385.34,130885.97,165132.27,170106.96,169079.79 e
Annual,13000.0,PROD_BP,MIO_EUR,EA20,128159.5,126836.7,120160.58,118078.52,130233.43,126560.43,130417.37,127218.1,131854.64,166257.25,171217.53,170157.12 e
Annual,13000.0,PROD_BP,MIO_EUR,EE,451.68,424.26,364.56,348.97,438.18,401.49,417.99,414.87,451.43,652.94,641.71,621.35 e
Annual,13000.0,PROD_BP,MIO_EUR,EL,2603.75,2555.92,2615.55,2529.89,2641.23,2597.44,2516.8,2480.48,2585.81,2964.2,3370.55,3384.76 e
Annual,13000.0,PROD_BP,MIO_EUR,ES,16457.63,16681.48,16727.33,17310.56,18961.99,19000.46,19919.56,19732.35,20482.16,24436.63,28458.52,28077.75 e
