Time frequency,Unit of measure,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rate,Crude birth rate - per thousand persons,Algeria,21.4,22.1,23.0,23.6,24.1,24.7,24.8,26.1,25.1,25.9,26.0,26.1,25.4,24.4,23.8,:,:,:,:
Annual,Rate,Crude birth rate - per thousand persons,Egypt,25.5,:,26.5,27.3,28.8,28.7,30.4,31.9,31.0,31.3,30.2,28.6,:,24.5,23.3,22.2,21.4,:,:
Annual,Rate,Crude birth rate - per thousand persons,Israel,20.8,21.0,21.1,21.5,21.5,21.8,21.4,21.6,21.3,21.5,21.3,21.2,21.1,20.8,20.1,19.2,19.7,19.0,:
Annual,Rate,Crude birth rate - per thousand persons,Jordan,28.0,29.1 p,29.1 p,29.1 p,30.1 p,30.1 p,28.9,28.1,27.6,28.6,23.0,22.6,23.3,22.3 d,20.6 d,20.6 d,17.4 d,18.1 d,:
Annual,Rate,Crude birth rate - per thousand persons,Lebanon,:,:,21.5 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Crude birth rate - per thousand persons,Libya,:,23.3,23.7,24.9,24.6,25.0,:,21.6,21.8,22.0,22.7,22.9,23.0,23.9,24.0,:,:,:,:
Annual,Rate,Crude birth rate - per thousand persons,Morocco,20.0 e,19.8 e,19.5 e,19.2 e,18.8 e,18.7 e,18.5 e,18.3 e,18.1,17.8,17.6,17.4,17.2,16.9,16.7,16.5,16.2,16.0,15.7
Annual,Rate,Crude birth rate - per thousand persons,Palestine*,37.3 e,36.7 e,32.5,32.6,32.7,32.8 e,32.8 e,32.7 e,32.6,32.3,31.9,30.9,30.7,30.5,30.2,29.9,29.5,29.2,28.8
Annual,Rate,Crude birth rate - per thousand persons,Tunisia,17.1,16.8,17.4 p,17.7 p,18.9,19.3,19.3,20.2,20.5,20.5,19.9,19.4,18.3,17.6,16.8,14.8,13.6,:,:
Annual,Rate,Crude death rate - per thousand persons,Algeria,4.5,4.3,4.4,4.4,4.5,4.4,4.4,4.5,4.4,4.4,4.6,4.4,4.6,4.5,4.6,:,:,:,:
