Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,65 years or over,European Union - 27 countries (from 2020),-5.25,-6.36,-6.83 e,-6.55 e,-6.79 e,-6.14 e,-6.23 e,-7.25 e,-7.57 b,-7.46,-8.43,-6.76
Annual,Number,65 years or over,European Union - 28 countries (2013-2020),-4.99,-6.27,-7.18,-6.81,-7.21,-6.62,-6.54,-7.42 e,:,:,:,:
Annual,Number,65 years or over,Finland,-7.87,-2.81,-4.3,-6.13,-5.66,-6.22,-6.36,-1.08,5.13,4.56,-6.12,-6.4
Annual,Number,65 years or over,France,-3.41,-5.23,-5.3,-4.22,-5.78,-3.77,-2.54,-0.2,-2.63 b,-4.37,-5.12 b,-1.92
Annual,Number,65 years or over,Croatia,-14.16,-10.22,-4.56,-7.79,-17.37,-14.43,-17.0,-16.66,-16.93,-22.62,-18.18,-13.12 b
Annual,Number,65 years or over,Hungary,2.49,-0.85,-0.01,-2.96,-2.13,-3.12,-4.81,-6.09,0.25,-4.91,-5.63,-18.69
Annual,Number,65 years or over,Ireland,1.71,2.91,1.13,4.38,3.59,-0.55,-10.68,-0.93 b,-9.13 b,-15.57,-13.27,-4.17
Annual,Number,65 years or over,Iceland,1.26,2.58,4.16,-3.09,-9.04,-6.46,1.67,2.6,:,:,:,:
Annual,Number,65 years or over,Italy,-9.52,-8.26,-10.42,-9.3,-6.45,-5.95,-4.62,-12.79,-10.71,-8.61,-10.99,-6.71
Annual,Number,65 years or over,Lithuania,-3.23,-12.99,-12.01,-11.18,-13.15,-12.86,-20.61,-27.06,-22.28,-21.67,-20.62,-21.1
Annual,Number,65 years or over,Luxembourg,-7.43,-0.4,0.73,0.12,-6.43 b,-11.76,-13.17,-12.59,-6.16 b,1.92 b,-11.02 b,-5.06
Annual,Number,65 years or over,Latvia,-5.03,-7.32,-12.6,-6.11,-5.78,-5.1,-9.95,-1.79,-6.91,-11.99,-12.31,-10.06
Annual,Number,65 years or over,Montenegro,:,-5.32,-4.67,-9.56,-3.78,-5.28,-0.03,1.34,-2.68,-9.76,-5.13,:
Annual,Number,65 years or over,North Macedonia,-3.53,-0.83,-2.21,-0.21,-1.59,1.94,-2.5,-0.31,-1.87,:,:,:
Annual,Number,65 years or over,Malta,7.64,3.82,-0.07,-6.29,-13.91,-16.64,-18.27,-17.23,-11.8,-17.5,-18.06,-17.61
Annual,Number,65 years or over,Netherlands,1.24,-2.51,-5.16,-3.09,-0.70 b,-1.4,0.27,-2.65,-1.9,-3.52,-8.89,-3.08
