Time frequency,Unit of measure,Item of meat,Meat product,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Albania,:,:,:,3.26,2.27,2.72,2.08,2.12,1.37,1.69,1.98,1.58
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Austria,8.37,8.45,7.98,7.77,7.3,7.69,7.33 e,7.86 e,7.21 e,7.42 e,7.13 e,7.59 e
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Bosnia and Herzegovina,:,:,:,1.37,1.28,1.3,1.47,1.6,0.93,:,1.16,1.36
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Belgium,2.16,2.41,2.56,2.72,3.02,3.23,3.09,3.01,2.85,3.06 p,2.51,2.19
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Bulgaria,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Switzerland,:,:,:,5.09,4.75,5.05,5.68,5.73,5.47,:,5.33,5.49
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Cyprus,5.73,5.29,5.2,5.39,4.96,5.26,5.67,5.38,4.61,5.15,5.56,4.7
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Czechia,0.17,0.18,0.19,0.18,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n,0.00 n
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Germany,22.0,20.0,19.0,21.0,22.0,22.0,24.0,24.0,26.0,25.19,23.4,22.29
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Denmark,1.7,1.6,1.7,1.8,1.6,0.0,1.6,1.6,1.3,1.3,1.22,1.21
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Estonia,0.15,0.11,0.11,0.09,0.1,0.13,0.18,0.18,0.19,0.18,0.16,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Greece,99.37,85.71,82.31,76.83,74.52,71.32,70.1,72.33,66.68,69.11,67.24,62.04
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Spain,131.69 p,127.2,122.84,124.98,126.96,125.83 p,130.62,131.76 p,125.27 p,130.51,130.22,114.2
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,European Union - 27 countries (from 2020),: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Finland,0.88,0.92,1.03,1.2,1.27,1.3,1.43,1.41,1.37,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,France,89.33 p,86.52 p,86.67 p,86.95 p,89.32,86.93 p,87.59 p,87.20 p,86.40 p,88.00 p,85.47 p,78.70 p
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Croatia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Hungary,0.23,0.25,0.34,0.42,0.57,0.59,0.8,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Ireland,53.73,57.47,57.6,58.36,60.95,67.12,68.41,66.04,66.23,63.43,68.22,69.72
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Iceland,9.9,9.8,10.1,10.1,10.29,10.61,10.48,9.72,9.47,9.39,8.8,8.4
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Italy,32.17,36.55,26.64,35.44,32.92,35.03,35.58,32.64,29.8,30.2,30.26,27.56
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Lithuania,0.1,0.09,0.09,0.12,0.15,0.14,: @C,: @C,0.19,0.17,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Luxembourg,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Latvia,0.34 p,0.24,0.24,0.27 p,0.37,0.43,0.48,0.51,0.56,0.45,0.47,0.47
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Montenegro,:,:,0.83,0.86,0.73,0.8,0.93,1.09,0.85,:,1.00 p,1.10 p
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,North Macedonia,:,:,3.34,2.25,:,3.52,1.92,1.64,1.42,2.44,3.52,1.16
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Malta,0.1,0.11,0.12,0.12,0.13,0.16,0.14,0.18,0.18,0.17,0.19,0.2
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Netherlands,14.6,13.84,14.28,14.45,14.36,14.12,14.09 p,15.53 p,18.54,18.46,18.56,20.61 p
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Poland,0.7,0.65,0.57,: @C,: @C,: @C,: @C,1.15,: @C,1.18,1.28,1.4
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Portugal,10.63,10.78,10.94,11.28,10.79,10.26,10.21,10.77,9.58,10.52,10.18,8.41
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Romania,: @C,: @C,: @C,9.26,: @C,: @C,12.45 p,12.32 p,7.23 p,: @C,: @C,4.99 p
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Serbia,1.37,0.94,1.28,1.29,0.00 n,0.00 n,0.00 n,:,0.00 n,0.00 n,0.00 n,0.00 n
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Sweden,5.04,4.91,5.09,5.13,5.02,5.28,5.62,5.1,4.87,4.72,4.68,4.74
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Slovenia,0.11,0.09,0.12,0.12 p,0.13,0.15,0.17,0.17,0.13,0.16,0.17,0.16
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Slovakia,0.56,0.5,0.6,0.54,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Türkiye,50.39,52.4,55.13,62.27,63.46,57.97,52.15,58.02,58.58,66.35,78.04,76.04
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,United Kingdom,276.06,290.31,298.51,300.52,289.94 p,299.68,288.93,307.8,:,:,:,:
Annual,Thousand tonnes,Slaughterings,Meat of sheep and goats,Kosovo*,:,:,:,:,0.0,0.0,0.0,:,:,:,0.77,0.67
