Time frequency,Sector,Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Austria,11.45,9.81,10.31,11.16,11.05,8.83,9.02,10.5,9.71,7.45,7.92,9.73
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Belgium,9.85,10.68,8.27,10.1,9.45,9.71 p,8.00 p,9.57 p,8.77 p,9.34 p,7.47 p,9.24 p
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Czechia,12.5,10.75,11.17,10.54,13.01,10.38,10.62,10.68,12.57,9.74,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Germany,9.95 p,9.99 p,10.93 p,10.73 p,9.76 p,10.01 p,10.45 p,10.24 p,9.23 p,9.20 p,9.89 p,9.80 p
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Denmark,11.16,9.96,11.94,11.55,11.65,8.92,10.91,10.66,11.4,9.06,10.3,10.8
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Euro area – 20 countries (from 2023),9.94,10.17,10.12,10.32,9.96,10.12,9.58,9.89,9.52,9.3,9.05,9.4
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Greece,3.40 p,4.08 p,4.10 p,3.48 p,5.10 p,4.99 p,5.06 p,3.69 p,3.38 p,4.67 p,:,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Spain,6.78,7.74,7.17,7.77,7.51,7.04,6.43,6.95,7.01,6.96,6.51,6.77
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,European Union - 27 countries (from 2020),9.93,9.75,9.81,10.21,9.9,9.7,9.29,9.68,9.43,8.81,8.63,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Finland,12.06,12.37,12.65,13.44,11.23,10.13,10.71,10.55,9.06,7.99,8.81,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,France,11.44,10.13,9.6,10.56,10.94,9.55,8.46,9.24,9.72,8.39,7.6,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Hungary,13.49,7.0,5.88,9.96,15.48,8.50 p,5.04 p,7.11 p,12.27 p,5.03 p,4.36 p,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Ireland,7.28,6.63,7.67,7.9,8.61,9.57,9.27,10.66,11.53,8.53,8.82,:
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Italy,10.66,11.58,11.92,10.92,11.17,12.72,12.25,11.88,12.13,12.21,11.6,11.03
Quarterly,Households; non-profit institutions serving households,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Percentage,Netherlands,13.07,14.40 p,12.77 p,13.01 p,12.91 p,14.01 p,12.05 p,12.45 p,12.65 p,13.49 p,12.60 p,:
