Time frequency,Level of activity limitation,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,None,16 years or over,Females,Percentage,Austria,5.0
Annual,None,16 years or over,Females,Percentage,Belgium,4.0
Annual,None,16 years or over,Females,Percentage,Bulgaria,5.3
Annual,None,16 years or over,Females,Percentage,Switzerland,3.4
Annual,None,16 years or over,Females,Percentage,Cyprus,4.6
Annual,None,16 years or over,Females,Percentage,Czechia,2.6
Annual,None,16 years or over,Females,Percentage,Germany,: u
Annual,None,16 years or over,Females,Percentage,Denmark,6.9
Annual,None,16 years or over,Females,Percentage,Euro area – 20 countries (from 2023),6.0 e
Annual,None,16 years or over,Females,Percentage,Estonia,6.2
Annual,None,16 years or over,Females,Percentage,Greece,11.1
Annual,None,16 years or over,Females,Percentage,Spain,4.6
Annual,None,16 years or over,Females,Percentage,European Union - 27 countries (from 2020),5.3 e
Annual,None,16 years or over,Females,Percentage,Finland,11.1
Annual,None,16 years or over,Females,Percentage,France,7.8
Annual,None,16 years or over,Females,Percentage,Croatia,6.0
Annual,None,16 years or over,Females,Percentage,Hungary,4.3
Annual,None,16 years or over,Females,Percentage,Ireland,16.1
Annual,None,16 years or over,Females,Percentage,Italy,4.8
Annual,None,16 years or over,Females,Percentage,Lithuania,4.3
Annual,None,16 years or over,Females,Percentage,Luxembourg,4.9
Annual,None,16 years or over,Females,Percentage,Latvia,5.3
Annual,None,16 years or over,Females,Percentage,Montenegro,10.7
Annual,None,16 years or over,Females,Percentage,Malta,7.5
Annual,None,16 years or over,Females,Percentage,Netherlands,4.9
Annual,None,16 years or over,Females,Percentage,Norway,4.5
Annual,None,16 years or over,Females,Percentage,Poland,0.9
Annual,None,16 years or over,Females,Percentage,Portugal,2.9
Annual,None,16 years or over,Females,Percentage,Romania,3.8
Annual,None,16 years or over,Females,Percentage,Serbia,15.1
Annual,None,16 years or over,Females,Percentage,Sweden,7.9
Annual,None,16 years or over,Females,Percentage,Slovenia,4.7
Annual,None,16 years or over,Females,Percentage,Slovakia,3.2
Annual,None,16 years or over,Females,Percentage,Türkiye,91.9
Annual,None,16 years or over,Males,Percentage,Austria,4.7
Annual,None,16 years or over,Males,Percentage,Belgium,3.7
Annual,None,16 years or over,Males,Percentage,Bulgaria,4.6
Annual,None,16 years or over,Males,Percentage,Switzerland,5.1
Annual,None,16 years or over,Males,Percentage,Cyprus,5.0
Annual,None,16 years or over,Males,Percentage,Czechia,2.7
Annual,None,16 years or over,Males,Percentage,Germany,: u
Annual,None,16 years or over,Males,Percentage,Denmark,8.3
Annual,None,16 years or over,Males,Percentage,Euro area – 20 countries (from 2023),5.7 e
Annual,None,16 years or over,Males,Percentage,Estonia,6.4
Annual,None,16 years or over,Males,Percentage,Greece,9.3
Annual,None,16 years or over,Males,Percentage,Spain,5.4
Annual,None,16 years or over,Males,Percentage,European Union - 27 countries (from 2020),5.1 e
Annual,None,16 years or over,Males,Percentage,Finland,10.9
Annual,None,16 years or over,Males,Percentage,France,7.5
Annual,None,16 years or over,Males,Percentage,Croatia,5.4
Annual,None,16 years or over,Males,Percentage,Hungary,3.2
Annual,None,16 years or over,Males,Percentage,Ireland,12.1
Annual,None,16 years or over,Males,Percentage,Italy,4.0
Annual,None,16 years or over,Males,Percentage,Lithuania,1.6
Annual,None,16 years or over,Males,Percentage,Luxembourg,4.5
Annual,None,16 years or over,Males,Percentage,Latvia,5.0
Annual,None,16 years or over,Males,Percentage,Montenegro,11.2
Annual,None,16 years or over,Males,Percentage,Malta,7.3
Annual,None,16 years or over,Males,Percentage,Netherlands,5.7
Annual,None,16 years or over,Males,Percentage,Norway,4.3
Annual,None,16 years or over,Males,Percentage,Poland,0.6
Annual,None,16 years or over,Males,Percentage,Portugal,2.1
Annual,None,16 years or over,Males,Percentage,Romania,4.5
Annual,None,16 years or over,Males,Percentage,Serbia,14.8
Annual,None,16 years or over,Males,Percentage,Sweden,9.8
Annual,None,16 years or over,Males,Percentage,Slovenia,4.6
Annual,None,16 years or over,Males,Percentage,Slovakia,2.6
Annual,None,16 years or over,Males,Percentage,Türkiye,91.8
Annual,None,16 years or over,Total,Percentage,Austria,4.9
Annual,None,16 years or over,Total,Percentage,Belgium,3.9
Annual,None,16 years or over,Total,Percentage,Bulgaria,5.0
Annual,None,16 years or over,Total,Percentage,Switzerland,4.3
Annual,None,16 years or over,Total,Percentage,Cyprus,4.8
Annual,None,16 years or over,Total,Percentage,Czechia,2.6
Annual,None,16 years or over,Total,Percentage,Germany,: u
Annual,None,16 years or over,Total,Percentage,Denmark,7.6
Annual,None,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),5.9 e
Annual,None,16 years or over,Total,Percentage,Estonia,6.3
Annual,None,16 years or over,Total,Percentage,Greece,10.2
Annual,None,16 years or over,Total,Percentage,Spain,5.0
Annual,None,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),5.2 e
Annual,None,16 years or over,Total,Percentage,Finland,11.0
Annual,None,16 years or over,Total,Percentage,France,7.7
Annual,None,16 years or over,Total,Percentage,Croatia,5.7
Annual,None,16 years or over,Total,Percentage,Hungary,3.8
Annual,None,16 years or over,Total,Percentage,Ireland,14.2
Annual,None,16 years or over,Total,Percentage,Italy,4.4
Annual,None,16 years or over,Total,Percentage,Lithuania,3.2
Annual,None,16 years or over,Total,Percentage,Luxembourg,4.7
Annual,None,16 years or over,Total,Percentage,Latvia,5.2
Annual,None,16 years or over,Total,Percentage,Montenegro,10.9
Annual,None,16 years or over,Total,Percentage,Malta,7.4
Annual,None,16 years or over,Total,Percentage,Netherlands,5.3
Annual,None,16 years or over,Total,Percentage,Norway,4.4
Annual,None,16 years or over,Total,Percentage,Poland,0.8
Annual,None,16 years or over,Total,Percentage,Portugal,2.5
Annual,None,16 years or over,Total,Percentage,Romania,4.2
Annual,None,16 years or over,Total,Percentage,Serbia,14.9
Annual,None,16 years or over,Total,Percentage,Sweden,8.9
Annual,None,16 years or over,Total,Percentage,Slovenia,4.6
Annual,None,16 years or over,Total,Percentage,Slovakia,3.0
Annual,None,16 years or over,Total,Percentage,Türkiye,91.8
Annual,Some or severe,16 years or over,Females,Percentage,Austria,7.7
Annual,Some or severe,16 years or over,Females,Percentage,Belgium,15.0
Annual,Some or severe,16 years or over,Females,Percentage,Bulgaria,17.1
Annual,Some or severe,16 years or over,Females,Percentage,Switzerland,8.4
Annual,Some or severe,16 years or over,Females,Percentage,Cyprus,14.3
Annual,Some or severe,16 years or over,Females,Percentage,Czechia,8.6
Annual,Some or severe,16 years or over,Females,Percentage,Germany,: u
Annual,Some or severe,16 years or over,Females,Percentage,Denmark,19.5
Annual,Some or severe,16 years or over,Females,Percentage,Euro area – 20 countries (from 2023),13.5 e
Annual,Some or severe,16 years or over,Females,Percentage,Estonia,16.9
Annual,Some or severe,16 years or over,Females,Percentage,Greece,23.8
Annual,Some or severe,16 years or over,Females,Percentage,Spain,11.4
Annual,Some or severe,16 years or over,Females,Percentage,European Union - 27 countries (from 2020),12.8 e
Annual,Some or severe,16 years or over,Females,Percentage,Finland,23.6
Annual,Some or severe,16 years or over,Females,Percentage,France,16.8
Annual,Some or severe,16 years or over,Females,Percentage,Croatia,19.7
Annual,Some or severe,16 years or over,Females,Percentage,Hungary,13.0
Annual,Some or severe,16 years or over,Females,Percentage,Ireland,29.6
Annual,Some or severe,16 years or over,Females,Percentage,Italy,10.6
Annual,Some or severe,16 years or over,Females,Percentage,Lithuania,16.5
Annual,Some or severe,16 years or over,Females,Percentage,Luxembourg,10.0
Annual,Some or severe,16 years or over,Females,Percentage,Latvia,17.6
Annual,Some or severe,16 years or over,Females,Percentage,Montenegro,20.0
Annual,Some or severe,16 years or over,Females,Percentage,Malta,13.4
Annual,Some or severe,16 years or over,Females,Percentage,Netherlands,15.4
Annual,Some or severe,16 years or over,Females,Percentage,Norway,15.1
Annual,Some or severe,16 years or over,Females,Percentage,Poland,4.6
Annual,Some or severe,16 years or over,Females,Percentage,Portugal,7.6
Annual,Some or severe,16 years or over,Females,Percentage,Romania,12.1
Annual,Some or severe,16 years or over,Females,Percentage,Serbia,26.7
Annual,Some or severe,16 years or over,Females,Percentage,Sweden,22.5
Annual,Some or severe,16 years or over,Females,Percentage,Slovenia,14.9
Annual,Some or severe,16 years or over,Females,Percentage,Slovakia,10.5
Annual,Some or severe,16 years or over,Females,Percentage,Türkiye,85.2
Annual,Some or severe,16 years or over,Males,Percentage,Austria,8.2
Annual,Some or severe,16 years or over,Males,Percentage,Belgium,13.9
Annual,Some or severe,16 years or over,Males,Percentage,Bulgaria,14.7
Annual,Some or severe,16 years or over,Males,Percentage,Switzerland,10.2
Annual,Some or severe,16 years or over,Males,Percentage,Cyprus,14.2
Annual,Some or severe,16 years or over,Males,Percentage,Czechia,6.6
Annual,Some or severe,16 years or over,Males,Percentage,Germany,: u
Annual,Some or severe,16 years or over,Males,Percentage,Denmark,18.3
Annual,Some or severe,16 years or over,Males,Percentage,Euro area – 20 countries (from 2023),13.6 e
Annual,Some or severe,16 years or over,Males,Percentage,Estonia,16.8
Annual,Some or severe,16 years or over,Males,Percentage,Greece,20.6
Annual,Some or severe,16 years or over,Males,Percentage,Spain,11.8
Annual,Some or severe,16 years or over,Males,Percentage,European Union - 27 countries (from 2020),13.0 e
