Time frequency,Seasonal adjustment,Direction of flow,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Austria,108202.0,106984.0,111124.0,114114.0,114714.0,118168.0,117246.0,117684.0,117859.0,118527.0,119532.0,119595.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Belgium,132870.0,136492.0,139804.0,143358.0,144866.0,147527 p,151658 p,148215 p,148998 p,151601 p,158812 p,150879 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Bulgaria,18181.0,19067.0,20386.0,21543.0,22891.0,22698 p,22264 p,22123 p,23685 p,25405 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Cyprus,6111.0,6495.0,6503.0,6871.0,7011.0,6875.0,6967.0,7061.0,7079.0,7297.0,7449.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Czechia,62016.0,67964.0,68001.0,63228.0,73147.0,77081.0,78532.0,78369.0,76217.0,76213.0,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Germany,970886 p,985701 p,1000559 p,1017027 p,1035000 p,1055273 p,1067984 p,1072797 p,1080999 p,1083133 p,1108497 p,1100720 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Denmark,93350.0,93525.0,97284.0,100325.0,99224.0,97210.0,95695.0,94352.0,95514.0,98127.0,99101.0,101422.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Estonia,8111.0,8444.0,8703.0,8922.0,8920.0,9164.0,9014.0,9018.0,:,:,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Greece,47144 p,49445 p,50747 p,52002 p,52669 p,52834 p,53338 p,54090 p,55210 p,57733 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Spain,324521.0,330887.0,336845.0,343145.0,355441.0,366278.0,365414.0,368830.0,378738.0,387534.0,389206.0,394495.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Finland,62786.0,64911.0,64341.0,67738.0,68497.0,67826.0,68385.0,68265.0,66897.0,69943.0,69624.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),France,654192.0,658280.0,664164.0,674366.0,681547.0,694824.0,701139.0,707106.0,719146.0,727880.0,727052.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Croatia,15807.0,16351 p,16963 p,17616 p,18484 p,19172 p,19886 p,20262 p,20665 p,21291 p,21667 p,:
