Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Females,Albania,:,:,:,:,:,:,:,:,:,:,:,:,26.1,18.3 u,:,:
Annual,Percentage,Females,Austria,43.8 u,48.7,48.1,44.2 b,43.8,45.1,46.5,42.8 u,40.2 u,37.9 u,38.4,41.4,44.4,45.1 u,39.7 u,38.0 u
Annual,Percentage,Females,Belgium,38.0,36.3,36.2,33.7,37.2,39.1,38.0,35.6,34.4,37.6,37.2,37.2 b,39.2,39.4,42.7,41.2
Annual,Percentage,Females,Bulgaria,:,47.4,42.6 u,39.6 u,36.3 u,33.9 u,28.3 u,25.7 u,25.6 u,26.9 u,22.1 u,22.4,: u,33.0 u,27.6 u,28.2 u
Annual,Percentage,Females,Switzerland,:,:,:,:,:,:,:,32.7,33.5,32.7 b,32.5,32.6,33.2 u,32.9 u,35.7,39.9
Annual,Percentage,Females,Cyprus,23.6 u,21.3 u,21.8 u,18.4 u,17.9 u,16.5 u,15.7 u,18.2 u,23.0 u,27.7,26.4,24.4,23.8,23.7 u,29.1,34.7
Annual,Percentage,Females,Czechia,35.5,36.5,34.8,34.3,32.8,32.3,32.6,33.6,35.7,37.5,41.7,45.3,49.0,46.4,45.1,45.2
Annual,Percentage,Females,Germany,19.4,31.0,35.6,37.6,39.7,36.7,34.2,30.6,31.2,32.5,32.4,33.9,34.5,:,:,36.3 b
Annual,Percentage,Females,Denmark,:,:,:,:,:,:,: u,47.3 u,51.6 u,49.2 u,44.0,37.9,33.0 u,33.0 u,29.7 u,33.7 u
Annual,Percentage,Females,Euro area - 19 countries  (2015-2022),22.0 e,24.0 e,23.9 e,23.3 e,22.9 e,21.9 e,21.0 e,20.6 e,20.5 e,20.8 e,21.2 e,22.8 e,26.0,:,:,:
Annual,Percentage,Females,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,29.7 e,32.3 e,32.5 e
Annual,Percentage,Females,Estonia,64.0 u,: u,: u,: u,: u,67.0 u,69.1 bu,63.5 u,: u,: u,: u,: u,: m,: m,51.4 u,56.0 u
Annual,Percentage,Females,Greece,19.5 u,19.4,18.1,20.6,17.3 u,13.8 u,: u,17.2 u,21.1,19.5,20.0,20.0,20.9,20.5,22.5,24.4
Annual,Percentage,Females,Spain,25.4,22.4,18.7,15.2 b,13.1,12.4,12.4,10.9,9.4,10.2,13.5,14.6,16.4,26.2,28.7,30.2
Annual,Percentage,Females,European Union - 27 countries (from 2020),:,:,25.4 e,24.4 e,23.6 e,22.8 e,22.1 e,21.8 e,22.1 e,22.8 e,23.9 e,25.8 e,27.7,30.7 e,33.0 e,35.6 e
Annual,Percentage,Females,Finland,15.4 u,20.2 u,35.4,40.2,37.7,30.6,30.5,27.8,26.3,26.0,27.5,27.9,29.9,31.2,50.1,53.2
Annual,Percentage,Females,France,11.1,11.2,12.2,12.6,11.7,10.9,9.9,10.6,11.0,11.3,11.1,11.7,19.6 b,22.4,29.5,26.8 b
Annual,Percentage,Females,Croatia,:,:,:,:,:,33.0,27.1 u,26.0,29.3,32.1,31.7,35.7,35.5,36.5,36.3,41.4
Annual,Percentage,Females,Hungary,49.5,48.7,46.2,41.7,38.3,38.9,40.3,40.4,38.9,33.7,31.9,33.7,36.5,36.8,40.1,48.9
Annual,Percentage,Females,Ireland,:,:,:,38.7 u,44.3 u,47.9 u,45.9,46.8,48.4,49.2,46.7,47.5,46.0 bu,43.4 u,45.9 u,49.0 u
Annual,Percentage,Females,Iceland,: u,:,:,:,55.0 u,52.2 u,48.3 u,44.8 u,47.5 u,: u,46.2,46.4 u,:,:,:,:
Annual,Percentage,Females,Italy,25.9,26.8,25.6,22.6,20.3,18.9,17.5,18.4,17.2,14.2,12.1,14.1,17.9,24.4,23.2,23.4
Annual,Percentage,Females,Lithuania,47.8 u,60.7 u,58.2 u,50.0 bu,: u,: u,: u,: u,: u,: u,: u,: u,: u,58.5 u,65.9 u,64.8 u
Annual,Percentage,Females,Luxembourg,46.8,45.2,39.0,33.6,31.6,32.3 u,39.2 u,38.7 u,46.0,42.7,42.1,37.5,39.5 b,43.3 bu,53.1 bu,:
Annual,Percentage,Females,Latvia,:,55.1 u,48.4 u,42.8 u,42.0 bu,48.7 u,51.6 u,56.3 u,: u,: u,: u,: u,: u,: m,: m,79.9 u
Annual,Percentage,Females,Montenegro,:,:,:,:,:,:,:,:,:,:,26.4,27.6,25.8,27.5,:,:
Annual,Percentage,Females,North Macedonia,:,:,:,:,:,:,49.4,51.5,52.7,53.7,54.2,54.4,46.3,:,:,:
Annual,Percentage,Females,Malta,45.2 u,63.3 u,44.4 u,47.8 u,: u,: u,: u,: u,: u,: u,26.9 u,30.2,31.5,31.8 u,58.0 u,75.5 u
Annual,Percentage,Females,Netherlands,26.9,28.7,25.6,23.2,19.7 u,16.8 u,14.5 u,20.4,28.4,35.0,36.8,40.4,44.6,45.5,45.0,41.1
Annual,Percentage,Females,Norway,42.6 u,40.6 u,43.0 u,42.0 u,45.0 u,45.0 u,47.4 u,42.4 u,38.5 u,41.1 u,42.1 u,44.5,37.1,36.8 bu,43.0 u,51.0 u
Annual,Percentage,Females,Poland,27.2,27.1,24.9,22.0,19.4,18.7,18.3,18.4,20.7,24.1,29.3,34.7,28.8,31.2,32.2,46.3
Annual,Percentage,Females,Portugal,19.2 u,22.6,25.2,24.5,28.1,28.1,27.3,26.2,27.4,27.9,29.6,31.9,33.6,36.1,38.2,39.9
Annual,Percentage,Females,Romania,:,:,52.8 u,56.7 u,59.0 u,62.1 u,58.7 u,: u,: u,: u,: u,: u,: m,: m,61.5 u,67.9
Annual,Percentage,Females,Serbia,:,:,:,:,:,:,:,:,37.7,36.8,37.7,41.1,45.3,45.8,50.1,:
Annual,Percentage,Females,Sweden,43.4 u,39.9,39.9,39.3,40.3 b,42.4,42.3 u,40.8 u,37.2 u,35.6 u,37.6 u,42.9,44.9,41.5 u,39.0 u,41.5 u
Annual,Percentage,Females,Slovenia,37.6,37.7,35.4,34.4,31.6 u,35.6,39.4,40.9,36.5 u,33.1 u,34.4 u,41.2,47.6,49.3,47.8 u,47.0 u
Annual,Percentage,Females,Slovakia,56.8,56.2,47.2,42.3,40.7,39.9,36.1,32.2,32.2,:,:,29.7,40.5,33.8,34.5,39.2
Annual,Percentage,Females,Türkiye,:,:,:,:,:,:,:,:,10.5 u,9.6 u,8.1,8.1,8.0,10.6 u,10.7 u,10.6 u
Annual,Percentage,Females,United Kingdom,:,:,:,:,62.7 u,55.1 u,57.2,53.0,53.6,53.4,56.1,:,:,:,:,:
Annual,Percentage,Males,Albania,:,:,:,:,:,:,:,:,:,:,:,:,20.1,17.2,:,:
Annual,Percentage,Males,Austria,46.9,46.7 u,45.8 u,42.8 bu,45.2,46.5 u,49.3 u,49.1 u,53.8 u,48.9 u,47.2,41.5,42.1,39.6 u,44.2 u,48.1 u
Annual,Percentage,Males,Belgium,36.9 u,38.6 u,39.8 u,36.8 u,37.1 u,36.5 u,38.9 u,35.9 u,36.9,38.3,38.0,39.9 b,39.2,43.3,44.5,42.4
Annual,Percentage,Males,Bulgaria,:,46.1,46.6 u,41.9 u,41.5 u,35.4 u,34.9 u,32.4 u,31.1 u,24.4 u,: u,: u,: u,38.2 u,32.0 u,31.9 u
Annual,Percentage,Males,Switzerland,:,:,:,:,:,:,:,26.9,27.6,30.5 b,35.4,38.9,38.4 u,38.4 u,35.0 u,31.9 u
Annual,Percentage,Males,Cyprus,34.1 u,35.1 u,34.6 u,35.4 u,35.0 u,34.9 u,31.4 u,28.5 u,32.6 u,37.4 u,37.0 u,34.5,33.5,36.8 u,42.2 u,49.3
Annual,Percentage,Males,Czechia,38.3,39.6,39.8,41.9,39.9,37.3,34.4,36.8,37.6,42.1,44.2,49.6,50.2,49.9,49.2,49.0
Annual,Percentage,Males,Germany,23.2,36.2,41.5,41.6,41.8,35.4,31.4,27.4,29.4,30.1,29.5,29.6,29.7,:,:,33.5 b
Annual,Percentage,Males,Denmark,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: m,: m,: m,34.0 u
Annual,Percentage,Males,Euro area - 19 countries  (2015-2022),24.8 e,24.9 e,24.0 e,23.0 e,23.1 u,22.1 e,21.5,20.5,21.8,22.1,22.4,22.3 e,24.8,:,:,:
Annual,Percentage,Males,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,28.4 e,31.7 e,33.4 e
Annual,Percentage,Males,Estonia,62.3 u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: m,: m,: m,: m
Annual,Percentage,Males,Greece,20.5,21.4,19.8,21.3,22.5 u,22.2 u,22.4 u,18.1 u,21.8,20.4,23.7,23.4,24.4,24.5,26.3,29.1
Annual,Percentage,Males,Spain,25.0,20.1,17.2,14.4 b,14.2,13.9,14.7,13.4,11.9,12.8,14.3,15.6,16.0,25.1,29.0,32.0
Annual,Percentage,Males,European Union - 27 countries (from 2020),:,:,26.3 e,24.8 e,24.3 u,22.9 e,22.3,21.8,23.5,24.3,25.0,25.4,26.5 u,29.8 e,33.1 e,36.9 e
Annual,Percentage,Males,Finland,14.6 u,15.8 u,27.5 u,35.7 u,34.1 u,32.8 u,32.1 u,30.5 u,25.5 u,27.7 u,27.8 u,31.4 u,29.1 u,29.3 u,47.8,49.2
Annual,Percentage,Males,France,17.5,13.6,11.4,10.5,10.2 u,11.6,10.0 u,9.2 u,10.2 u,12.3 u,13.4 u,12.5,18.9 bu,19.8,29.4,29.3 b
Annual,Percentage,Males,Croatia,:,:,:,:,:,38.1,32.4,32.5,34.8,35.9,37.9,42.6,44.6,41.8,41.8,46.6
Annual,Percentage,Males,Hungary,50.9,50.7,47.0,43.4,37.3,35.6,36.3,37.1,35.3,31.3,30.4,32.5,34.1,37.3,46.8,56.6
Annual,Percentage,Males,Ireland,:,:,:,: u,: u,: u,: u,: u,32.2,39.4,44.0,45.8,41.2 bu,38.0 u,40.7 u,: m
Annual,Percentage,Males,Iceland,: u,:,:,:,53.6 u,53.4 u,: u,: u,: u,: u,: u,: m,:,:,:,:
Annual,Percentage,Males,Italy,29.7,28.8,26.6,24.7,22.5,21.3,20.7,21.2,22.9,18.1,17.1,14.7,21.3,28.7,28.3,27.4
Annual,Percentage,Males,Lithuania,48.0,54.0,55.6 u,53.6 bu,41.0 u,41.9 u,34.8 u,42.0 u,: u,: u,: u,: u,: u,47.7 u,40.5 u,: m
Annual,Percentage,Males,Luxembourg,38.4,37.9,35.2,32.8,28.1,31.9,29.4 u,29.7 u,25.1,26.5,28.8,33.4,37.4 b,39.1 bu,48.3 bu,:
Annual,Percentage,Males,Latvia,:,41.8 u,38.1 u,35.4 u,35.1 bu,41.1 u,48.8 u,57.4 u,: u,: u,: u,: u,: u,: m,: m,: m
Annual,Percentage,Males,Montenegro,:,:,:,:,:,:,:,:,:,:,27.8,26.4,23.9,25.1,:,:
Annual,Percentage,Males,North Macedonia,:,:,:,:,:,:,54.5,55.4,53.1,51.4,49.3,50.7,46.9,:,:,:
Annual,Percentage,Males,Malta,53.7 u,71.4 u,: u,48.9 u,: u,30.6 u,: u,: u,: u,: u,27.2 u,33.3,36.9,38.5 u,61.0 u,75.7 u
Annual,Percentage,Males,Netherlands,21.9 u,24.3 u,23.2 u,21.4 u,18.5 u,16.2 u,18.0 u,24.4,33.3,39.0,41.3,42.4,43.7,42.1,43.9,41.6
Annual,Percentage,Males,Norway,46.4 u,50.3 u,51.2 u,47.7 u,44.2 u,42.2 u,44.5 u,44.6 u,45.9 u,50.5 u,53.1 u,52.0,45.4,: m,39.5 u,47.2 u
Annual,Percentage,Males,Poland,29.7,29.8,28.9,25.1,22.1,18.8,18.4,19.2,23.2,27.3,30.6,34.9,27.7,31.9,33.4,48.1
Annual,Percentage,Males,Portugal,21.2,25.1,30.7,28.0,28.5,24.5,24.1,26.1,29.0,33.1,33.0,35.3,36.3,39.7,40.8,39.5
Annual,Percentage,Males,Romania,:,:,56.3 u,55.5 u,56.0 u,54.0 u,57.1 u,61.4 u,63.7 u,62.5 u,62.4 u,55.6,55.2 u,: m,54.0 u,58.1
Annual,Percentage,Males,Serbia,:,:,:,:,:,:,:,:,27.8,31.3,34.4,36.9,41.5,45.3,51.4,:
Annual,Percentage,Males,Sweden,39.2 u,42.6 u,43.6 u,41.1 u,42.6 bu,38.5 u,36.9 u,35.2 u,38.3 u,40.4 u,43.4 u,42.7,44.4,45.0 u,44.9 u,46.3 u
Annual,Percentage,Males,Slovenia,40.9,39.1,38.5,39.1,39.5,39.1,42.7,41.2,46.3,42.0,45.2,45.4,48.2,48.3,49.2 u,49.0 u
Annual,Percentage,Males,Slovakia,58.3,58.1,47.4,41.0,41.1,42.7,43.1,39.5,40.1,:,:,32.2,41.8,35.5,35.9,44.1
Annual,Percentage,Males,Türkiye,:,:,:,:,:,:,:,:,8.4,7.3,8.9,8.6,8.2,8.0,8.9,9.7
Annual,Percentage,Males,United Kingdom,:,:,:,:,54.1 u,54.2 u,57.4 u,64.8 u,61.2 u,56.5,53.8,:,:,:,:,:
Annual,Percentage,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,22.3,17.6,:,:
Annual,Percentage,Total,Austria,45.4,48.0,47.2,43.7 b,44.4,45.8,47.9,45.9,46.9,43.3,42.8,41.4,43.3,42.5,41.9,42.6
Annual,Percentage,Total,Belgium,37.6,37.2,37.6,34.9,37.2,37.9,38.3,35.6,35.5,37.9,37.6,38.5 b,39.2,41.2,43.5,41.7
Annual,Percentage,Total,Bulgaria,:,46.8,44.4,40.7,38.8,34.7,31.5,28.9,28.2,25.6,19.0 u,21.0,19.3,35.5,29.7,30.0
Annual,Percentage,Total,Switzerland,:,:,:,:,:,:,:,29.8,30.5,31.8 b,34.1,36.3,36.1,35.9,35.3,35.8
Annual,Percentage,Total,Cyprus,27.8,26.1,26.0,23.9,23.0,22.1,20.4,21.7,26.3,31.2,30.8,28.9,28.4,29.2,34.1,40.4
