Time frequency,Unit of measure,Customer,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Terajoule,Industrial,Low,District heating,European Union - 27 countries (from 2020),:,3677.175,:,3381.158
Annual,Terajoule,Industrial,Low,District heating,Finland,312.0,197.0,228.0,196.0
Annual,Terajoule,Industrial,Low,District heating,France,216.439,110.677,782.83,93.301
Annual,Terajoule,Industrial,Low,District heating,Italy,312.961,173.804,140.126,25.011
Annual,Terajoule,Industrial,Low,District heating,Latvia,1263.0,1026.0,1046.0,733.0
Annual,Terajoule,Industrial,Low,District heating,Malta,:,:,:,0.0
Annual,Terajoule,Industrial,Low,District heating,Romania,1893.477,1847.99,1615.151,1796.626
Annual,Terajoule,Industrial,Low,District heating - hot water,Bulgaria,37.0,37.0,392.0,392.0
Annual,Terajoule,Industrial,Low,District heating - hot water,Denmark,180.902,284.704,204.405,145.219
Annual,Terajoule,Industrial,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,286.254,:,270.782
Annual,Terajoule,Industrial,Low,District heating - hot water,European Union - 27 countries (from 2020),:,860.819,:,993.814
Annual,Terajoule,Industrial,Low,District heating - hot water,Finland,312.0,197.0,228.0,196.0
Annual,Terajoule,Industrial,Low,District heating - hot water,France,173.501,89.254,629.47,74.782
Annual,Terajoule,Industrial,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,Industrial,Low,District heating - hot water,Romania,289.162,252.861,138.773,185.813
Annual,Terajoule,Industrial,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Terajoule,Industrial,Low,District heating - steam,Euro area – 20 countries (from 2023),:,21.423,:,18.52
Annual,Terajoule,Industrial,Low,District heating - steam,European Union - 27 countries (from 2020),:,1616.552,:,1629.333
Annual,Terajoule,Industrial,Low,District heating - steam,France,42.938,21.423,153.36,18.52
Annual,Terajoule,Industrial,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,Industrial,Low,District heating - steam,Romania,1604.315,1595.129,1476.378,1610.813
Annual,Terajoule,Other,High,District cooling,Belgium,:,0.0,:,:
Annual,Terajoule,Other,High,District cooling,Euro area – 20 countries (from 2023),:,0.0,:,0.0
Annual,Terajoule,Other,High,District cooling,Estonia,0.0,:,:,:
Annual,Terajoule,Other,High,District cooling,European Union - 27 countries (from 2020),:,0.0,:,0.0
Annual,Terajoule,Other,High,District cooling,Italy,0.0,0.0,:,:
Annual,Terajoule,Other,High,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,Other,High,District cooling,Slovenia,0.336,:,:,:
Annual,Terajoule,Other,High,District heating,Austria,456.743,480.706,550.842,440.597
Annual,Terajoule,Other,High,District heating,Belgium,:,59.168,:,:
Annual,Terajoule,Other,High,District heating,Bulgaria,40.0,80.0,129.0,24.0
Annual,Terajoule,Other,High,District heating,Denmark,1850.081,1812.356,1843.052,1717.084
Annual,Terajoule,Other,High,District heating,Euro area – 20 countries (from 2023),:,43911.998,:,49250.569
Annual,Terajoule,Other,High,District heating,Estonia,:,:,161.0,151.0
Annual,Terajoule,Other,High,District heating,European Union - 27 countries (from 2020),:,46510.143,:,51014.9
Annual,Terajoule,Other,High,District heating,Finland,41255.0,37246.0,45816.0,42568.0
Annual,Terajoule,Other,High,District heating,France,3664.998,2731.885,4478.51,2827.913
Annual,Terajoule,Other,High,District heating,Italy,0.0,:,:,:
Annual,Terajoule,Other,High,District heating,Malta,:,:,:,0.0
Annual,Terajoule,Other,High,District heating,Romania,18.98,705.789,412.475,23.246
Annual,Terajoule,Other,High,District heating,Slovenia,3141.72,3394.239,3835.048,3263.059
Annual,Terajoule,Other,High,District heating - hot water,Austria,456.743,480.706,550.842,440.597
Annual,Terajoule,Other,High,District heating - hot water,Belgium,:,59.168,:,:
Annual,Terajoule,Other,High,District heating - hot water,Bulgaria,40.0,80.0,129.0,24.0
Annual,Terajoule,Other,High,District heating - hot water,Denmark,1850.081,1812.356,1843.052,1717.084
Annual,Terajoule,Other,High,District heating - hot water,Euro area – 20 countries (from 2023),:,39786.644,:,45139.018
Annual,Terajoule,Other,High,District heating - hot water,Estonia,:,:,161.0,:
Annual,Terajoule,Other,High,District heating - hot water,European Union - 27 countries (from 2020),:,42384.789,:,46903.349
Annual,Terajoule,Other,High,District heating - hot water,Finland,41255.0,37246.0,45816.0,42568.0
Annual,Terajoule,Other,High,District heating - hot water,France,2648.373,2000.77,3307.4,2130.421
Annual,Terajoule,Other,High,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,Other,High,District heating - hot water,Romania,18.98,705.789,412.475,23.246
Annual,Terajoule,Other,High,District heating - steam,Austria,0.0,:,:,:
Annual,Terajoule,Other,High,District heating - steam,Belgium,:,0.0,:,:
Annual,Terajoule,Other,High,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Terajoule,Other,High,District heating - steam,Euro area – 20 countries (from 2023),:,731.115,:,697.492
Annual,Terajoule,Other,High,District heating - steam,European Union - 27 countries (from 2020),:,731.115,:,697.492
Annual,Terajoule,Other,High,District heating - steam,France,1016.625,731.115,1171.109,697.492
Annual,Terajoule,Other,High,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,Other,High,District heating - steam,Romania,0.0,0.0,0.0,0.0
Annual,Terajoule,Other,Low,District cooling,Belgium,:,0.0,:,:
Annual,Terajoule,Other,Low,District cooling,Euro area – 20 countries (from 2023),:,38.939,:,85.387
Annual,Terajoule,Other,Low,District cooling,Estonia,0.0,0.0,:,0.0
Annual,Terajoule,Other,Low,District cooling,European Union - 27 countries (from 2020),:,38.939,:,85.387
Annual,Terajoule,Other,Low,District cooling,France,47.758,34.632,87.368,85.01
Annual,Terajoule,Other,Low,District cooling,Italy,0.0,0.0,:,:
Annual,Terajoule,Other,Low,District cooling,Luxembourg,:,0.0,0.0,0.0
Annual,Terajoule,Other,Low,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,Other,Low,District cooling,Slovenia,5.245,4.307,5.364,0.376
Annual,Terajoule,Other,Low,District heating,Bulgaria,15.0,19.0,:,:
Annual,Terajoule,Other,Low,District heating,Denmark,84.499,120.783,86.717,50.93
Annual,Terajoule,Other,Low,District heating,Euro area – 20 countries (from 2023),:,1441.311,:,1512.814
Annual,Terajoule,Other,Low,District heating,European Union - 27 countries (from 2020),:,1629.471,:,1594.902
Annual,Terajoule,Other,Low,District heating,Finland,1265.0,975.0,864.0,826.0
Annual,Terajoule,Other,Low,District heating,France,227.922,121.899,1200.185,38.586
Annual,Terajoule,Other,Low,District heating,Italy,0.0,:,:,:
Annual,Terajoule,Other,Low,District heating,Latvia,318.0,210.0,292.0,214.0
Annual,Terajoule,Other,Low,District heating,Malta,:,:,:,0.0
Annual,Terajoule,Other,Low,District heating,Romania,46.458,48.377,43.11,31.158
Annual,Terajoule,Other,Low,District heating,Slovenia,542.394,134.412,223.321,434.228
Annual,Terajoule,Other,Low,District heating - hot water,Bulgaria,15.0,19.0,:,:
Annual,Terajoule,Other,Low,District heating - hot water,Denmark,84.499,120.783,86.717,50.93
Annual,Terajoule,Other,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,1073.304,:,856.927
Annual,Terajoule,Other,Low,District heating - hot water,European Union - 27 countries (from 2020),:,1261.464,:,939.014
Annual,Terajoule,Other,Low,District heating - hot water,Finland,1265.0,975.0,864.0,826.0
Annual,Terajoule,Other,Low,District heating - hot water,France,182.705,98.304,965.063,30.927
Annual,Terajoule,Other,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,Other,Low,District heating - hot water,Romania,46.458,48.377,43.11,31.158
Annual,Terajoule,Other,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Terajoule,Other,Low,District heating - steam,Euro area – 20 countries (from 2023),:,23.595,:,7.659
Annual,Terajoule,Other,Low,District heating - steam,European Union - 27 countries (from 2020),:,23.595,:,7.659
Annual,Terajoule,Other,Low,District heating - steam,France,45.216,23.595,235.122,7.659
Annual,Terajoule,Other,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,Other,Low,District heating - steam,Romania,0.0,0.0,0.0,0.0
Annual,Terajoule,Residential and services,High,District cooling,Belgium,:,0.0,:,:
Annual,Terajoule,Residential and services,High,District cooling,Euro area – 20 countries (from 2023),:,403.026,:,265.723
Annual,Terajoule,Residential and services,High,District cooling,Estonia,21.6,26.13,33.6,37.0
Annual,Terajoule,Residential and services,High,District cooling,European Union - 27 countries (from 2020),:,403.026,:,265.723
Annual,Terajoule,Residential and services,High,District cooling,Italy,178.995,191.896,191.709,228.723
Annual,Terajoule,Residential and services,High,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,High,District cooling,Portugal,185.0,185.0,176.0,:
Annual,Terajoule,Residential and services,High,District heating,Austria,61212.866,60959.493,67648.875,59729.859
Annual,Terajoule,Residential and services,High,District heating,Belgium,:,727.137,:,:
Annual,Terajoule,Residential and services,High,District heating,Bulgaria,12378.0,12739.0,13537.0,12879.0
Annual,Terajoule,Residential and services,High,District heating,Denmark,118359.017,113379.623,127926.246,118450.458
Annual,Terajoule,Residential and services,High,District heating,Euro area – 20 countries (from 2023),:,229734.151,:,244843.721
Annual,Terajoule,Residential and services,High,District heating,Estonia,:,8410.0,15577.0,14626.0
Annual,Terajoule,Residential and services,High,District heating,Greece,1779.2,1816.951,1661.843,1251.434
