Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2019.0,2023.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,11.0,8.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,8.3,10.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Norway,10.0,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,11.5 u,11.6 u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,9.4,9.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,13.7,12.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Serbia,17.0,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,10.2,10.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,8.5,9.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,5.9,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Türkiye,:,5.7
Annual,Tertiary education (levels 5-8),Percentage,Albania,10.4,:
Annual,Tertiary education (levels 5-8),Percentage,Austria,14.8,14.5
Annual,Tertiary education (levels 5-8),Percentage,Belgium,7.5,4.6
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,3.6,4.0
Annual,Tertiary education (levels 5-8),Percentage,Switzerland,9.0,7.9
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,5.5,4.2
Annual,Tertiary education (levels 5-8),Percentage,Czechia,2.5,2.9 u
Annual,Tertiary education (levels 5-8),Percentage,Germany,10.8,: u
Annual,Tertiary education (levels 5-8),Percentage,Denmark,11.9,10.0
Annual,Tertiary education (levels 5-8),Percentage,Euro area – 20 countries (from 2023),9.6,8.9 e
Annual,Tertiary education (levels 5-8),Percentage,Estonia,10.8,11.6
Annual,Tertiary education (levels 5-8),Percentage,Greece,9.3,7.7
Annual,Tertiary education (levels 5-8),Percentage,Spain,11.4,11.2
Annual,Tertiary education (levels 5-8),Percentage,European Union - 27 countries (from 2020),9.3,8.5 e
Annual,Tertiary education (levels 5-8),Percentage,Finland,9.6,10.4
Annual,Tertiary education (levels 5-8),Percentage,France,6.7,7.8
Annual,Tertiary education (levels 5-8),Percentage,Croatia,4.7,5.3
Annual,Tertiary education (levels 5-8),Percentage,Hungary,9.0,4.5
Annual,Tertiary education (levels 5-8),Percentage,Ireland,6.9,7.2
Annual,Tertiary education (levels 5-8),Percentage,Iceland,13.5,:
Annual,Tertiary education (levels 5-8),Percentage,Italy,9.0,7.4
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,7.5,9.1
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,10.5,10.2
Annual,Tertiary education (levels 5-8),Percentage,Latvia,9.3,9.1
Annual,Tertiary education (levels 5-8),Percentage,Montenegro,7.1,:
Annual,Tertiary education (levels 5-8),Percentage,North Macedonia,4.0,:
Annual,Tertiary education (levels 5-8),Percentage,Malta,7.4,5.7
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,9.4,9.9
Annual,Tertiary education (levels 5-8),Percentage,Norway,14.1,10.7
Annual,Tertiary education (levels 5-8),Percentage,Poland,6.5 u,5.5 u
Annual,Tertiary education (levels 5-8),Percentage,Portugal,6.9,7.2
Annual,Tertiary education (levels 5-8),Percentage,Romania,3.2,1.5
Annual,Tertiary education (levels 5-8),Percentage,Serbia,8.2,:
Annual,Tertiary education (levels 5-8),Percentage,Sweden,12.7,11.9
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,7.2,9.2
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,4.1,12.2
Annual,Tertiary education (levels 5-8),Percentage,Türkiye,:,4.2
