Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Females,From 15 to 24 years,Armenia,59.2 d,63.4 d,69.4 b,43.2 bd,47.2,48.0,44.9,40.7,41.5,44.9,37.2,46.0,45.0,39.0 bd,34.4,33.3,33.6,31.6
Annual,Rate,Females,From 15 to 24 years,Azerbaijan,16.2,14.3,11.7,12.1,15.1,16.0,15.2,16.3,15.6,15.9,15.8,15.1,14.9,14.7,12.9,18.0,16.6,15.3
Annual,Rate,Females,From 15 to 24 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,8.5,7.2,8.4,7.3,10.1,:,:
Annual,Rate,Females,From 15 to 24 years,Georgia,34.0,35.5,44.7,42.6,47.3,42.7,43.9,38.7,39.5,31.1,37.6,30.4,32.7,35.3,32.9,38.2 b,40.5,38.8
Annual,Rate,Females,From 15 to 24 years,Moldova,18.3 e,15.9 e,13.8,12.4,15.0,15.0,15.8,13.4,12.7,10.0 bd,12.8,11.6,13.3,6.8,9.4 bd,12.3,9.6,12.6
Annual,Rate,Females,From 15 to 24 years,Ukraine,14.4,15.3,12.5,13.6,15.1,16.7,18.7,16.1,16.3,22.4 d,21.9 d,21.5 d,17.0 d,19.3 d,15.3 d,18.5 d,20.3 d,:
Annual,Rate,Females,From 15 to 74 years,Armenia,38.4 d,34.9 d,37.3 bd,19.8 bd,21.0 d,22.3 d,18.0 d,19.1 d,18.8 d,19.5,19.5,17.8,17.5,20.4 bd,19.3,17.2,15.2,13.8
Annual,Rate,Females,From 15 to 74 years,Azerbaijan,7.3,6.3,5.5,5.5,6.6,6.9,6.4,6.1,5.9,5.8,5.9,6.0,5.9,5.8,5.8,8.4,7.0,6.5
Annual,Rate,Females,From 15 to 74 years,Belarus,2.2 d,1.8 d,1.3 d,1.1 d,1.0 d,0.8 d,0.7 d,0.6 d,0.4 d,0.4 d,0.6 d,4.2,4.0,3.6,3.2,3.3,:,:
Annual,Rate,Females,From 15 to 74 years,Georgia,13.9 d,13.3 d,16.5 d,17.6 d,16.9 d,15.5 d,15.3 d,16.1 d,14.6 d,12.3 d,12.4 d,10.9 d,12.7 d,11.2 d,10.1 d,16.2 bd,17.8 d,14.6 d
Annual,Rate,Females,From 15 to 74 years,Moldova,6.0 e,5.7 e,4.0,3.4,4.9,5.7,5.6,4.3,4.1,2.9 bd,3.5,2.8,3.2,2.4,4.4 bd,3.3,2.5,2.6
Annual,Rate,Females,From 15 to 74 years,Ukraine,6.8 d,6.6 d,6.0 d,6.1 d,7.3 d,6.8 d,6.8 d,6.4 d,6.2 d,7.5 d,8.1 d,7.7 d,7.7 d,7.4 d,7.9 d,9.1 d,10.1 d,:
Annual,Rate,Females,From 25 to 74 years,Armenia,:,:,:,:,:,:,:,:,:,16.2,17.2,14.9,14.7,18.1 bd,17.6,15.8,13.7,12.5
Annual,Rate,Females,From 25 to 74 years,Azerbaijan,5.2,4.5,4.3,4.4,5.2,5.5,5.2,4.7,4.6,4.5,4.6,4.8,4.7,4.7,4.9,7.3,5.8,5.4
Annual,Rate,Females,From 25 to 74 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,3.8,3.7,3.1,2.8,2.7,:,:
Annual,Rate,Females,From 25 to 74 years,Georgia,12.3 d,11.4 d,14.0 d,15.3 d,14.0 d,13.0 d,12.5 d,14.1 d,12.5 d,10.9 d,10.6 d,9.6 d,11.0 d,9.4 d,8.6 d,14.4 bd,15.9 d,12.9 d
Annual,Rate,Females,From 25 to 74 years,Moldova,4.7,4.6,2.9,2.4,3.8,4.7,4.5,3.4,3.4,2.4 bd,2.7,2.1,2.6,2.1,4.1 bd,2.8,2.2,2.2
Annual,Rate,Females,From 25 to 74 years,Ukraine,5.8 d,5.4 d,5.1 d,5.0 d,6.3 d,5.7 d,5.4 d,5.4 d,5.2 d,6.1 d,6.9 d,6.6 d,7.1 d,6.6 d,7.3 d,8.5 d,9.5 d,:
Annual,Rate,Males,From 15 to 24 years,Armenia,51.4 d,50.0 d,47.2 b,32.1 bd,36.1,31.9,35.0,31.5,31.8,30.7,28.6,29.8,33.1,29.0 bd,31.2,31.6,28.0,24.3
Annual,Rate,Males,From 15 to 24 years,Azerbaijan,14.6,15.2,15.3,15.6,12.9,13.9,14.2,12.2,12.0,11.5,11.4,11.3,11.1,11.0,10.4,13.0,12.9,12.1
Annual,Rate,Males,From 15 to 24 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,12.7,11.2,12.7,12.9,13.8,:,:
Annual,Rate,Males,From 15 to 24 years,Georgia,29.6,32.1,34.9,34.5,36.4,35.1,37.3,34.6,38.6,36.6,31.7,34.6,26.3,26.7,28.9,40.1 b,44.3,39.8
Annual,Rate,Males,From 15 to 24 years,Moldova,19.1 e,18.0 e,14.9,10.2,15.8,20.0,14.2,12.8,11.9,8.9 bd,12.0,10.5,10.9,7.4,11.1 bd,9.9,9.0,9.4
Annual,Rate,Males,From 15 to 24 years,Ukraine,15.2,13.2,12.4,13.1,19.8,17.8,18.6,18.1,18.2,23.7 d,22.7 d,24.0 d,20.3 d,16.9 d,15.5 d,19.9 d,18.0 d,:
Annual,Rate,Males,From 15 to 74 years,Armenia,26.5 d,22.5 d,22.8 bd,14.9 bd,18.4 d,17.6 d,15.3 d,16.9 d,14.9 d,15.8,17.6,18.2,18.1,17.9 bd,17.5,19.1,15.7,13.2
Annual,Rate,Males,From 15 to 74 years,Azerbaijan,7.2,6.9,7.1,6.1,4.9,4.4,4.4,4.3,4.0,4.0,4.1,4.2,4.1,4.1,4.3,6.1,5.1,4.8
Annual,Rate,Males,From 15 to 74 years,Belarus,1.2 d,1.0 d,0.8 d,0.7 d,0.8 d,0.8 d,0.6 d,0.6 d,0.6 d,0.6 d,1.2 d,7.5,7.2,5.9,5.1,4.8,:,:
Annual,Rate,Males,From 15 to 74 years,Georgia,16.2 d,17.2 d,18.1 d,18.1 d,19.5 d,19.1 d,19.1 d,18.2 d,19.0 d,16.6 d,15.6 d,16.6 d,15.0 d,13.9 d,12.8 d,20.2 bd,22.7 d,19.3 d
Annual,Rate,Males,From 15 to 74 years,Moldova,8.7 e,8.9 e,6.3,4.6,7.8,9.1,7.7,6.8,6.0,4.5 bd,5.9,5.3,4.6,3.5,5.8 bd,4.3,3.9,3.6
Annual,Rate,Males,From 15 to 74 years,Ukraine,7.5 d,7.0 d,6.7 d,6.6 d,10.3 d,9.3 d,8.8 d,8.5 d,8.0 d,10.8 d,10.1 d,10.8 d,11.1 d,10.0 d,8.5 d,9.8 d,9.5 d,:
Annual,Rate,Males,From 25 to 74 years,Armenia,:,:,:,:,:,:,:,:,:,13.6,16.0,16.7,16.3,16.6 bd,15.9,17.8,14.6,12.1
Annual,Rate,Males,From 25 to 74 years,Azerbaijan,5.5,5.1,5.5,4.4,3.6,2.9,3.0,3.2,2.9,2.9,3.0,3.2,3.1,3.1,3.5,5.2,4.1,3.8
