Time frequency,Unit of measure,Quantile,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 16 to 29 years,Total,Germany,14.7,20.4 b,19.0,21.3,21.8,19.9,: u,: u,18.3 u,14.3 e
Annual,Percentage,Total,From 16 to 29 years,Total,Denmark,15.4,16.9,18.1,18.6,17.9,19.9,20.4,20.8,23.1,22.8
Annual,Percentage,Total,From 16 to 29 years,Total,Estonia,18.2,19.6,17.6,18.3,25.2,20.3,19.2,22.9,21.3,23.9
Annual,Percentage,Total,From 16 to 29 years,Total,Greece,3.6,6.4,4.4,3.9,3.6,3.7,4.0,3.3,3.5,3.2
Annual,Percentage,Total,From 16 to 29 years,Total,Spain,10.7,11.1,10.7,8.8,11.1,8.2,14.9,15.7,16.6,15.0
Annual,Percentage,Total,From 16 to 29 years,Total,European Union - 27 countries (from 2020),14.1 e,16.0 e,15.8 e,17.3 e,17.0 e,16.6 e,15.6 u,16.0 u,17.1,16.4
Annual,Percentage,Total,From 16 to 29 years,Total,Finland,22.4,25.1,24.2,25.1,24.3,25.7,27.7,28.9,34.9,39.9
Annual,Percentage,Total,From 16 to 29 years,Total,France,16.5,15.9,16.2,16.7,16.6,17.9,15.0 b,14.8,16.8 b,15.9
Annual,Percentage,Total,From 16 to 29 years,Total,Croatia,4.6,6.4,6.6,8.4,7.6,7.7,7.9,6.7,5.9,5.3 b
Annual,Percentage,Total,From 16 to 29 years,Total,Hungary,7.4,9.1,8.7,9.3,10.0,9.2,10.6,8.4,10.2,7.2
Annual,Percentage,Total,From 16 to 29 years,Total,Ireland,11.8,13.3,13.9,13.7,11.0,13.1 b,13.7 b,15.6,17.6,16.0
Annual,Percentage,Total,From 16 to 29 years,Total,Iceland,22.5,23.9,23.7,20.1,23.3,20.7,:,:,:,:
Annual,Percentage,Total,From 16 to 29 years,Total,Italy,6.0,5.7,3.6,2.5,2.7,3.3,3.8,4.2,3.8,4.4
Annual,Percentage,Total,From 16 to 29 years,Total,Lithuania,5.9,9.2,7.2,9.1,11.6,10.6,11.8,9.0,9.7,10.6
Annual,Percentage,Total,From 16 to 29 years,Total,Luxembourg,9.6,11.0,13.0,12.7,14.5,13.6,14.9 b,12.8 b,9.1 b,11.7
Annual,Percentage,Total,From 16 to 29 years,Total,Latvia,10.5,10.8,11.4,12.4,10.9,11.9,9.1,12.3,9.7,12.8
Annual,Percentage,Total,From 16 to 29 years,Total,Montenegro,2.1,2.0,2.0,2.6,2.8,3.3,2.3,2.4,2.8,:
Annual,Percentage,Total,From 16 to 29 years,Total,North Macedonia,1.0,1.1,1.5 u,1.4 u,1.6 u,1.9,1.7 u,:,:,:
Annual,Percentage,Total,From 16 to 29 years,Total,Malta,6.1,6.2,9.7,9.4,9.4,9.2,10.5,11.5,10.8,12.5
Annual,Percentage,Total,From 16 to 29 years,Total,Netherlands,19.2,21.0,18.0,19.0,17.1,15.1,15.7,16.1,19.2,20.1
Annual,Percentage,Total,From 16 to 29 years,Total,Norway,21.2,25.0,22.9,23.2,24.6,26.0,30.2,23.0 b,27.0,26.5
Annual,Percentage,Total,From 16 to 29 years,Total,Poland,9.6,10.2,11.3,14.9,13.4,13.7,12.9,11.7,11.4,10.9
Annual,Percentage,Total,From 16 to 29 years,Total,Portugal,16.0,17.9,16.9,18.3,17.1,16.9,18.6,19.6,18.9,19.6
Annual,Percentage,Total,From 16 to 29 years,Total,Romania,2.3,1.7,1.2 u,1.8 u,2.1 u,1.8 u,2.3 u,1.6 u,1.8 u,1.7 u
Annual,Percentage,Total,From 16 to 29 years,Total,Serbia,3.1,4.4,4.4,5.3,3.6,4.0,2.7,3.8,3.1,:
Annual,Percentage,Total,From 16 to 29 years,Total,Sweden,22.5,22.0,22.8,24.0,21.4,23.8,22.5,26.3,26.7,26.7
Annual,Percentage,Total,From 16 to 29 years,Total,Slovenia,11.9,11.6,15.8,18.7,18.1,14.4,12.8,13.5,14.0,13.7
Annual,Percentage,Total,From 16 to 29 years,Total,Slovakia,7.5,8.6,8.1,8.6,8.2,9.4,7.6,7.5,6.4,7.8
Annual,Percentage,Total,From 16 to 29 years,Total,Türkiye,10.6,12.5,10.4,11.9,11.7,12.6,10.2,10.6,10.3,11.4
Annual,Percentage,Total,From 16 to 29 years,Total,United Kingdom,14.4,16.1,18.3,21.4 b,23.3,:,:,:,:,:
Annual,Percentage,Total,From 20 to 24 years,Total,Austria,16.7,18.2,19.0,20.7,19.3,17.2,16.1,15.8,16.9,22.5
Annual,Percentage,Total,From 20 to 24 years,Total,Belgium,11.8,9.8,8.5,10.8,11.1,9.4,10.4,11.4,11.3,12.8
Annual,Percentage,Total,From 20 to 24 years,Total,Bulgaria,3.2,2.6,3.6 b,2.9 u,3.8 u,: u,3.9 u,: u,3.3 u,3.3 u
