Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1988.0,1994.0,1999.0,2005.0,2010.0,2015.0,2020.0
Annual,Euro per adult equivalent,Austria,:,15438.0,17534.0,19511.0,22574.0,23590.0,25882.0
Annual,Euro per adult equivalent,Belgium,10447.0,14755.0,16620.0,19754.0,22162.0,23799.0,22930.0
Annual,Euro per adult equivalent,Bulgaria,:,:,:,1798.0,2818.0,3671.0,4775.0
Annual,Euro per adult equivalent,Cyprus,:,:,:,15419.0,21353.0,17717.0,17658 e
Annual,Euro per adult equivalent,Czechia,:,:,:,3837.0,6205.0,6061.0,8426.0
Annual,Euro per adult equivalent,Germany,12145.0,15006.0,16649.0,19438.0,19887.0,21057.0,23596.0
Annual,Euro per adult equivalent,Denmark,:,16570.0,19428.0,22378.0,26888.0,27667.0,28867.0
Annual,Euro per adult equivalent,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,12926.0,14740.0,17535 e,18703 i,:,:
Annual,Euro per adult equivalent,Euro area - 12 countries (2001-2006),:,:,:,17583 e,19107 i,:,:
Annual,Euro per adult equivalent,Euro area - 13 countries (2007),:,:,:,17535 e,19069 i,:,:
Annual,Euro per adult equivalent,Euro area - 17 countries (2011-2013),:,:,:,:,18792 i,:,:
Annual,Euro per adult equivalent,Euro area - 18 countries (2014),:,:,:,:,18703 i,:,:
Annual,Euro per adult equivalent,Estonia,:,:,:,4176.0,5046.0,7708.0,10042.0
Annual,Euro per adult equivalent,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,16163 e,16848 i,:,:
Annual,Euro per adult equivalent,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",:,:,:,:,16087 i,:,:
Annual,Euro per adult equivalent,European Free Trade Association,:,:,:,26498 u,31707 u,:,:
Annual,Euro per adult equivalent,Greece,5937.0,7432.0,10600.0,15205.0,16075.0,12305.0,11922.0
Annual,Euro per adult equivalent,Spain,6103.0,8160.0,8541.0,12684.0,17221.0,16682.0,16576.0
Annual,Euro per adult equivalent,European Union - 15 countries (1995-2004),:,12768.0,15626.0,18378 e,18703 i,:,:
Annual,Euro per adult equivalent,European Union - 25 countries (2004-2006),:,:,:,16060 e,16695 i,:,:
