Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,Intentional self-harm,Females,Austria,7.16,6.51,7.19,7.02,6.27,6.36,5.55,5.51,5.16,4.94,4.55
Annual,Rate,Total,Intentional self-harm,Females,Belgium,10.87,9.76,9.48,9.88,9.68,9.51,8.55,8.78,7.92,8.14,8.09
Annual,Rate,Total,Intentional self-harm,Females,Bulgaria,4.0,5.1,3.75,4.24,4.02,4.0,4.15,3.8,3.13,3.07,3.21
Annual,Rate,Total,Intentional self-harm,Females,Switzerland,6.85,6.93,6.94,6.61,6.54,6.0,6.29,6.56,6.24,6.23,6.36
Annual,Rate,Total,Intentional self-harm,Females,Cyprus,1.22,0.38,1.13,2.42,2.03,1.12,1.27,1.59,0.89,1.64,1.98
Annual,Rate,Total,Intentional self-harm,Females,Czechia,4.75,5.18,5.28,5.46,4.76,4.73,5.3,4.62,4.43,3.96,4.76
Annual,Rate,Total,Intentional self-harm,Females,Germany,5.61,5.82,5.85,5.74,5.93,5.37,4.92,4.93,4.72,4.85,5.09
Annual,Rate,Total,Intentional self-harm,Females,Denmark,5.63,5.9,5.73,5.89,6.11,4.96,5.64,5.48,5.15,5.61,5.11
Annual,Rate,Total,Intentional self-harm,Females,Estonia,5.44,6.16,6.1,6.5,5.08,5.1,7.31,5.8,5.62,6.31,5.2
Annual,Rate,Total,Intentional self-harm,Females,Greece,1.43,1.56,1.87,1.92,1.84,1.41,1.66,2.08,1.55,1.51,1.33
Annual,Rate,Total,Intentional self-harm,Females,Spain,3.06,3.3,3.94,3.94,3.73,3.65,3.85,3.6,3.54,3.93,3.92
Annual,Rate,Total,Intentional self-harm,Females,European Union - 27 countries (from 2020),5.22,5.22,5.3,5.15,5.03,4.66,4.65,4.66,4.43,4.49,4.55
Annual,Rate,Total,Intentional self-harm,Females,Finland,7.32,7.79,8.09,7.01,6.2,6.06,7.67,6.82,6.51,6.85,8.03
Annual,Rate,Total,Intentional self-harm,Females,France,7.98,7.36,7.25,6.66,6.27,5.86,5.98,6.32,6.15,6.4,6.17
Annual,Rate,Total,Intentional self-harm,Females,Croatia,7.86,7.66 d,6.34 d,8.02,8.31,7.22,6.9,7.09,5.26,5.51,5.6
Annual,Rate,Total,Intentional self-harm,Females,Hungary,10.66 d,10.22 d,9.28 d,8.25,8.78,8.21,7.22,6.97,7.2,7.2,6.51
Annual,Rate,Total,Intentional self-harm,Females,Ireland,3.96,4.08,4.28,3.82,3.93,3.65,3.2,4.48,3.63,5.2,3.64
Annual,Rate,Total,Intentional self-harm,Females,Iceland,3.37,7.15,9.72,6.93,7.51,2.93,1.25,3.05,4.66,8.53,6.68
Annual,Rate,Total,Intentional self-harm,Females,Italy,2.6,2.79,2.87,2.74,2.57,2.39,2.5,2.58,2.39,2.3,2.5
Annual,Rate,Total,Intentional self-harm,Females,Liechtenstein,4.45,9.23,:,:,:,20.87,0.0,5.38,15.71,9.44,0.0
Annual,Rate,Total,Intentional self-harm,Females,Lithuania,11.66,10.06,11.7,9.38,10.09,7.84,9.12,8.31,7.18,8.02,7.51
Annual,Rate,Total,Intentional self-harm,Females,Luxembourg,7.62,4.69,6.53,6.22,8.43,4.75,5.16,5.71,7.03,4.43,3.15
Annual,Rate,Total,Intentional self-harm,Females,Latvia,6.24,6.4,5.47,6.15,7.0,6.62,5.97,3.4,5.56,4.74,3.32
Annual,Rate,Total,Intentional self-harm,Females,Malta,:,2.87,0.4,2.36,3.2,1.69,1.97,0.85,0.38,2.72,3.88
Annual,Rate,Total,Intentional self-harm,Females,Netherlands,6.14,6.83,6.52,6.94,6.93,7.12,7.04,7.47,6.58,6.66,6.36
Annual,Rate,Total,Intentional self-harm,Females,Norway,6.85,6.01,7.18,5.83,7.53,7.78,7.45,7.73,7.0,6.51,6.52
Annual,Rate,Total,Intentional self-harm,Females,Poland,3.89,4.15,4.26,4.1,3.7,3.02,3.04,2.94,3.07,3.01,3.32
Annual,Rate,Total,Intentional self-harm,Females,Portugal,3.9,3.66,4.1,5.1,5.53,3.82,4.59,4.24,3.88,3.37,3.46
Annual,Rate,Total,Intentional self-harm,Females,Romania,3.89,3.42,3.6,3.16,3.32,3.06,3.22,3.11,2.4,2.38,2.59
Annual,Rate,Total,Intentional self-harm,Females,Serbia,9.07,7.96,7.58,7.19,7.06,6.68,6.27,5.99,6.29,5.58,5.61
Annual,Rate,Total,Intentional self-harm,Females,Sweden,6.88,7.16,7.69,7.62,6.85,7.14,7.01,7.71,7.99,6.73,6.94
Annual,Rate,Total,Intentional self-harm,Females,Slovenia,8.16,7.48,8.25,5.88,8.36,7.12,7.42,7.21,7.78,6.28,8.26
Annual,Rate,Total,Intentional self-harm,Females,Slovakia,2.43,2.65,3.12,2.97,2.98,2.15,2.41,2.76,2.01,1.78,2.36
Annual,Rate,Total,Intentional self-harm,Females,Türkiye,0.83 d,1.1 d,1.34 d,1.17 d,1.01 d,1.13 d,1.56 d,2.05 d,1.96 d,2.22 d,2.27 d
Annual,Rate,Total,Intentional self-harm,Females,United Kingdom,2.8 d,2.91,2.98,3.17,3.41,3.33,3.32,3.81,:,:,:
Annual,Rate,Total,Intentional self-harm,Males,Austria,26.13,25.84,25.6,25.29,24.19,22.66,23.76,23.49,20.88,19.95,21.01
Annual,Rate,Total,Intentional self-harm,Males,Belgium,28.71,28.96,26.09,25.7,24.69,25.5,23.05,23.97,23.28,23.18,21.34
Annual,Rate,Total,Intentional self-harm,Males,Bulgaria,17.98,20.86,17.1,16.94,15.74,15.84,17.07,15.13,14.01,14.14,13.59
Annual,Rate,Total,Intentional self-harm,Males,Switzerland,20.76,20.55,21.0,19.89,20.34,19.18,19.28,18.13,18.3,16.95,17.23
Annual,Rate,Total,Intentional self-harm,Males,Cyprus,7.07,7.54,9.59,6.81,7.05,6.87,7.08,7.69,8.05,5.36,3.47
Annual,Rate,Total,Intentional self-harm,Males,Czechia,27.03,28.64,26.84,24.61,23.12,21.76,22.19,22.16,19.04,20.71,19.75
Annual,Rate,Total,Intentional self-harm,Males,Germany,20.06,18.96,19.18,19.33,18.62,18.21,17.16,17.25,16.45,16.62,16.29
Annual,Rate,Total,Intentional self-harm,Males,Denmark,17.01,19.05,17.59,18.37,14.62,15.82,15.65,15.62,16.59,14.93,14.09
Annual,Rate,Total,Intentional self-harm,Males,Estonia,30.82,34.33,32.28,33.64,29.85,26.35,30.16,27.22,26.36,29.32,24.98
Annual,Rate,Total,Intentional self-harm,Males,Greece,7.25,7.58,7.95,8.42,7.87,7.55,7.71,8.14,8.06,6.86,7.29
Annual,Rate,Total,Intentional self-harm,Males,Spain,11.0,12.28,12.93,13.07,11.93,11.74,11.77,11.26,11.78,12.46,12.53
Annual,Rate,Total,Intentional self-harm,Males,European Union - 27 countries (from 2020),20.73,20.69,20.28,19.52,18.75,17.76,17.21,17.2,16.76,16.86,16.75
Annual,Rate,Total,Intentional self-harm,Males,Finland,27.63,25.29,25.41,22.79,21.26,22.98,22.89,22.6,20.88,19.55,19.53
Annual,Rate,Total,Intentional self-harm,Males,France,27.51,25.79,25.33,22.97,23.42,21.95,20.77,21.99,21.85,21.89,21.71
Annual,Rate,Total,Intentional self-harm,Males,Croatia,28.0,31.58 d,28.25 d,28.25,29.01,27.1,24.88,27.03,25.67,22.89,24.82
Annual,Rate,Total,Intentional self-harm,Males,Hungary,42.18 d,42.22 d,36.71 d,33.93,32.58,30.84,29.23,30.37,26.97,30.39,27.52
Annual,Rate,Total,Intentional self-harm,Males,Ireland,20.43,20.44,17.99,17.95,15.21,15.23,13.83,14.46,12.84,14.18,15.15
Annual,Rate,Total,Intentional self-harm,Males,Iceland,14.29,16.71,24.68,21.49,18.23,21.66,17.57,16.83,17.65,16.21,12.89
Annual,Rate,Total,Intentional self-harm,Males,Italy,11.15,11.2,11.02,10.54,10.16,9.82,9.89,9.32,9.29,9.39,9.73
Annual,Rate,Total,Intentional self-harm,Males,Liechtenstein,30.64,10.12,14.92,20.38,5.05,10.26,28.4,35.07,34.7,22.59,10.13
Annual,Rate,Total,Intentional self-harm,Males,Lithuania,60.97,56.59,66.31,59.02,56.25,54.24,47.37,44.38,42.82,38.1,35.22
Annual,Rate,Total,Intentional self-harm,Males,Luxembourg,15.42,17.08,12.17,21.62,20.69,14.23,14.3,12.5,17.08,16.66,9.43
Annual,Rate,Total,Intentional self-harm,Males,Latvia,41.83,41.56,36.99,35.45,35.5,34.39,33.16,30.81,26.51,29.93,26.48
Annual,Rate,Total,Intentional self-harm,Males,Malta,8.87,11.13,9.63,16.01,11.43,8.92,8.55,7.33,7.2,5.06,9.09
Annual,Rate,Total,Intentional self-harm,Males,Netherlands,14.22,14.92,16.48,15.56,16.01,15.75,15.67,14.18,14.69,14.51,15.04
Annual,Rate,Total,Intentional self-harm,Males,Norway,18.44,15.38,15.45,16.3,15.95,16.48,15.89,18.15,17.87,17.54,17.74
Annual,Rate,Total,Intentional self-harm,Males,Poland,29.73,30.76,30.07,28.28,26.19,22.84,21.3,21.53,21.98,21.98,22.07
Annual,Rate,Total,Intentional self-harm,Males,Portugal,16.73,18.03,16.94,19.23,16.75,15.44,16.12,15.13,15.04,14.9,14.17
Annual,Rate,Total,Intentional self-harm,Males,Romania,23.07,22.98,21.78,20.49,20.55,18.17,17.52,17.85,16.48,16.64,17.15
Annual,Rate,Total,Intentional self-harm,Males,Serbia,28.99,28.6,28.22,26.43,24.76,21.77,23.8,22.18,21.43,21.15,20.93
Annual,Rate,Total,Intentional self-harm,Males,Sweden,17.3,18.07,18.64,17.04,18.09,16.5,17.45,17.98,17.66,17.3,17.41
Annual,Rate,Total,Intentional self-harm,Males,Slovenia,39.25,39.57,37.14,33.44,36.15,30.7,34.71,28.56,30.8,29.7,33.29
Annual,Rate,Total,Intentional self-harm,Males,Slovakia,20.48,21.08,22.94,20.34,16.66,13.69,13.06,13.85,12.78,13.16,13.64
Annual,Rate,Total,Intentional self-harm,Males,Türkiye,2.87 d,3.4 d,4.49 d,3.77 d,3.48 d,4.33 d,6.06 d,7.15 d,7.25 d,7.86 d,8.44 d
Annual,Rate,Total,Intentional self-harm,Males,United Kingdom,10.84 d,11.8,11.97,11.24,11.53,11.31,11.79,12.93,:,:,:
Annual,Rate,Total,Intentional self-harm,Total,Austria,15.54,15.2,15.35,15.25,14.45,13.63,13.84,13.62,12.32,11.73,11.94
Annual,Rate,Total,Intentional self-harm,Total,Belgium,19.27,18.78,17.3,17.29,16.85,17.09,15.44,16.01,15.28,15.27,14.34
Annual,Rate,Total,Intentional self-harm,Total,Bulgaria,10.4,12.11,9.78,9.91,9.34,9.23,9.78,8.83,8.01,8.04,7.82
Annual,Rate,Total,Intentional self-harm,Total,Switzerland,13.23,13.2,13.35,12.77,12.96,12.19,12.33,11.92,11.9,11.29,11.48
Annual,Rate,Total,Intentional self-harm,Total,Cyprus,3.97,3.82,5.19,4.5,4.45,3.89,4.06,4.57,4.35,3.45,2.68
Annual,Rate,Total,Intentional self-harm,Total,Czechia,15.2,15.97,15.18,14.36,13.25,12.55,13.17,12.82,11.22,11.64,11.64
Annual,Rate,Total,Intentional self-harm,Total,Germany,12.14,11.77,11.9,11.94,11.68,11.3,10.54,10.61,10.18,10.31,10.28
Annual,Rate,Total,Intentional self-harm,Total,Denmark,11.11,12.22,11.28,11.91,10.21,10.19,10.45,10.34,10.57,10.03,9.46
Annual,Rate,Total,Intentional self-harm,Total,Estonia,16.31,18.4,16.96,18.31,15.89,14.31,17.22,14.85,14.89,16.28,14.01
Annual,Rate,Total,Intentional self-harm,Total,Greece,4.21,4.43,4.77,4.99,4.69,4.29,4.52,4.93,4.63,4.03,4.15
Annual,Rate,Total,Intentional self-harm,Total,Spain,6.74,7.43,8.14,8.17,7.51,7.41,7.51,7.18,7.39,7.89,7.93
Annual,Rate,Total,Intentional self-harm,Total,European Union - 27 countries (from 2020),12.39,12.38,12.25,11.81,11.39,10.75,10.49,10.49,10.19,10.26,10.24
Annual,Rate,Total,Intentional self-harm,Total,Finland,16.91,16.14,16.36,14.55,13.46,14.26,15.01,14.4,13.47,12.95,13.48
Annual,Rate,Total,Intentional self-harm,Total,France,16.83,15.71,15.48,14.09,14.12,13.2,12.76,13.48,13.36,13.51,13.32
Annual,Rate,Total,Intentional self-harm,Total,Croatia,16.57,18.23 d,16.18 d,16.84,17.32,16.0,14.8,15.96,14.01,13.19,14.06
Annual,Rate,Total,Intentional self-harm,Total,Hungary,24.61 d,24.14 d,21.24 d,19.42,19.03,17.97,16.66,16.84,15.65,17.09,15.69
Annual,Rate,Total,Intentional self-harm,Total,Ireland,12.09,12.12,11.07,10.79,9.49,9.37,8.38,9.41,8.17,9.62,9.31
Annual,Rate,Total,Intentional self-harm,Total,Iceland,8.85,11.61,17.1,13.98,13.06,12.39,9.62,10.23,11.33,12.62,9.88
Annual,Rate,Total,Intentional self-harm,Total,Italy,6.51,6.68,6.64,6.32,6.07,5.85,5.95,5.71,5.62,5.61,5.89
Annual,Rate,Total,Intentional self-harm,Total,Liechtenstein,13.34,9.64,7.48,10.22,2.49,15.59,14.14,19.99,25.1,15.48,4.91
Annual,Rate,Total,Intentional self-harm,Total,Lithuania,33.38,30.69,36.12,31.51,30.28,28.17,26.0,23.98,22.89,21.29,19.51
Annual,Rate,Total,Intentional self-harm,Total,Luxembourg,11.48,10.69,9.29,13.36,13.91,9.38,9.38,9.01,11.52,9.99,6.12
Annual,Rate,Total,Intentional self-harm,Total,Latvia,21.23,21.82,19.05,18.96,19.34,18.67,17.98,15.57,15.04,15.59,13.38
Annual,Rate,Total,Intentional self-harm,Total,Malta,4.49,6.4,5.02,8.15,7.39,5.33,5.23,4.11,3.95,3.98,6.59
Annual,Rate,Total,Intentional self-harm,Total,Netherlands,10.01,10.67,11.32,11.12,11.28,11.29,11.22,10.69,10.48,10.49,10.57
Annual,Rate,Total,Intentional self-harm,Total,Norway,12.49,10.62,11.25,10.97,11.71,12.1,11.6,12.93,12.38,12.02,12.11
Annual,Rate,Total,Intentional self-harm,Total,Poland,16.04,16.71,16.35,15.51,14.23,12.28,11.7,11.7,11.97,11.93,12.15
Annual,Rate,Total,Intentional self-harm,Total,Portugal,9.52,9.98,9.78,11.28,10.38,8.95,9.61,9.03,8.76,8.48,8.22
Annual,Rate,Total,Intentional self-harm,Total,Romania,13.0,12.67,12.24,11.33,11.43,10.16,9.97,10.03,9.04,9.04,9.33
Annual,Rate,Total,Intentional self-harm,Total,Serbia,17.95,17.28,16.81,15.88,15.03,13.52,14.24,13.34,13.26,12.67,12.56
Annual,Rate,Total,Intentional self-harm,Total,Sweden,11.99,12.39,13.03,12.13,12.3,11.73,12.08,12.73,12.75,11.91,12.08
Annual,Rate,Total,Intentional self-harm,Total,Slovenia,21.71,21.53,21.7,18.87,20.72,18.09,19.52,16.86,18.23,17.06,19.81
Annual,Rate,Total,Intentional self-harm,Total,Slovakia,10.6,11.12,12.07,10.74,9.19,7.48,7.23,7.94,6.97,6.9,7.5
Annual,Rate,Total,Intentional self-harm,Total,Türkiye,1.78 d,2.19 d,2.82 d,2.4 d,2.18 d,2.64 d,3.72 d,4.49 d,4.49 d,4.91 d,5.25 d
Annual,Rate,Total,Intentional self-harm,Total,United Kingdom,6.71 d,7.22,7.36,7.08,7.36,7.22,7.45,8.26,:,:,:
