Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Austria,3.33,3.32,2.48,2.78,2.78,2.74,2.27,2.16,2.32,1.83,1.87
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Belgium,3.96,3.62,3.49,2.98,3.65,2.74,2.76,2.57,2.57,1.93,2.23
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Bulgaria,3.89,3.16,3.27,4.11,4.31,3.95,4.09,3.86,3.94,2.68,2.88
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Switzerland,2.14,2.03,2.19,1.76,1.7,1.68,1.76,1.96,1.15,1.15,1.12
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Cyprus,3.02,3.59,2.07,3.25,5.7,2.64,1.66,2.94,2.65,1.96,1.79
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Czechia,4.33,3.81,3.24,3.59,3.49,3.46,3.23,3.49,3.1,2.92,2.69
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Germany,2.65,2.49,2.3,2.14,2.23,2.11,2.05,2.05,1.89,1.63,1.42
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Denmark,2.14,1.77,2.62,1.72,1.95,1.91,1.62,2.18,1.84,1.63,1.62
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Estonia,4.15,3.53,3.78,3.98,4.15,3.03,2.26,3.15,2.39,2.71,2.88
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Greece,4.6,3.41,4.09,3.0,2.97,3.32,2.41,2.61,2.12,1.76,1.93
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Spain,2.08,1.9,2.06,1.84,1.93,1.83,1.89,1.82,1.59,1.27,1.41
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",European Union - 27 countries (from 2020),3.3,3.02,2.84,2.77,2.76,2.7,2.63,2.6,2.44,2.02,2.03
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",Finland,2.87,2.63,2.71,2.55,2.67,1.78,2.02,2.21,1.66,1.66,1.76
Annual,Rate,Females,Total,"Transport accidents (V01-V99, Y85)",France,2.79,2.68,2.21,2.36,2.33,2.3,2.11,1.89,1.7,1.36,1.55
