Time frequency,Reason,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Family reasons,Females,Percentage,Austria,36.6
Annual,Family reasons,Females,Percentage,Belgium,30.3
Annual,Family reasons,Females,Percentage,Bulgaria,24.4
Annual,Family reasons,Females,Percentage,Cyprus,6.9
Annual,Family reasons,Females,Percentage,Czechia,24.9
Annual,Family reasons,Females,Percentage,Germany,9.8
Annual,Family reasons,Females,Percentage,Denmark,11.0
Annual,Family reasons,Females,Percentage,Euro area – 20 countries (from 2023),14.4
Annual,Family reasons,Females,Percentage,Estonia,24.2
Annual,Family reasons,Females,Percentage,Greece,9.2
Annual,Family reasons,Females,Percentage,Spain,15.6
Annual,Family reasons,Females,Percentage,European Union - 27 countries (from 2020),14.9
Annual,Family reasons,Females,Percentage,Finland,6.0
Annual,Family reasons,Females,Percentage,France,11.0
Annual,Family reasons,Females,Percentage,Croatia,18.2 u
Annual,Family reasons,Females,Percentage,Hungary,42.3
Annual,Family reasons,Females,Percentage,Ireland,15.3 u
Annual,Family reasons,Females,Percentage,Italy,24.7
Annual,Family reasons,Females,Percentage,Lithuania,23.8 u
Annual,Family reasons,Females,Percentage,Luxembourg,32.1
Annual,Family reasons,Females,Percentage,Latvia,35.8
Annual,Family reasons,Females,Percentage,Malta,34.9
Annual,Family reasons,Females,Percentage,Netherlands,8.7
Annual,Family reasons,Females,Percentage,Norway,23.5
Annual,Family reasons,Females,Percentage,Poland,19.2 u
Annual,Family reasons,Females,Percentage,Portugal,17.2
Annual,Family reasons,Females,Percentage,Romania,22.3
Annual,Family reasons,Females,Percentage,Sweden,14.4
Annual,Family reasons,Females,Percentage,Slovenia,32.6
Annual,Family reasons,Females,Percentage,Slovakia,40.1
Annual,Family reasons,Males,Percentage,Austria,41.7
Annual,Family reasons,Males,Percentage,Belgium,29.2
Annual,Family reasons,Males,Percentage,Bulgaria,12.0
Annual,Family reasons,Males,Percentage,Cyprus,5.4
Annual,Family reasons,Males,Percentage,Czechia,16.5
Annual,Family reasons,Males,Percentage,Germany,8.3
Annual,Family reasons,Males,Percentage,Denmark,12.3
Annual,Family reasons,Males,Percentage,Euro area – 20 countries (from 2023),13.0
Annual,Family reasons,Males,Percentage,Estonia,29.8
Annual,Family reasons,Males,Percentage,Greece,8.5
Annual,Family reasons,Males,Percentage,Spain,10.8
Annual,Family reasons,Males,Percentage,European Union - 27 countries (from 2020),13.3
Annual,Family reasons,Males,Percentage,Finland,12.0
Annual,Family reasons,Males,Percentage,France,11.8
Annual,Family reasons,Males,Percentage,Croatia,17.2 u
Annual,Family reasons,Males,Percentage,Hungary,42.5
Annual,Family reasons,Males,Percentage,Ireland,11.8 u
Annual,Family reasons,Males,Percentage,Italy,5.7
Annual,Family reasons,Males,Percentage,Lithuania,22.7 u
Annual,Family reasons,Males,Percentage,Luxembourg,34.6
Annual,Family reasons,Males,Percentage,Latvia,28.2
Annual,Family reasons,Males,Percentage,Malta,23.5
Annual,Family reasons,Males,Percentage,Netherlands,8.5
Annual,Family reasons,Males,Percentage,Norway,23.0
Annual,Family reasons,Males,Percentage,Poland,27.8 u
Annual,Family reasons,Males,Percentage,Portugal,23.9
Annual,Family reasons,Males,Percentage,Romania,12.2
Annual,Family reasons,Males,Percentage,Sweden,14.1
Annual,Family reasons,Males,Percentage,Slovenia,33.6
Annual,Family reasons,Males,Percentage,Slovakia,34.6
