Time frequency,Seasonal adjustment,Direction of flow,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Austria,33508.0,29516.0,31903.0,33198.0,32003.0,33550.0,31604.0,31119.0,30423.0,29683.0,30366.0,30269.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Belgium,35424.0,36344.0,36747.0,36582.0,34717.0,36212 p,40049 p,35359 p,35655 p,36673 p,42826 p,33156 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Bulgaria,4007.0,4365.0,5165.0,4821.0,5202.0,4938 p,4373 p,4507 p,4881 p,5764 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Cyprus,1109.0,1207.0,990.0,1189.0,1206.0,856.0,989.0,884.0,734.0,941.0,1017.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Czechia,18051.0,20822.0,19418.0,13758.0,22740.0,24189.0,24684.0,25326.0,23199.0,23301.0,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Germany,275491 p,268455 p,269825 p,273326 p,281771 p,289548 p,294296 p,290594 p,291835 p,286371 p,307215 p,294064 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Denmark,29722.0,31790.0,35010.0,37049.0,35130.0,32549.0,30787.0,29485.0,30130.0,32048.0,32456.0,34410.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Estonia,2345.0,2416.0,2399.0,2388.0,2261.0,2272.0,2130.0,2118.0,:,:,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Greece,4041 p,4493 p,5245 p,6371 p,5697 p,4633 p,5045 p,6377 p,5276 p,7110 p,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Spain,76452.0,76579.0,77133.0,75984.0,86314.0,92258.0,86514.0,85298.0,90419.0,93966.0,91592.0,91968.0
