Time frequency,Size classes in number of employees,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,10 employees or more,Total,Euro,Albania,:,:,:,1.73,2.47
Annual,10 employees or more,Total,Euro,Austria,11.65,12.96,14.02,15.27,17.65
Annual,10 employees or more,Total,Euro,Bosnia and Herzegovina,:,:,:,:,4.83
Annual,10 employees or more,Total,Euro,Belgium,14.27,16.42,17.32,17.97,23.84
Annual,10 employees or more,Total,Euro,Bulgaria,0.8,1.52,1.67,2.4,4.05
Annual,10 employees or more,Total,Euro,Switzerland,:,23.95,29.46,31.44,37.64
Annual,10 employees or more,Total,Euro,Cyprus,8.81,9.19,8.35,8.39,9.31
Annual,10 employees or more,Total,Euro,Czechia,3.56,4.59,4.56,6.17,8.23
Annual,10 employees or more,Total,Euro,Germany,14.83,15.39,15.67,17.23,19.39
Annual,10 employees or more,Total,Euro,Denmark,20.95,24.71,25.52,27.24,29.83
Annual,10 employees or more,Total,Euro,Euro area - 17 countries (2011-2013),12.22,13.29,14.25,14.68,:
Annual,10 employees or more,Total,Euro,Euro area - 18 countries (2014),:,:,:,14.61,:
Annual,10 employees or more,Total,Euro,Euro area - 19 countries  (2015-2022),:,:,14.08,14.51,:
Annual,10 employees or more,Total,Euro,Estonia,2.91,4.09,4.91,6.52,9.38
Annual,10 employees or more,Total,Euro,Greece,7.67,9.06,8.0,7.0,8.0
Annual,10 employees or more,Total,Euro,Spain,8.07,9.41,9.83,10.05,11.02
Annual,10 employees or more,Total,Euro,European Union - 27 countries (2007-2013),11.43,12.07,13.11,13.61,:
Annual,10 employees or more,Total,Euro,European Union - 27 countries (from 2020),10.7,11.82,12.69,13.18,:
Annual,10 employees or more,Total,Euro,European Union - 28 countries (2013-2020),:,12.06,13.14,:,:
Annual,10 employees or more,Total,Euro,Finland,13.72,15.96,17.24,17.49,19.33
Annual,10 employees or more,Total,Euro,France,13.23,13.74,14.94,15.34,16.81
Annual,10 employees or more,Total,Euro,Croatia,:,4.86,4.9,5.37,6.82
Annual,10 employees or more,Total,Euro,Hungary,2.65,3.36,3.59,4.37,5.73
Annual,10 employees or more,Total,Euro,Ireland,16.81,18.25,20.16,17.97,20.25
Annual,10 employees or more,Total,Euro,Iceland,15.77,11.12,14.27,22.95,25.36
Annual,10 employees or more,Total,Euro,Italy,10.91,11.87,12.49,12.61,13.05
Annual,10 employees or more,Total,Euro,Lithuania,2.14,2.69,3.11,4.41,8.82
Annual,10 employees or more,Total,Euro,Luxembourg,15.7,17.83,18.38,19.59,23.99
Annual,10 employees or more,Total,Euro,Latvia,1.95,2.85,3.35,4.92,7.15
Annual,10 employees or more,Total,Euro,Montenegro,:,:,3.42,:,:
Annual,10 employees or more,Total,Euro,North Macedonia,:,2.49,2.2,2.59,:
Annual,10 employees or more,Total,Euro,Malta,6.57,7.46,8.48,9.96,10.3
Annual,10 employees or more,Total,Euro,Netherlands,12.76,15.43,15.62,16.56,18.95
Annual,10 employees or more,Total,Euro,Norway,21.54,25.53,27.99,26.3,:
Annual,10 employees or more,Total,Euro,Poland,3.15,4.02,4.29,4.98,6.9
Annual,10 employees or more,Total,Euro,Portugal,4.71,5.06,5.12,5.37,6.24
Annual,10 employees or more,Total,Euro,Romania,1.39,1.94,2.03,3.74,5.55
Annual,10 employees or more,Total,Euro,Serbia,:,:,2.63,2.81,4.43
Annual,10 employees or more,Total,Euro,Sweden,14.28,15.94,18.46,18.17,19.29
Annual,10 employees or more,Total,Euro,Slovenia,5.48,7.2,7.32,8.04,10.47
Annual,10 employees or more,Total,Euro,Slovakia,2.52,3.93,4.4,5.64,7.72
Annual,10 employees or more,Total,Euro,Türkiye,1.73,2.22,2.41,2.56,:
Annual,10 employees or more,Total,Euro,United Kingdom,14.95,12.99,14.81,15.2,:
Annual,10 employees or more,From 30 to 49 years,Euro,Albania,:,:,:,1.76,2.63
Annual,10 employees or more,From 30 to 49 years,Euro,Austria,12.43,13.88,14.87,16.0,18.5
Annual,10 employees or more,From 30 to 49 years,Euro,Bosnia and Herzegovina,:,:,:,:,4.94
Annual,10 employees or more,From 30 to 49 years,Euro,Belgium,14.7,16.98,17.71,18.42,23.34
Annual,10 employees or more,From 30 to 49 years,Euro,Bulgaria,0.82,1.55,1.7,2.51,4.41
Annual,10 employees or more,From 30 to 49 years,Euro,Switzerland,:,25.39,30.92,32.99,39.25
Annual,10 employees or more,From 30 to 49 years,Euro,Cyprus,9.85,10.35,9.33,9.14,10.3
Annual,10 employees or more,From 30 to 49 years,Euro,Czechia,3.69,4.78,4.78,6.43,8.58
Annual,10 employees or more,From 30 to 49 years,Euro,Germany,15.65,16.34,16.69,18.14,20.52
Annual,10 employees or more,From 30 to 49 years,Euro,Denmark,21.99,25.81,27.0,29.0,32.11
Annual,10 employees or more,From 30 to 49 years,Euro,Euro area - 17 countries (2011-2013),12.68,13.68,14.63,15.0,:
Annual,10 employees or more,From 30 to 49 years,Euro,Euro area - 18 countries (2014),:,:,:,14.97,:
Annual,10 employees or more,From 30 to 49 years,Euro,Euro area - 19 countries  (2015-2022),:,:,14.49,14.88,:
Annual,10 employees or more,From 30 to 49 years,Euro,Estonia,3.12,4.46,5.43,7.17,10.35
Annual,10 employees or more,From 30 to 49 years,Euro,Greece,8.05,9.21,8.0,7.0,8.0
Annual,10 employees or more,From 30 to 49 years,Euro,Spain,8.41,9.58,9.93,10.18,11.1
Annual,10 employees or more,From 30 to 49 years,Euro,European Union - 27 countries (2007-2013),12.05,12.67,13.61,14.03,:
Annual,10 employees or more,From 30 to 49 years,Euro,European Union - 27 countries (from 2020),11.24,12.18,12.93,13.36,:
Annual,10 employees or more,From 30 to 49 years,Euro,European Union - 28 countries (2013-2020),:,12.68,13.66,:,:
Annual,10 employees or more,From 30 to 49 years,Euro,Finland,14.28,16.8,18.13,18.4,20.29
Annual,10 employees or more,From 30 to 49 years,Euro,France,13.45,14.08,15.28,15.72,17.4
Annual,10 employees or more,From 30 to 49 years,Euro,Croatia,:,4.89,5.01,5.62,7.21
Annual,10 employees or more,From 30 to 49 years,Euro,Hungary,2.68,3.42,3.68,4.6,6.02
Annual,10 employees or more,From 30 to 49 years,Euro,Ireland,18.84,19.22,21.12,19.69,23.09
Annual,10 employees or more,From 30 to 49 years,Euro,Iceland,17.33,11.73,15.2,24.74,26.88
Annual,10 employees or more,From 30 to 49 years,Euro,Italy,10.85,11.7,12.19,12.33,12.9
Annual,10 employees or more,From 30 to 49 years,Euro,Lithuania,2.15,2.73,3.26,4.81,9.58
Annual,10 employees or more,From 30 to 49 years,Euro,Luxembourg,16.57,19.01,19.71,21.17,26.01
Annual,10 employees or more,From 30 to 49 years,Euro,Latvia,2.04,2.93,3.56,5.42,8.06
Annual,10 employees or more,From 30 to 49 years,Euro,Montenegro,:,:,3.39,:,:
Annual,10 employees or more,From 30 to 49 years,Euro,North Macedonia,:,2.4,2.18,2.63,:
Annual,10 employees or more,From 30 to 49 years,Euro,Malta,7.17,8.19,9.31,10.97,10.67
Annual,10 employees or more,From 30 to 49 years,Euro,Netherlands,14.24,17.13,17.28,18.53,21.36
Annual,10 employees or more,From 30 to 49 years,Euro,Norway,22.58,26.87,29.48,27.61,:
Annual,10 employees or more,From 30 to 49 years,Euro,Poland,3.31,4.31,4.57,5.26,7.23
Annual,10 employees or more,From 30 to 49 years,Euro,Portugal,5.02,5.4,5.48,5.67,6.45
Annual,10 employees or more,From 30 to 49 years,Euro,Romania,1.39,1.92,2.04,3.77,5.87
Annual,10 employees or more,From 30 to 49 years,Euro,Serbia,:,:,2.65,2.84,4.58
Annual,10 employees or more,From 30 to 49 years,Euro,Sweden,14.65,16.46,19.23,18.88,20.0
Annual,10 employees or more,From 30 to 49 years,Euro,Slovenia,5.65,7.36,7.49,8.25,10.79
Annual,10 employees or more,From 30 to 49 years,Euro,Slovakia,2.56,4.02,4.59,5.9,8.09
Annual,10 employees or more,From 30 to 49 years,Euro,Türkiye,1.9,2.36,2.57,2.77,:
Annual,10 employees or more,From 30 to 49 years,Euro,United Kingdom,17.37,15.12,17.02,17.42,:
Annual,10 employees or more,50 years or over,Euro,Albania,:,:,:,1.8,2.41
Annual,10 employees or more,50 years or over,Euro,Austria,12.89,14.1,15.5,17.01,19.16
Annual,10 employees or more,50 years or over,Euro,Bosnia and Herzegovina,:,:,:,:,5.18
Annual,10 employees or more,50 years or over,Euro,Belgium,16.24,18.99,19.54,20.64,28.01
Annual,10 employees or more,50 years or over,Euro,Bulgaria,0.91,1.57,1.69,2.28,3.74
Annual,10 employees or more,50 years or over,Euro,Switzerland,:,26.22,32.44,34.29,41.04
Annual,10 employees or more,50 years or over,Euro,Cyprus,10.56,11.05,9.89,9.39,10.0
Annual,10 employees or more,50 years or over,Euro,Czechia,3.59,4.61,4.6,6.09,8.12
Annual,10 employees or more,50 years or over,Euro,Germany,15.89,16.5,16.32,17.88,20.06
Annual,10 employees or more,50 years or over,Euro,Denmark,22.54,26.46,27.5,29.57,32.97
Annual,10 employees or more,50 years or over,Euro,Euro area - 17 countries (2011-2013),14.15,15.08,15.63,16.04,:
Annual,10 employees or more,50 years or over,Euro,Euro area - 18 countries (2014),:,:,:,15.97,:
Annual,10 employees or more,50 years or over,Euro,Euro area - 19 countries  (2015-2022),:,:,15.4,15.83,:
Annual,10 employees or more,50 years or over,Euro,Estonia,2.56,3.67,4.39,5.77,8.33
Annual,10 employees or more,50 years or over,Euro,Greece,10.53,12.35,11.0,9.0,9.0
Annual,10 employees or more,50 years or over,Euro,Spain,10.02,11.21,11.05,10.94,11.86
Annual,10 employees or more,50 years or over,Euro,European Union - 27 countries (2007-2013),12.75,13.41,14.38,14.73,:
Annual,10 employees or more,50 years or over,Euro,European Union - 27 countries (from 2020),12.18,13.34,14.12,14.53,:
Annual,10 employees or more,50 years or over,Euro,European Union - 28 countries (2013-2020),:,13.35,14.36,:,:
Annual,10 employees or more,50 years or over,Euro,Finland,14.01,16.34,17.88,18.21,20.2
Annual,10 employees or more,50 years or over,Euro,France,15.63,15.4,16.36,16.46,18.03
Annual,10 employees or more,50 years or over,Euro,Croatia,:,5.6,5.29,5.52,6.76
Annual,10 employees or more,50 years or over,Euro,Hungary,2.77,3.46,3.7,4.26,5.47
Annual,10 employees or more,50 years or over,Euro,Ireland,18.21,19.49,20.29,20.07,22.03
Annual,10 employees or more,50 years or over,Euro,Iceland,16.91,11.51,15.4,26.28,28.92
Annual,10 employees or more,50 years or over,Euro,Italy,14.04,14.37,14.63,14.59,14.65
Annual,10 employees or more,50 years or over,Euro,Lithuania,2.17,2.68,3.0,4.11,7.96
Annual,10 employees or more,50 years or over,Euro,Luxembourg,17.89,19.81,20.24,21.73,26.33
Annual,10 employees or more,50 years or over,Euro,Latvia,1.8,2.75,3.09,4.29,6.19
Annual,10 employees or more,50 years or over,Euro,Montenegro,:,:,3.96,:,:
Annual,10 employees or more,50 years or over,Euro,North Macedonia,:,2.76,2.42,2.66,:
Annual,10 employees or more,50 years or over,Euro,Malta,6.69,7.42,8.33,9.75,10.3
Annual,10 employees or more,50 years or over,Euro,Netherlands,14.79,17.48,17.76,18.82,21.17
Annual,10 employees or more,50 years or over,Euro,Norway,23.3,27.3,30.18,28.66,:
Annual,10 employees or more,50 years or over,Euro,Poland,3.43,4.08,4.34,4.97,6.74
Annual,10 employees or more,50 years or over,Euro,Portugal,5.62,5.86,5.52,5.57,6.44
Annual,10 employees or more,50 years or over,Euro,Romania,1.77,2.24,2.25,3.79,5.3
Annual,10 employees or more,50 years or over,Euro,Serbia,:,:,2.92,2.98,4.32
Annual,10 employees or more,50 years or over,Euro,Sweden,14.88,16.46,19.23,19.2,20.56
Annual,10 employees or more,50 years or over,Euro,Slovenia,5.93,7.7,7.79,8.65,10.94
Annual,10 employees or more,50 years or over,Euro,Slovakia,2.56,3.9,4.34,5.43,7.38
Annual,10 employees or more,50 years or over,Euro,Türkiye,2.28,2.55,2.23,2.6,:
Annual,10 employees or more,50 years or over,Euro,United Kingdom,15.05,13.34,15.32,15.37,:
Annual,10 employees or more,Less than 30 years,Euro,Albania,:,:,:,1.55,2.36
Annual,10 employees or more,Less than 30 years,Euro,Austria,9.88,10.91,11.81,12.79,14.95
Annual,10 employees or more,Less than 30 years,Euro,Bosnia and Herzegovina,:,:,:,:,4.08
Annual,10 employees or more,Less than 30 years,Euro,Belgium,12.21,13.69,14.18,13.28,16.84
Annual,10 employees or more,Less than 30 years,Euro,Bulgaria,0.59,1.3,1.54,2.4,4.12
Annual,10 employees or more,Less than 30 years,Euro,Switzerland,:,18.91,23.81,25.56,30.6
Annual,10 employees or more,Less than 30 years,Euro,Cyprus,6.34,6.92,6.08,5.98,6.9
Annual,10 employees or more,Less than 30 years,Euro,Czechia,3.27,4.18,4.05,5.74,7.56
Annual,10 employees or more,Less than 30 years,Euro,Germany,11.26,11.66,12.4,13.85,15.56
Annual,10 employees or more,Less than 30 years,Euro,Denmark,16.62,19.22,19.79,21.34,23.24
Annual,10 employees or more,Less than 30 years,Euro,Euro area - 17 countries (2011-2013),9.5,10.53,11.49,11.91,:
Annual,10 employees or more,Less than 30 years,Euro,Euro area - 18 countries (2014),:,:,:,11.86,:
Annual,10 employees or more,Less than 30 years,Euro,Euro area - 19 countries  (2015-2022),:,:,11.36,11.79,:
Annual,10 employees or more,Less than 30 years,Euro,Estonia,3.1,4.03,4.78,6.44,9.07
Annual,10 employees or more,Less than 30 years,Euro,Greece,5.55,6.6,5.0,5.0,6.0
Annual,10 employees or more,Less than 30 years,Euro,Spain,6.8,7.68,7.91,8.17,9.0
Annual,10 employees or more,Less than 30 years,Euro,European Union - 27 countries (2007-2013),9.14,9.6,10.68,11.36,:
Annual,10 employees or more,Less than 30 years,Euro,European Union - 27 countries (from 2020),8.4,9.54,10.43,11.08,:
Annual,10 employees or more,Less than 30 years,Euro,European Union - 28 countries (2013-2020),:,9.61,10.7,:,:
Annual,10 employees or more,Less than 30 years,Euro,Finland,11.97,13.52,14.37,14.81,16.02
Annual,10 employees or more,Less than 30 years,Euro,France,10.91,11.39,12.32,12.77,13.83
Annual,10 employees or more,Less than 30 years,Euro,Croatia,:,4.05,3.93,4.6,5.98
Annual,10 employees or more,Less than 30 years,Euro,Hungary,2.42,3.09,3.22,4.0,5.48
Annual,10 employees or more,Less than 30 years,Euro,Ireland,13.07,13.66,15.87,14.01,15.74
Annual,10 employees or more,Less than 30 years,Euro,Iceland,12.43,8.98,11.1,17.47,20.53
Annual,10 employees or more,Less than 30 years,Euro,Italy,8.7,9.1,9.76,10.02,10.67
Annual,10 employees or more,Less than 30 years,Euro,Lithuania,2.04,2.59,2.85,4.18,8.93
Annual,10 employees or more,Less than 30 years,Euro,Luxembourg,13.02,14.58,14.54,15.76,19.2
Annual,10 employees or more,Less than 30 years,Euro,Latvia,2.01,2.84,3.42,5.09,7.14
Annual,10 employees or more,Less than 30 years,Euro,Montenegro,:,:,2.51,:,:
Annual,10 employees or more,Less than 30 years,Euro,North Macedonia,:,2.09,1.79,2.39,:
Annual,10 employees or more,Less than 30 years,Euro,Malta,5.68,6.43,7.41,9.06,9.84
Annual,10 employees or more,Less than 30 years,Euro,Netherlands,9.11,10.96,10.83,11.54,13.82
Annual,10 employees or more,Less than 30 years,Euro,Norway,17.15,19.99,21.71,20.8,:
Annual,10 employees or more,Less than 30 years,Euro,Poland,2.54,3.4,3.59,4.38,6.13
Annual,10 employees or more,Less than 30 years,Euro,Portugal,3.79,4.07,4.17,4.71,5.55
Annual,10 employees or more,Less than 30 years,Euro,Romania,1.11,1.68,1.74,3.52,5.19
Annual,10 employees or more,Less than 30 years,Euro,Serbia,:,:,2.17,2.46,4.15
Annual,10 employees or more,Less than 30 years,Euro,Sweden,12.42,13.84,15.83,15.68,16.41
Annual,10 employees or more,Less than 30 years,Euro,Slovenia,4.7,6.08,6.05,6.79,8.99
Annual,10 employees or more,Less than 30 years,Euro,Slovakia,2.37,3.71,4.03,5.33,7.21
Annual,10 employees or more,Less than 30 years,Euro,Türkiye,1.61,2.09,2.26,2.2,:
Annual,10 employees or more,Less than 30 years,Euro,United Kingdom,11.4,9.62,11.21,12.06,:
