Time frequency,Unit of measure,n_portion,isced11,sex,age,geo\TIME_PERIOD,2014.0,2019.0
Annual,Percentage,GE5,TOTAL,T,TOTAL,HR,7.0,9.8
Annual,Percentage,GE5,TOTAL,T,TOTAL,HU,10.1,8.2
Annual,Percentage,GE5,TOTAL,T,TOTAL,IE,28.8,32.9
Annual,Percentage,GE5,TOTAL,T,TOTAL,IS,10.1,9.1
Annual,Percentage,GE5,TOTAL,T,TOTAL,IT,11.8,10.5
Annual,Percentage,GE5,TOTAL,T,TOTAL,LT,14.1,15.9
Annual,Percentage,GE5,TOTAL,T,TOTAL,LU,15.1,13.6
Annual,Percentage,GE5,TOTAL,T,TOTAL,LV,11.4,7.2
Annual,Percentage,GE5,TOTAL,T,TOTAL,MT,16.8,11.6
Annual,Percentage,GE5,TOTAL,T,TOTAL,NL,25.0,29.5
Annual,Percentage,GE5,TOTAL,T,TOTAL,NO,6.5,8.6
Annual,Percentage,GE5,TOTAL,T,TOTAL,PL,10.1,8.6
Annual,Percentage,GE5,TOTAL,T,TOTAL,PT,18.2,14.4
Annual,Percentage,GE5,TOTAL,T,TOTAL,RO,3.5,2.4
Annual,Percentage,GE5,TOTAL,T,TOTAL,RS,:,8.1
Annual,Percentage,GE5,TOTAL,T,TOTAL,SE,9.0,7.6
Annual,Percentage,GE5,TOTAL,T,TOTAL,SI,7.5,5.3
Annual,Percentage,GE5,TOTAL,T,TOTAL,SK,10.8,8.5
Annual,Percentage,GE5,TOTAL,T,TOTAL,TR,3.0,2.8
Annual,Percentage,GE5,TOTAL,T,TOTAL,UK,33.1,:
