Time frequency,Sex,Age class,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Males,4 years or less,Total,Person,Italy,85500.0,81518.0,67002.0,65044.0,63894.0,63894.0,40212.0,25455.0,13206.0,4933.0
Annual,Males,4 years or less,Total,Person,Liechtenstein,20.0,18.0,20.0,23.0,23.0,24.0,27.0,:,33.0,33.0
Annual,Males,4 years or less,Total,Person,Lithuania,106.0,96.0,155.0,153.0,149.0,134.0,135.0,163.0,213.0,402.0
Annual,Males,4 years or less,Total,Person,Luxembourg,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,11.0,8.0
Annual,Males,4 years or less,Total,Person,Latvia,807.0,666.0,525.0,429.0,393.0,366.0,303.0,275.0,301.0,267.0
Annual,Males,4 years or less,Total,Person,Malta,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Males,4 years or less,Total,Person,Netherlands,56.0,37.0,23.0,41.0,37.0,64.0,88.0,3.0,1.0,1.0
Annual,Males,4 years or less,Total,Person,Norway,1497.0,1627.0,1714.0,1757.0,2393.0,:,2259.0,1345.0,3745.0,574.0
Annual,Males,4 years or less,Total,Person,Poland,1489.0,1894.0,2267.0,2791.0,3435.0,3466.0,4503.0,5222.0,6158.0,7403.0
Annual,Males,4 years or less,Total,Person,Portugal,25.0,24.0,23.0,185.0,634.0,511.0,390.0,290.0,191.0,133.0
Annual,Males,4 years or less,Total,Person,Romania,92.0,49.0,42.0,127.0,120.0,120.0,116.0,121.0,120.0,125.0
Annual,Males,4 years or less,Total,Person,Sweden,0.0,12644.0,15328.0,17164.0,17265.0,15590.0,13765.0,10131.0,5638.0,3036.0
Annual,Males,4 years or less,Total,Person,Slovenia,356.0,199.0,90.0,85.0,73.0,2561.0,2581.0,2499.0,2617.0,3045.0
Annual,Males,4 years or less,Total,Person,Slovakia,:,:,0.0,:,0.0,0.0,0.0,:,:,:
Annual,Total,4 years or less,Total,Person,Austria,805.0,749.0,689.0,640.0,593.0,570.0,585.0,575.0,790.0,762.0
Annual,Total,4 years or less,Total,Person,Belgium,5454.0,4897.0,6996.0,7105.0,7307.0,7404.0,7772.0,6801.0,6677.0,6231.0
Annual,Total,4 years or less,Total,Person,Bulgaria,0.0,963.0,1101.0,1219.0,1182.0,370.0,1536.0,352.0,263.0,317.0
Annual,Total,4 years or less,Total,Person,Switzerland,30308.0,29741.0,29574.0,:,:,:,:,24329.0,22713.0,21667.0
Annual,Total,4 years or less,Total,Person,Cyprus,242.0,360.0,504.0,620.0,628.0,631.0,523.0,395.0,365.0,276.0
Annual,Total,4 years or less,Total,Person,Czechia,10880.0,11468.0,11735.0,11592.0,11078.0,10668.0,9971.0,9660.0,9596.0,9673.0
Annual,Total,4 years or less,Total,Person,Germany,:,:,:,:,0.0,:,73.0,7.0,16.0,35.0
Annual,Total,4 years or less,Total,Person,Denmark,:,:,:,:,:,:,:,0.0,:,:
Annual,Total,4 years or less,Total,Person,Estonia,1501.0,1529.0,1533.0,1475.0,1532.0,1520.0,1403.0,1315.0,1310.0,1062.0
Annual,Total,4 years or less,Total,Person,Greece,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Annual,Total,4 years or less,Total,Person,Spain,721.0,456.0,134623 b,137088.0,135759.0,131837.0,119969.0,112360.0,112628.0,98472.0
Annual,Total,4 years or less,Total,Person,Finland,:,:,:,:,0.0,691.0,541.0,1018.0,1106.0,276.0
Annual,Total,4 years or less,Total,Person,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p,1.0,2.0
Annual,Total,4 years or less,Total,Person,Croatia,:,120.0,161.0,219.0,178.0,173.0,132.0,140.0,134.0,125.0
Annual,Total,4 years or less,Total,Person,Hungary,:,1590.0,2278.0,3666.0,3856.0,:,0.0,652.0,1066.0,1695.0
Annual,Total,4 years or less,Total,Person,Ireland,0.0,0.0,0.0,0.0,0.0,:,0.0,0 u,0.0,0.0
Annual,Total,4 years or less,Total,Person,Iceland,28.0,25.0,28.0,47.0,50.0,45.0,93.0,123.0,145.0,198.0
Annual,Total,4 years or less,Total,Person,Italy,165502.0,157698.0,129859.0,126041.0,123866.0,123866.0,77916.0,49342.0,25784.0,9562.0
Annual,Total,4 years or less,Total,Person,Liechtenstein,37.0,42.0,42.0,47.0,47.0,51.0,54.0,:,70.0,69.0
Annual,Total,4 years or less,Total,Person,Lithuania,190.0,177.0,285.0,268.0,256.0,244.0,246.0,301.0,413.0,776.0
Annual,Total,4 years or less,Total,Person,Luxembourg,1.0,1.0,2.0,2.0,3.0,2.0,3.0,16.0,24.0,14.0
Annual,Total,4 years or less,Total,Person,Latvia,1544.0,1278.0,1027.0,862.0,755.0,691.0,553.0,490.0,558.0,504.0
Annual,Total,4 years or less,Total,Person,Malta,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Total,4 years or less,Total,Person,Netherlands,123.0,77.0,68.0,84.0,108.0,138.0,168.0,5.0,1.0,2.0
Annual,Total,4 years or less,Total,Person,Norway,2966.0,3322.0,3451.0,3498.0,4814.0,:,4461.0,2628.0,7161.0,1101.0
Annual,Total,4 years or less,Total,Person,Poland,2824.0,3609.0,4375.0,5380.0,6667.0,6786.0,8813.0,10322.0,12188.0,14570.0
Annual,Total,4 years or less,Total,Person,Portugal,36.0,33.0,31.0,334.0,1251.0,1017.0,777.0,571.0,398.0,274.0
Annual,Total,4 years or less,Total,Person,Romania,149.0,85.0,80.0,217.0,202.0,209.0,210.0,215.0,221.0,228.0
Annual,Total,4 years or less,Total,Person,Sweden,0.0,24679.0,29782.0,33304.0,33536.0,30337.0,26787.0,19820.0,11072.0,6056.0
Annual,Total,4 years or less,Total,Person,Slovenia,676.0,387.0,181.0,168.0,149.0,4914.0,4890.0,4754.0,5055.0,5936.0
Annual,Total,4 years or less,Total,Person,Slovakia,:,:,0.0,:,0.0,0.0,0.0,:,:,:
Annual,Unknown,4 years or less,Total,Person,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Switzerland,0.0,0.0,0.0,:,:,:,:,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Germany,:,:,:,:,0.0,:,0.0,0.0,1.0,1.0
Annual,Unknown,4 years or less,Total,Person,Denmark,:,:,:,:,:,:,:,0.0,:,:
Annual,Unknown,4 years or less,Total,Person,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Spain,0.0,0.0,0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Finland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Croatia,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Hungary,:,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Ireland,0.0,0.0,0.0,0.0,0.0,:,0.0,0 u,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Luxembourg,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Malta,:,:,:,:,0.0,0.0,:,:,:,:
Annual,Unknown,4 years or less,Total,Person,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Norway,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,4 years or less,Total,Person,Slovakia,:,:,0.0,:,0.0,0.0,0.0,:,:,:
