Annual,Number,1.0,PL,7.0,55.0,154.0,214.0,298.0,348.0,470.0,440.0,540.0,613.0,659.0,735.0,821.0,709 p
Annual,Number,1.0,PT,26.0,52.0,66.0,72.0,85.0,73.0,97.0,89.0,103.0,83.0,109.0,100.0,87.0,90 p
Annual,Number,1.0,RO,:,1.0,3.0,3.0,15.0,13.0,12.0,14.0,31.0,24.0,24.0,30.0,24.0,61 p
Annual,Number,1.0,RU,2.0,3.0,4.0,5.0,:,4.0,1.0,5.0,13.0,7.0,30.0,26.0,19.0,17 p
Annual,Number,1.0,SE,180.0,187.0,249.0,218.0,304.0,279.0,305.0,291.0,304.0,297.0,264.0,189.0,233.0,284 p
Annual,Number,1.0,SG,9.0,7.0,8.0,22.0,24.0,13.0,21.0,20.0,27.0,18.0,25.0,12.0,22.0,28 p
Annual,Number,1.0,SI,2.0,17.0,7.0,17.0,23.0,25.0,37.0,35.0,32.0,54.0,60.0,77.0,57.0,48 p
Annual,Number,1.0,SK,1.0,3.0,5.0,17.0,13.0,7.0,23.0,20.0,31.0,19.0,26.0,30.0,30.0,28 p
Annual,Number,1.0,TR,14.0,17.0,26.0,21.0,30.0,47.0,23.0,19.0,41.0,37.0,27.0,42.0,35.0,18 p
Annual,Number,1.0,TW,148.0,249.0,276.0,289.0,299.0,330.0,314.0,324.0,358.0,306.0,262.0,266.0,258.0,236 p
Annual,Number,1.0,UK,677.0,702.0,749.0,748.0,904.0,729.0,750.0,869.0,896.0,932.0,836.0,776.0,796.0,707 p
Annual,Number,1.0,US,515.0,807.0,898.0,866.0,899.0,902.0,822.0,948.0,1025.0,1090.0,1034.0,1166.0,1088.0,862 p
Annual,Number,1.0,WORLD,4881.0,6700.0,8225.0,8358.0,9029.0,8970.0,9240.0,9729.0,10332.0,10849.0,10349.0,10360.0,10278.0,9864 p
Annual,Number,1.0,ZA,7.0,16.0,19.0,16.0,23.0,16.0,9.0,11.0,15.0,22.0,31.0,24.0,18.0,15 p
Annual,Number,GT1,AT,106.0,149.0,169.0,194.0,243.0,230.0,249.0,232.0,249.0,278.0,276.0,259.0,226.0,223 p
Annual,Number,GT1,AU,36.0,47.0,58.0,39.0,40.0,49.0,50.0,53.0,73.0,71.0,67.0,55.0,48.0,29 p
Annual,Number,GT1,BE,79.0,137.0,159.0,153.0,164.0,150.0,150.0,168.0,177.0,182.0,149.0,156.0,153.0,137 p
Annual,Number,GT1,BG,:,2.0,1.0,2.0,26.0,19.0,29.0,17.0,30.0,53.0,52.0,58.0,51.0,49 p
