Time frequency,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Less than 65 years,Percentage,Austria,6.3,7.0,7.2,6.4,6.6,6.1,7.4,5.7,5.7
Annual,Total,Less than 65 years,Percentage,Belgium,15.0,15.2,14.5,13.1,12.8,12.3,11.9,11.5,10.5
Annual,Total,Less than 65 years,Percentage,Bulgaria,11.5,11.5,11.1,9.0,9.2,8.4,8.4,8.6,7.0
Annual,Total,Less than 65 years,Percentage,Cyprus,10.4,10.1,8.7,8.1,6.6,5.3,5.8,4.1,4.4
Annual,Total,Less than 65 years,Percentage,Czechia,6.8,6.7,5.7,4.5,4.4,4.4,5.4,4.5,5.1
Annual,Total,Less than 65 years,Percentage,Germany,9.5,9.4,8.7,8.0,7.6,8.3 b,9.5,9.8,9.9
Annual,Total,Less than 65 years,Percentage,Denmark,11.9,11.1,10.5,10.0,9.5,9.1,9.7,8.8,9.8
Annual,Total,Less than 65 years,Percentage,Euro area – 20 countries (from 2023),10.9,10.8,9.9,9.1,8.7,9.1,10.0,9.1,8.8
Annual,Total,Less than 65 years,Percentage,Estonia,6.2,5.5,5.4,5.3,5.3,4.8,5.1,5.7,5.9
Annual,Total,Less than 65 years,Percentage,Greece,15.3,15.7,14.3,13.6,12.7,11.8,12.1,9.5,8.3
Annual,Total,Less than 65 years,Percentage,Spain,15.4,14.9,12.8,10.8,10.9,10.0,11.6,8.7,8.4
Annual,Total,Less than 65 years,Percentage,European Union - 27 countries (from 2020),10.1,10.0,9.1,8.5,8.0,8.3,9.0,8.3,8.0
Annual,Total,Less than 65 years,Percentage,Finland,11.5,12.1,11.4,11.1,8.1 b,8.3,8.6,10.1 b,8.7
Annual,Total,Less than 65 years,Percentage,France,8.3,7.8,7.7,7.5,7.1,9.7 b,10.8,9.9 b,9.2
Annual,Total,Less than 65 years,Percentage,Croatia,12.3,11.1,10.6,9.3,7.5,7.2,7.5,6.3,5.5
Annual,Total,Less than 65 years,Percentage,Hungary,8.8,7.7,6.3,5.5,4.9,4.9,5.4,6.2,4.9
Annual,Total,Less than 65 years,Percentage,Ireland,18.8,17.8,16.1,13.2,12.9 b,11.4 b,12.4,9.6,9.1
Annual,Total,Less than 65 years,Percentage,Italy,11.2,12.1,10.8,10.7,9.6,10.2,10.8,9.8,8.9
Annual,Total,Less than 65 years,Percentage,Lithuania,9.1,10.2,9.4,9.2,7.6,7.2,8.1,8.3,8.0
Annual,Total,Less than 65 years,Percentage,Luxembourg,5.4,6.5,6.5,7.8,6.9,7.1 b,5.5 b,3.5 b,3.9
