Time frequency,Unit of measure,Mode of transport,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Bicycles,Austria,:,4.6
Annual,Participation rate (%),Bicycles,Belgium,8.9,10.1
Annual,Participation rate (%),Bicycles,Bulgaria,0.7,:
Annual,Participation rate (%),Bicycles,Germany,10.5,8.7
Annual,Participation rate (%),Bicycles,Estonia,3.4,2.6
Annual,Participation rate (%),Bicycles,Greece,:,0.9
Annual,Participation rate (%),Bicycles,Spain,0.3,0.7
Annual,Participation rate (%),Bicycles,Finland,9.0,6.6
Annual,Participation rate (%),Bicycles,France,:,2.8
Annual,Participation rate (%),Bicycles,Hungary,:,13.3
Annual,Participation rate (%),Bicycles,Italy,4.1,4.0
Annual,Participation rate (%),Bicycles,Lithuania,2.8,:
Annual,Participation rate (%),Bicycles,Luxembourg,:,1.3
Annual,Participation rate (%),Bicycles,Latvia,2.4,:
Annual,Participation rate (%),Bicycles,Netherlands,:,26.6
Annual,Participation rate (%),Bicycles,Norway,5.7,4.0
Annual,Participation rate (%),Bicycles,Poland,6.8,4.0
Annual,Participation rate (%),Bicycles,Romania,:,1.5
Annual,Participation rate (%),Bicycles,Serbia,:,7.9
Annual,Participation rate (%),Bicycles,Slovenia,3.2,:
Annual,Participation rate (%),Bicycles,Türkiye,:,0.3
Annual,Participation rate (%),Bicycles,United Kingdom,:,2.7
Annual,Participation rate (%),On foot,Austria,:,22.4
Annual,Participation rate (%),On foot,Belgium,27.1,31.0
Annual,Participation rate (%),On foot,Bulgaria,71.8,:
Annual,Participation rate (%),On foot,Germany,30.5,19.1
Annual,Participation rate (%),On foot,Estonia,54.0,42.8
Annual,Participation rate (%),On foot,Greece,:,57.3
Annual,Participation rate (%),On foot,Spain,21.4,52.7
Annual,Participation rate (%),On foot,Finland,25.9,25.0
Annual,Participation rate (%),On foot,France,:,31.6
Annual,Participation rate (%),On foot,Hungary,:,44.6
Annual,Participation rate (%),On foot,Italy,45.7,42.1
Annual,Participation rate (%),On foot,Lithuania,61.4,:
Annual,Participation rate (%),On foot,Luxembourg,:,33.6
Annual,Participation rate (%),On foot,Latvia,68.7,:
Annual,Participation rate (%),On foot,Netherlands,:,20.9
Annual,Participation rate (%),On foot,Norway,31.2,32.9
Annual,Participation rate (%),On foot,Poland,67.1,49.6
Annual,Participation rate (%),On foot,Romania,:,53.8
Annual,Participation rate (%),On foot,Serbia,:,67.5
Annual,Participation rate (%),On foot,Slovenia,38.0,:
Annual,Participation rate (%),On foot,Türkiye,:,28.9
Annual,Participation rate (%),On foot,United Kingdom,:,40.9
Annual,Participation rate (%),Other,Austria,:,93.1
Annual,Participation rate (%),Other,Belgium,6.1,43.3
Annual,Participation rate (%),Other,Bulgaria,1.5,:
Annual,Participation rate (%),Other,Germany,1.8,100.0
Annual,Participation rate (%),Other,Estonia,9.2,49.6
Annual,Participation rate (%),Other,Greece,:,48.9
Annual,Participation rate (%),Other,Spain,58.0,63.8
Annual,Participation rate (%),Other,Finland,6.3,71.4
