Time frequency,Currency,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,National currency,Armenia,20289 d,21555 d,23168 d,25188 d,30920 bd,33517 d,36158 d,37044 d,39193 d,40264 d,41698 d,40867 d,41612 d,42621 d,44048 d,44482.0,48145.0,52883.0
Annual,National currency,Azerbaijan,43 d,58 d,64 d,79 d,90 d,99 d,107.0,119.0,125.0,130.0,136.0,149.0,166.0,175.0,186.0,195.0,205.0,230.0
Annual,National currency,Belarus,173778 d,210508 d,258303 d,324599 bd,374361 d,436163 d,658713 d,1205443 bd,1658894 d,2021049 d,2245290 d,237 bd,257 d,293 d,328 d,356 d,:,:
Annual,National currency,Georgia,66 d,72 d,75 d,91 d,91 d,98 d,110 d,116 d,133 d,142 d,145 d,149 d,161 d,162 d,173 d,172 d,199 d,243 d
Annual,National currency,Moldova,:,629.0,761.0,890.0,875.0,975.0,1111.0,1155.0,1273.0,1191 bd,1306 d,1387 d,1528 d,1645 d,1981 bd,2128.0,2402.0,2835.0
Annual,National currency,Ukraine,:,:,526 d,778 d,835 d,944 d,1062 d,1125 d,1188 d,1275 d,1560 d,1827 d,2265 d,2621 d,3017 d,2987 d,3573 d,:
