Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Energy,"Index, 2015=100",Albania,114.09 d,113.84 d,113.81 d,113.97 d,112.93 d,112.72 d,112.69 d,112.13 d,112.13 d,111.46 d,111.37 d,111.60 d
Monthly,Energy,"Index, 2015=100",Austria,160.3,159.46,159.03,158.78,156.25,154.45,154.07,151.39,148.29,145.39,145.52,146.17
Monthly,Energy,"Index, 2015=100",Belgium,143.33,159.04,161.68,160.64,157.48,159.9,161.98,157.96,159.69,159.18,163.01,168.08
Monthly,Energy,"Index, 2015=100",Bulgaria,137.63,138.67,138.49,138.68,137.12,135.82,136.39,135.34,133.6,133.25,133.57,134.87
Monthly,Energy,"Index, 2015=100",Switzerland,145.91,147.59,147.89,148.87,148.75,147.8,147.69,146.55,144.12,142.24,142.39,142.85
Monthly,Energy,"Index, 2015=100",Cyprus,132.75,133.04,133.22,143.28,144.17,141.7,142.48,141.03,136.9,134.81,135.22,135.6
Monthly,Energy,"Index, 2015=100",Czechia,182.2,184.2,184.4,185.5,184.3,182.0,181.9,180.8,177.4,177.1,177.9,177.4
Monthly,Energy,"Index, 2015=100",Germany,150.2,150.9,150.5,154.0,152.1,150.3,150.7,148.5,145.8,146.4,146.1,146.2
Monthly,Energy,"Index, 2015=100",Denmark,135.3,135.5,134.6,129.7,128.5,128.3,129.6,132.3,127.1,133.6,135.4,134.5
Monthly,Energy,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",148.64,150.71,150.35,150.75,148.93,147.79,149.01,147.38,144.91,145.48,146.2,147.1
Monthly,Energy,"Index, 2015=100",Euro area - 19 countries  (2015-2022),148.57,150.64,150.26,150.67,148.85,147.72,148.93,147.3,144.83,145.38,146.07,146.97
Monthly,Energy,"Index, 2015=100",Euro area – 20 countries (from 2023),148.36,150.42,150.06,150.46,148.64,147.51,148.72,147.1,144.63,145.2,145.92,146.82
Monthly,Energy,"Index, 2015=100",Estonia,215.31,205.41,205.57,204.32,203.87,205.75,207.77,206.24,199.41,201.57,200.22,203.29
Monthly,Energy,"Index, 2015=100",Greece,128.83,131.11,130.35,130.47,128.04,126.06,130.45,133.77,131.54,130.93,129.27,130.47
Monthly,Energy,"Index, 2015=100",Spain,120.84,120.85,124.25,126.01,125.52,125.22,122.57,121.63,117.9,118.71,121.4,122.76
Monthly,Energy,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",151.23,153.11,152.91,153.19,151.22,150.05,152.15,150.67,148.24,148.82,149.9,150.67
Monthly,Energy,"Index, 2015=100",European Union - 27 countries (from 2020),150.54,152.42,152.21,152.5,150.54,149.37,151.46,149.99,147.57,148.14,149.22,149.99
Monthly,Energy,"Index, 2015=100",Finland,139.78,144.07,140.8,140.28,137.0,133.73,133.68,130.66,128.84,133.49,130.4,131.1
Monthly,Energy,"Index, 2015=100",France,157.99,164.27,163.05,162.56,160.59,159.31,161.47,159.51,156.66,158.0,158.35,159.58
Monthly,Energy,"Index, 2015=100",Croatia,120.76,122.85,123.05,122.73,121.04,119.7,121.89,120.32,118.43,120.35,123.55,124.09
Monthly,Energy,"Index, 2015=100",Hungary,153.2,159.62,163.18,165.03,160.01,155.22,158.25,157.39,153.96,154.67,157.14,160.23
Monthly,Energy,"Index, 2015=100",Ireland,158.6,159.5,154.4,155.9,155.4,153.8,153.9,152.9,150.8,151.3,151.6,152.5
Monthly,Energy,"Index, 2015=100",Iceland,143.48,144.11,143.7,144.19,144.05,143.25,143.5,144.21,142.98,142.8,142.46,142.4
Monthly,Energy,"Index, 2015=100",Italy,156.3,155.4,152.8,148.9,147.6,146.6,151.9,150.9,149.3,148.8,149.3,150.1
Monthly,Energy,"Index, 2015=100",Lithuania,149.05,153.2,148.78,144.04,141.94,141.64,141.84,140.55,137.42,138.36,142.35,145.68
Monthly,Energy,"Index, 2015=100",Luxembourg,140.4,147.21,145.99,148.17,142.56,140.11,142.74,138.05,132.36,133.43,132.89,132.37
Monthly,Energy,"Index, 2015=100",Latvia,159.7,161.23,160.91,160.44,157.17,153.4,154.42,152.43,149.47,150.16,149.89,150.81
Monthly,Energy,"Index, 2015=100",Montenegro,120.74 d,122.98 d,123.62 d,123.76 d,122.38 d,120.76 d,122.06 d,119.99 d,117.94 d,117.50 d,117.99 d,118.91 d
Monthly,Energy,"Index, 2015=100",North Macedonia,137.93 d,139.93 d,140.41 d,141.10 d,140.60 d,138.59 d,139.80 d,137.96 d,134.87 d,135.46 d,135.97 d,136.37 d
Monthly,Energy,"Index, 2015=100",Malta,98.44,98.44,98.44,98.44,98.44,98.44,98.44,98.44,98.44,98.44,98.44,98.44
Monthly,Energy,"Index, 2015=100",Netherlands,162.26,163.87,164.0,163.43,158.84,157.16,156.01,154.47,152.0,154.37,156.9,156.91
Monthly,Energy,"Index, 2015=100",Norway,208.3,205.9,206.2,207.7,189.1,189.5,182.1,170.3,171.3,187.1,197.8,195.5
Monthly,Energy,"Index, 2015=100",Poland,161.4,163.0,162.7,163.8,163.4,161.6,171.7,171.5,170.0,169.4,170.6,170.7
Monthly,Energy,"Index, 2015=100",Portugal,122.4,124.73,124.81,124.51,122.14,124.34,125.44,123.8,123.24,124.86,125.37,125.96
Monthly,Energy,"Index, 2015=100",Romania,154.86,157.23,158.42,155.85,152.28,152.97,157.44,156.09,152.85,153.66,154.77,155.33
Monthly,Energy,"Index, 2015=100",Serbia,152.7 d,155.1 d,155.3 d,156.8 d,157.3 d,155.5 d,156.4 d,154.3 d,151.4 d,152.4 d,152.8 d,153.3 d
Monthly,Energy,"Index, 2015=100",Sweden,149.91,142.46,143.6,141.44,130.0,130.74,128.1,122.75,122.14,125.79,140.66,139.18
Monthly,Energy,"Index, 2015=100",Slovenia,128.65,130.47,133.2,134.22,133.46,130.03,130.73,133.31,131.09,126.42,131.45,131.93
Monthly,Energy,"Index, 2015=100",Slovakia,127.01,128.05,128.76,129.28,128.4,127.97,128.17,127.39,126.21,126.38,126.61,126.98
Monthly,Energy,"Index, 2015=100",Türkiye,646.24 d,667.70 d,676.90 d,675.53 d,715.57 d,710.92 d,791.60 d,852.23 d,854.39 d,865.86 d,873.11 d,878.85 d
Monthly,Energy,"Index, 2015=100",Kosovo*,132.22 d,133.90 d,131.27 d,128.45 d,126.56 d,125.16 d,127.62 d,125.37 d,121.74 d,121.91 d,122.91 d,124.36 d
Monthly,Energy,Percentage change m/m-1,Albania,-0.3 d,-0.2 d,0.0 d,0.1 d,-0.9 d,-0.2 d,0.0 d,-0.5 d,0.0 d,-0.6 d,-0.1 d,0.2 d
Monthly,Energy,Percentage change m/m-1,Austria,1.1,-0.5,-0.3,-0.2,-1.6,-1.2,-0.2,-1.7,-2.0,-2.0,0.1,0.4
Monthly,Energy,Percentage change m/m-1,Belgium,-3.1,11.0,1.7,-0.6,-2.0,1.5,1.3,-2.5,1.1,-0.3,2.4,3.1
Monthly,Energy,Percentage change m/m-1,Bulgaria,-1.2,0.8,-0.1,0.1,-1.1,-0.9,0.4,-0.8,-1.3,-0.3,0.2,1.0
Monthly,Energy,Percentage change m/m-1,Switzerland,4.9,1.2,0.2,0.7,-0.1,-0.6,-0.1,-0.8,-1.7,-1.3,0.1,0.3
Monthly,Energy,Percentage change m/m-1,Cyprus,-2.0,0.2,0.1,7.6,0.6,-1.7,0.6,-1.0,-2.9,-1.5,0.3,0.3
Monthly,Energy,Percentage change m/m-1,Czechia,5.0,1.1,0.1,0.6,-0.6,-1.2,-0.1,-0.6,-1.9,-0.2,0.5,-0.3
Monthly,Energy,Percentage change m/m-1,Germany,1.2,0.5,-0.3,2.3,-1.2,-1.2,0.3,-1.5,-1.8,0.4,-0.2,0.1
Monthly,Energy,Percentage change m/m-1,Denmark,6.4,0.1,-0.7,-3.6,-0.9,-0.2,1.0,2.1,-3.9,5.1,1.3,-0.7
Monthly,Energy,Percentage change m/m-1,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1.2,1.4,-0.2,0.3,-1.2,-0.8,0.8,-1.1,-1.7,0.4,0.5,0.6
