Time frequency,Live animals,Unit of measure,Geopolitical entity (reporting)\Time,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,:,:,:,1049.0,1029.0,958.0,921.0,868.0,820.0,777.0,708.0,655.0,620.0,592.0,561.0,540.0,551.0,524.0,510.3,500.0,483.0,480.0,421.7,413.9,401.1,397.7,396.0,396.0,348.24,348.24,348.24,:,:,:,:,:,:,:
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,79.9,82.6,79.7,81.3,78.2,77.6,81.4,81.8
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,:,:,:,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.6,1.39,1.39,1.36,1.6,1.7,1.7,2.65,2.65,2.65,2.775,:,:,:,:,:,:,:
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30.9,30.0,28.4,26.2,26.8,27.2,25.8,23.3
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,66.0,65.0,65.0,62.0,62.0,62.0,66.0,66.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,:,:,:,144.0,135.0,113.0,100.0,117.0,115.0,110.0,86.0,73.0,70.0,74.0,77.0,79.0,78.0,76.0,75.0,70.0,67.0,60.0,59.31,60.42,64.32,62.07,63.06,64.29,68.3,66.71,69.592,76.716,86.421,92.0,:,:,:,:
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,941.2,938.9,899.5,841.3,621.7,635.8,568.8,557.9
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,145.0,145.0,145.0,145.0,145.0,:,:,:,:,:,:,:
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,670.0,749.0,721.0,751.0,784.0,806.0,816.0,822.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.0,11.0,9.0,9.0,8.0,8.0,8.0,:
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0
Annual,"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,:,:,:,:,:,:,:,:,210.0,204.0,196.0,190.0,185.0,180.0,177.0,173.0,169.0,166.0,162.0,158.0,156.0,153.0,151.0,149.0,147.0,145.0,145.0,145.0,145.0,145.0,145.0,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Belgium,:,:,:,132.0,120.0,109.0,98.0,87.0,81.0,76.0,67.0,60.0,58.0,56.0,53.0,52.0,49.0,44.0,40.0,36.6,33.03,31.49,30.25,28.78,27.54,26.07,24.44,23.14,22.14,18.48,18.478,20.967,15.0,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,490.954,0.0,530.957,0.0,598.848,0.0,652.444,:
Annual,Live horses,Thousand heads (animals),Denmark,:,:,:,81.0,64.0,53.0,45.0,42.0,40.0,42.0,45.0,47.0,48.0,50.0,55.0,58.0,60.0,61.0,59.0,56.0,50.0,44.0,41.0,33.0,35.0,34.0,34.0,34.0,34.0,34.0,34.0,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Greece,:,:,:,:,:,294.0,280.0,265.0,267.0,254.0,232.0,216.0,194.0,180.0,166.0,158.0,149.0,137.36,125.6,115.74,105.01,95.31,86.43,80.02,73.18,66.72,65.43,65.43,65.43,65.43,65.429,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,244.0,251.0,253.0,254.0,252.0,248.0,248.0,248.0,248.0,248.0,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1657.628,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),France,1729.0,1617.0,1526.0,1357.0,1228.0,1114.0,1044.0,874.0,750.0,696.0,453.4,409.64,391.82,372.59,363.94,353.67,355.59,341.7,338.38,331.45,303.55,302.67,303.93,306.35,308.3,271.2,268.2,266.1,318.1,319.0,322.1,327.9,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Ireland,:,:,:,:,:,:,:,:,:,:,124.0,117.0,112.0,87.7,71.5,57.0,51.2,47.5,41.4,73.0,34.2,30.9,28.0,26.9,24.9,24.0,21.9,20.1,20.1,20.1,20.1,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Italy,:,:,:,348.0,341.0,331.0,321.0,320.0,310.0,296.0,271.0,255.0,257.0,249.0,250.0,253.0,264.0,264.0,267.55,273.0,273.0,272.0,255.8,253.4,246.3,248.1,254.0,254.0,220.2,220.2,220.2,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Luxembourg,:,:,:,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.6,1.39,1.39,1.36,1.6,1.7,1.7,2.65,2.65,2.65,2.775,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),Netherlands,:,:,:,144.0,135.0,113.0,100.0,117.0,115.0,110.0,86.0,73.0,70.0,74.0,77.0,79.0,78.0,76.0,75.0,70.0,67.0,60.0,59.31,60.42,64.32,62.07,63.06,64.29,68.3,66.71,69.592,76.716,86.421,92.0,:,:,:,:
Annual,Live horses,Thousand heads (animals),Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.0,25.0,25.0,21.0,21.0,:,:,:,:,:,:,:
Annual,Live horses,Thousand heads (animals),United Kingdom,:,:,:,:,:,:,:,:,210.0,204.0,196.0,190.0,185.0,180.0,177.0,173.0,169.0,166.0,162.0,158.0,156.0,153.0,151.0,149.0,147.0,145.0,145.0,145.0,145.0,145.0,145.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Belgium,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,2.71,2.711,0.362,6.0,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
