Time frequency,Age class,Size classes in number of employees,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Luxembourg,:,:,:,:,:,22.0,18.0,23 e
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Latvia,:,:,:,:,:,606.0,371.0,312 e
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Malta,:,:,:,:,52 b,55 p,35.0,34 p
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Netherlands,:,:,:,:,:,1902.0,871.0,1514 p
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Poland,:,:,:,:,:,1391.0,2317.0,2251 e
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Portugal,:,:,:,:,1865 b,1677.0,1435 p,1520 e
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Romania,:,:,:,:,:,971.0,1307.0,1078 p
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Serbia,:,:,:,:,:,293 b,230.0,358 p
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Sweden,:,:,:,:,:,856.0,691.0,646 bp
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Slovenia,:,:,:,:,:,532.0,426.0,539 p
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Slovakia,:,:,:,:,425.0,456.0,447 p,649 e
Annual,Total,Total,Enterprise deaths - number,Sports activities and amusement and recreation activities,Türkiye,:,:,:,:,3136.0,2708.0,2372 p,:
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Austria,:,:,:,:,:,:,8351.0,8155.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Belgium,:,:,:,:,:,:,11988.0,12961.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Bulgaria,:,:,:,:,:,:,3240.0,3416.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Cyprus,:,:,:,:,:,:,1003.0,1074.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Czechia,:,:,:,:,:,:,18107.0,19675.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Germany,:,:,:,:,:,:,25168.0,27005.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Denmark,:,:,:,:,:,:,2738.0,2869.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Estonia,:,:,:,:,:,:,1986.0,2378.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Greece,:,:,:,:,:,:,6882 b,7114.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Spain,:,:,:,:,:,:,41903 b,45304.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,European Union - 27 countries (from 2020),:,:,:,:,:,:,334697.0,356540.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Finland,6184.0,6452.0,6713.0,6990.0,7199.0,7685.0,7918 b,8438.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,France,:,:,:,:,:,:,68865 b,76174 b
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Croatia,:,:,:,:,:,:,2097.0,2287.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Hungary,:,:,:,:,:,:,8641.0,8921.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Ireland,:,:,:,:,:,:,4209.0,4492.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Italy,:,:,:,:,:,:,29529 b,32142.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Lithuania,:,:,:,:,:,:,3200.0,3539.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Luxembourg,:,:,:,:,:,:,288.0,323.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Latvia,:,:,:,:,:,:,2631.0,3104.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Malta,:,:,:,:,:,:,418 b,468.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Netherlands,:,:,:,:,:,:,20969.0,21367.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Poland,:,:,:,:,:,:,14250.0,13948.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Portugal,:,:,:,:,:,:,13354 b,15353.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Romania,:,:,:,:,:,:,13092.0,13979.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Serbia,:,:,:,:,:,:,1399 b,1600.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Sweden,:,:,:,:,:,:,15452.0,12628 b
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Slovenia,:,:,:,:,:,:,2920.0,3107.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Slovakia,:,:,:,:,:,:,5498.0,6319.0
Annual,Total,Total,Enterprises - number,Sports activities and amusement and recreation activities,Türkiye,:,:,:,:,:,:,17219.0,18376.0
