Time frequency,Motor energy,Unit of measure,Geopolitical entity (reporting)\Time,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Annual,Alternative energy,Number,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,1.0,0.0,0.0,0.0,0.0,:
Annual,Alternative energy,Number,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,:,:
Annual,Alternative energy,Number,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,0.0,0.0,0.0,0.0,0.0,0 e,0 e,:
Annual,Alternative energy,Number,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,0.0,0.0,0.0,: m,0.0,0.0,0.0,0.0,0.0
Annual,Alternative energy,Number,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.0,5.0,:,:,2.0,6.0,:,12.0,4.0,7.0,43.0,6.0,44.0,108.0,75.0
Annual,Alternative energy,Number,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Alternative energy,Number,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,0.0,2.0,1.0,0.0,3.0,14.0,:
Annual,Alternative energy,Number,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Alternative energy,Number,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,:,:,:,1.0,1.0,: m,6.0,19.0,16.0,25.0,:,:,27.0,:
Annual,Alternative energy,Number,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,: m,: m,: m,: m,22.0
Annual,Alternative energy,Number,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,19.0,44.0,44.0,:
Annual,Alternative energy,Number,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:
Annual,Alternative energy,Number,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 e,0 e,:,:,:,:,:,:,:,:
Annual,Alternative energy,Number,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,1.0,:
Annual,Alternative energy,Number,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:,0.0
Annual,Alternative energy,Number,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,:,:
Annual,Alternative energy,Number,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:
Annual,Alternative energy,Number,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Alternative energy,Number,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:
Annual,Alternative energy,Number,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
Annual,Alternative energy,Number,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,343.0,: m,: m,2.0,4.0,4.0,2.0,2.0,10.0,78.0,159.0
