Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,St. Hr.  (Km 286. 5 ) - Cadca,Goods trains,Number,5879.0
Annual,St. Hr.  (Km 286. 5 ) - Cadca,Other trains,Number,5.0
Annual,St. Hr.  (Km 286. 5 ) - Cadca,Passenger trains,Number,4957.0
Annual,Cadca - Zilina,Goods trains,Number,5575.0
Annual,Cadca - Zilina,Other trains,Number,222.0
Annual,Cadca - Zilina,Passenger trains,Number,10405.0
Annual,Zilina - Vrutky,Goods trains,Number,7208.0
Annual,Zilina - Vrutky,Other trains,Number,651.0
Annual,Zilina - Vrutky,Passenger trains,Number,14634.0
Annual,Vrutky - Kralovany,Goods trains,Number,5493.0
Annual,Vrutky - Kralovany,Other trains,Number,376.0
Annual,Vrutky - Kralovany,Passenger trains,Number,11282.0
Annual,Kralovany - Liptovsky Mikulas,Goods trains,Number,5352.0
Annual,Kralovany - Liptovsky Mikulas,Other trains,Number,330.0
Annual,Kralovany - Liptovsky Mikulas,Passenger trains,Number,10829.0
Annual,Liptovsky Mikulas - Strba,Goods trains,Number,4976.0
Annual,Liptovsky Mikulas - Strba,Other trains,Number,366.0
Annual,Liptovsky Mikulas - Strba,Passenger trains,Number,8369.0
Annual,Strba - Poprad ? Tatry,Goods trains,Number,4924.0
Annual,Strba - Poprad ? Tatry,Other trains,Number,314.0
Annual,Strba - Poprad ? Tatry,Passenger trains,Number,8398.0
Annual,Poprad - Tatry - Spisska Nova Ves,Goods trains,Number,5156.0
Annual,Poprad - Tatry - Spisska Nova Ves,Other trains,Number,296.0
Annual,Poprad - Tatry - Spisska Nova Ves,Passenger trains,Number,10640.0
Annual,Spisska Nova Ves - Margecany,Goods trains,Number,4961.0
Annual,Spisska Nova Ves - Margecany,Other trains,Number,338.0
Annual,Spisska Nova Ves - Margecany,Passenger trains,Number,10929.0
Annual,Margecany - Kysak,Goods trains,Number,5102.0
Annual,Margecany - Kysak,Other trains,Number,407.0
Annual,Margecany - Kysak,Passenger trains,Number,10912.0
Annual,Kysak - Kosice,Goods trains,Number,6315.0
Annual,Kysak - Kosice,Other trains,Number,504.0
Annual,Kysak - Kosice,Passenger trains,Number,17572.0
Annual,Kosice - Michalany,Goods trains,Number,3937.0
Annual,Kosice - Michalany,Other trains,Number,379.0
Annual,Kosice - Michalany,Passenger trains,Number,7512.0
Annual,Michalany - Cierna Nad Tisou,Goods trains,Number,3093.0
Annual,Michalany - Cierna Nad Tisou,Other trains,Number,306.0
Annual,Michalany - Cierna Nad Tisou,Passenger trains,Number,4595.0
Annual,Cierna Nad Tisou - Cierna Nad Tisou St.Hr.,Goods trains,Number,314.0
Annual,Cierna Nad Tisou - Cierna Nad Tisou St.Hr.,Other trains,Number,0.0
Annual,Cierna Nad Tisou - Cierna Nad Tisou St.Hr.,Passenger trains,Number,288.0
Annual,Bratislava Hl.St. - Bratislava - Vajnory,Goods trains,Number,6444.0
Annual,Bratislava Hl.St. - Bratislava - Vajnory,Other trains,Number,351.0
Annual,Bratislava Hl.St. - Bratislava - Vajnory,Passenger trains,Number,23132.0
Annual,Bratislava - Vajnory - Galanta,Goods trains,Number,5406.0
Annual,Bratislava - Vajnory - Galanta,Other trains,Number,215.0
Annual,Bratislava - Vajnory - Galanta,Passenger trains,Number,15462.0
Annual,Galanta - Palarikovo,Goods trains,Number,6506.0
Annual,Galanta - Palarikovo,Other trains,Number,308.0
Annual,Galanta - Palarikovo,Passenger trains,Number,13829.0
Annual,Palarikovo - Nove Zamky,Goods trains,Number,5308.0
Annual,Palarikovo - Nove Zamky,Other trains,Number,357.0
Annual,Palarikovo - Nove Zamky,Passenger trains,Number,10098.0
Annual,Nove Zamky - Sturovo,Goods trains,Number,4094.0
Annual,Nove Zamky - Sturovo,Other trains,Number,318.0
Annual,Nove Zamky - Sturovo,Passenger trains,Number,5778.0
Annual,Sturovo - Sturovo St.Hr.,Goods trains,Number,3777.0
Annual,Sturovo - Sturovo St.Hr.,Other trains,Number,4.0
Annual,Sturovo - Sturovo St.Hr.,Passenger trains,Number,2197.0
Annual,Kuty St.Hr. - Kuty,Goods trains,Number,9215.0
Annual,Kuty St.Hr. - Kuty,Other trains,Number,6.0
