Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 15 to 24 years,Females,Austria,87.4,89.0,78.8
Annual,Percentage,From 15 to 24 years,Females,Belgium,82.3,73.3,75.4
Annual,Percentage,From 15 to 24 years,Females,Bulgaria,65.3 u,63.9,87.7 u
Annual,Percentage,From 15 to 24 years,Females,Cyprus,57.0 u,63.0 u,79.6
Annual,Percentage,From 15 to 24 years,Females,Czechia,84.8,61.8 u,71.3 u
Annual,Percentage,From 15 to 24 years,Females,Germany,73.1,80.4,86.8
Annual,Percentage,From 15 to 24 years,Females,Denmark,84.8,90.5,90.4
Annual,Percentage,From 15 to 24 years,Females,Estonia,90.8 u,88.2 u,93.3 u
Annual,Percentage,From 15 to 24 years,Females,Greece,70.5,89.4 u,73.4 u
Annual,Percentage,From 15 to 24 years,Females,Spain,75.3,81.3,84.4
Annual,Percentage,From 15 to 24 years,Females,European Union - 27 countries (from 2020),75.1,76.6,81.8
Annual,Percentage,From 15 to 24 years,Females,European Union - 28 countries (2013-2020),76.7,76.2,84.4
Annual,Percentage,From 15 to 24 years,Females,Finland,86.4,94.2,93.0 u
Annual,Percentage,From 15 to 24 years,Females,France,69.3,65.7,82.1
Annual,Percentage,From 15 to 24 years,Females,Croatia,73.7,94.1 u,86.2 u
Annual,Percentage,From 15 to 24 years,Females,Hungary,87.6 u,76.9 u,73.6 u
Annual,Percentage,From 15 to 24 years,Females,Ireland,87.4,83.9,97.9
Annual,Percentage,From 15 to 24 years,Females,Italy,54.6,59.2,71.5 u
Annual,Percentage,From 15 to 24 years,Females,Lithuania,69.9,65.3 u,83.0
Annual,Percentage,From 15 to 24 years,Females,Luxembourg,92.8 u,78.5,86.5 u
Annual,Percentage,From 15 to 24 years,Females,Latvia,82.2,88.7 u,69.6 u
Annual,Percentage,From 15 to 24 years,Females,Malta,88.8,88.4,91.3
Annual,Percentage,From 15 to 24 years,Females,Netherlands,98.2 u,82.1,88.1
Annual,Percentage,From 15 to 24 years,Females,Poland,83.3,64.4,62.6
Annual,Percentage,From 15 to 24 years,Females,Portugal,54.1,73.0 u,87.1 u
Annual,Percentage,From 15 to 24 years,Females,Romania,78.1,92.7 u,80.1 u
Annual,Percentage,From 15 to 24 years,Females,Sweden,94.7 u,85.7 u,81.1
Annual,Percentage,From 15 to 24 years,Females,Slovenia,91.5 u,84.9,86.5 u
