Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Per million inhabitants,Border regions,Austria,:,:,:,:,:,:,:,:,:,:,:,263.01,:,:
Annual,Per million inhabitants,Border regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Czechia,:,:,:,43.85,62.22,:,39.52,:,51.98,:,46.39,55.78,66.28,:
Annual,Per million inhabitants,Border regions,Denmark,:,:,:,:,287.97,279.48,233.59,203.63,269.87,260.5,294.21,245.13,326.36,227.31
Annual,Per million inhabitants,Border regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,79.83
Annual,Per million inhabitants,Border regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,18.59
Annual,Per million inhabitants,Border regions,Ireland,39.27,132.97,:,:,:,57.64,102.03,76.4,:,21.33,:,20.07,:,:
Annual,Per million inhabitants,Border regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Italy,:,279.82,338.3,:,:,312.18,300.14,:,236.06,:,:,:,:,:
Annual,Per million inhabitants,Border regions,Liechtenstein,1860.44,6531.75,6589.6,3695.75,4037.76,7551.76,3371.83,3761.07,2379.04,2385.2,5537.76,1750.65,2702.99,1169.53
Annual,Per million inhabitants,Border regions,Luxembourg,131.61,140.67,351.23,345.35,1068.91,713.11,429.58,386.4,644.73,1021.24,1368.62,1020.59,1255.87,562.26
Annual,Per million inhabitants,Border regions,Latvia,:,:,:,:,:,:,:,10.37,20.49,:,:,:,20.07,:
Annual,Per million inhabitants,Border regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Border regions,Netherlands,:,:,:,:,:,:,124.58,:,:,:,:,:,:,:
Annual,Per million inhabitants,Border regions,Poland,:,:,:,:,:,:,:,:,:,:,:,54.68,:,:
Annual,Per million inhabitants,Border regions,Slovenia,:,:,:,:,:,:,:,:,:,:,65.99,69.89,:,:
Annual,Per million inhabitants,Border regions,Slovakia,:,:,:,22.52,:,:,30.28,16.88,31.15,24.05,36.96,37.85,22.32,:
Annual,Per million inhabitants,Border regions,United Kingdom,:,:,20.83,:,18.51,18.74,18.11,:,26.7,48.53,:,44.34,:,:
Annual,Per million inhabitants,Coastal regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Belgium,:,:,:,:,141.26,:,:,:,:,:,:,:,:,:
Annual,Per million inhabitants,Coastal regions,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,376.36,59.96
Annual,Per million inhabitants,Coastal regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Cyprus,30.82,2.77,13.64,57.79,31.67,11.59,16.31,47.61,54.78,35.96,64.67,52.45,34.24,120.24
Annual,Per million inhabitants,Coastal regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Denmark,:,:,:,:,:,:,:,179.77,223.54,:,:,:,272.98,213.76
Annual,Per million inhabitants,Coastal regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,67.06
Annual,Per million inhabitants,Coastal regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Ireland,:,:,54.76,:,135.77,42.25,67.11,60.41,:,29.98,44.43,51.05,64.06,38.79
Annual,Per million inhabitants,Coastal regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Lithuania,:,:,:,:,:,:,11.26,:,:,:,9.05,3.04,6.11,3.08
Annual,Per million inhabitants,Coastal regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Coastal regions,Latvia,:,:,:,:,32.96,:,28.93,9.8,24.57,22.54,13.32,:,45.12,16.71
Annual,Per million inhabitants,Coastal regions,Malta,:,:,:,:,:,:,:,:,14.46,:,485.2,:,757.35,288.62
Annual,Per million inhabitants,Coastal regions,Poland,:,:,:,:,:,:,:,43.58,68.85,87.04,58.73,52.7,57.07,66.16
Annual,Per million inhabitants,Coastal regions,Sweden,103.8,:,125.48,132.1,160.08,164.86,149.97,143.54,132.73,152.8,192.82,:,:,:
Annual,Per million inhabitants,Coastal regions,Slovenia,:,:,:,:,86.6,:,:,:,:,24.73,52.94,52.88,42.33,:
Annual,Per million inhabitants,Coastal regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Intermediate regions,Austria,101.94,136.77,127.23,170.91,162.56,221.92,293.76,261.71,291.61,:,328.51,:,241.21,171.06
Annual,Per million inhabitants,Intermediate regions,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,168.93
Annual,Per million inhabitants,Intermediate regions,Cyprus,30.82,2.77,13.64,57.79,31.67,11.59,16.31,47.61,54.78,35.96,64.67,52.45,34.24,120.24
Annual,Per million inhabitants,Intermediate regions,Czechia,:,:,:,58.73,85.17,84.25,45.73,43.98,63.45,:,55.4,67.18,64.1,28.85
Annual,Per million inhabitants,Intermediate regions,Denmark,:,:,:,:,351.17,303.58,241.29,195.33,242.44,290.93,223.14,240.93,240.07,213.71
Annual,Per million inhabitants,Intermediate regions,Estonia,:,:,:,:,:,55.2,:,:,:,:,6.58,:,:,13.65
Annual,Per million inhabitants,Intermediate regions,Finland,:,41.29,66.06,:,:,94.12,:,71.99,105.74,:,116.49,:,136.33,73.8
Annual,Per million inhabitants,Intermediate regions,Ireland,47.28,393.91,112.67,192.35,858.37,113.93,312.16,167.15,142.7,38.93,75.65,14.66,210.15,39.3
Annual,Per million inhabitants,Intermediate regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Intermediate regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Intermediate regions,Luxembourg,131.61,140.67,351.23,345.35,1068.91,713.11,429.58,386.4,644.73,1021.24,1368.62,1020.59,1255.87,562.26
Annual,Per million inhabitants,Intermediate regions,Latvia,:,:,:,:,:,:,:,3.37,13.89,8.86,5.4,:,11.19,:
Annual,Per million inhabitants,Intermediate regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Intermediate regions,Netherlands,:,:,:,:,:,:,86.87,:,:,:,:,:,:,:
Annual,Per million inhabitants,Intermediate regions,Poland,:,:,:,:,:,:,:,:,73.69,87.25,84.76,79.65,111.05,82.76
Annual,Per million inhabitants,Intermediate regions,Sweden,109.97,89.06,141.11,154.45,159.86,163.41,162.19,141.54,159.36,155.68,175.39,198.87,147.35,121.89
Annual,Per million inhabitants,Intermediate regions,Slovenia,:,25.53,25.46,32.9,57.83,76.0,64.79,84.52,122.52,76.46,85.45,74.29,113.96,78.46
Annual,Per million inhabitants,Intermediate regions,Slovakia,:,:,:,15.53,:,14.46,16.99,7.59,28.22,23.86,42.67,41.24,27.15,:
Annual,Per million inhabitants,Intermediate regions,United Kingdom,:,:,:,:,78.72,:,48.74,:,:,:,:,:,:,:
Annual,Per million inhabitants,Island regions,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Belgium,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Bulgaria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Cyprus,30.82,2.77,13.64,57.79,31.67,11.59,16.31,47.61,54.78,35.96,64.67,52.45,34.24,120.24
Annual,Per million inhabitants,Island regions,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Germany,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Denmark,:,:,:,:,:,:,:,47.33,23.87,:,:,:,25.05,50.19
Annual,Per million inhabitants,Island regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Finland,:,227.73,:,:,:,:,473.48,:,:,:,:,:,:,:
Annual,Per million inhabitants,Island regions,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Ireland,:,:,:,:,:,40.38,63.92,58.47,:,28.54,:,49.16,:,:
Annual,Per million inhabitants,Island regions,Iceland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Liechtenstein,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Malta,:,:,:,:,:,:,:,:,14.46,:,485.2,:,757.35,288.62
Annual,Per million inhabitants,Island regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Norway,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Poland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Romania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Sweden,52.28,:,156.08,52.18,52.36,70.03,175.43,17.48,17.46,69.8,69.88,:,:,:
Annual,Per million inhabitants,Island regions,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Island regions,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Austria,:,:,:,:,:,:,354.78,:,346.5,:,334.69,:,:,:
Annual,Per million inhabitants,Mountain regions,Belgium,:,15.19,25.21,20.0,24.84,9.88,4.91,24.39,28.9,19.15,19.11,38.31,57.3,99.99
Annual,Per million inhabitants,Mountain regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Czechia,:,:,:,78.05,135.54,123.68,62.85,48.59,83.29,:,68.92,84.5,75.55,34.38
Annual,Per million inhabitants,Mountain regions,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Finland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Liechtenstein,1860.44,6531.75,6589.6,3695.75,4037.76,7551.76,3371.83,3761.07,2379.04,2385.2,5537.76,1750.65,2702.99,1169.53
Annual,Per million inhabitants,Mountain regions,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Per million inhabitants,Mountain regions,Poland,:,:,:,:,:,:,:,102.72,142.43,91.3,117.6,127.6,169.51,90.91
Annual,Per million inhabitants,Mountain regions,Sweden,125.05,47.01,94.17,70.85,157.46,133.92,110.33,102.63,23.68,31.67,39.62,86.98,181.44,157.02
Annual,Per million inhabitants,Mountain regions,Slovenia,:,:,:,:,:,:,:,:,:,:,78.51,82.68,:,:
Annual,Per million inhabitants,Mountain regions,Slovakia,:,:,:,12.76,:,8.77,16.39,12.97,30.72,23.64,35.74,34.9,28.15,:
Annual,Per million inhabitants,Non-border regions,Austria,:,:,:,:,193.66,154.81,281.6,189.39,144.88,:,125.62,:,:,:
Annual,Per million inhabitants,Non-border regions,Belgium,43.55,:,127.79,107.37,118.02,130.6,127.87,190.67,291.72,180.49,95.36,88.71,81.99,44.46
Annual,Per million inhabitants,Non-border regions,Switzerland,610.72,:,:,:,:,377.33,:,449.62,801.16,:,:,376.68,372.7,298.3
Annual,Per million inhabitants,Non-border regions,Cyprus,30.82,2.77,13.64,57.79,31.67,11.59,16.31,47.61,54.78,35.96,64.67,52.45,34.24,120.24
