Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Mining and quarrying,Armenia,:,:,:,:,:,52.9 d,59.4 d,68.2 d,73.7 d,68.1 d,100.0 d,108.6 d,124.8 d,106.8 d,133.1,148.5,148.8,140.2
Annual,"Index, 2015=100",Mining and quarrying,Azerbaijan,50.6,73.2,94.5,99.5,112.0,113.3,103.8,99.4,100.1,98.0,100.0,99.3,95.4,95.6,96.0,90.1,91.4,89.3
Annual,"Index, 2015=100",Mining and quarrying,Belarus,:,:,:,:,:,68.2 d,70.0 d,68.7 d,69.7 d,108.5 d,100.0 d,99.2 d,102.5 d,105.7 d,106.1,103.8,:,:
Annual,"Index, 2015=100",Mining and quarrying,Georgia,:,:,:,:,:,75.3,72.3,75.2,70.0,70.5,98.1,108.0,108.1,111.6,116.2,129.4,153.4,191.4
Annual,"Index, 2015=100",Mining and quarrying,Moldova,:,:,:,:,:,89.6 d,114.0 d,89.9 d,109.9 d,110.1 d,100.0 d,84.5 d,80.8 d,89.9 d,87.3 d,96.2 d,107.9 d,102.9 d
Annual,"Index, 2015=100",Mining and quarrying,Ukraine,:,:,122.6 d,116.2 d,105.2 d,110.2 d,117.5 d,119.1 d,120.3 d,111.4 d,100.0 d,101.0 d,97.8 d,101.0 d,99.4 d,96.2 d,97.9 d,68.4 d
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Armenia,70.0 d,69.4 d,71.2 d,72.4 d,66.9 d,70.0 d,79.8 d,86.8 d,92.7 d,95.2 d,100.0 d,106.5 d,119.6 d,124.6 d,135.6,136.4,141.4,153.8
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Azerbaijan,52.0 d,71.1 d,88.1 d,93.4 d,101.5 d,104.1 d,98.9 d,96.6 d,98.3 d,97.7 d,100.0 d,99.5 d,96.1 d,97.6 d,99.3 d,95.3 d,100.1 d,99.0 d
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Belarus,65.6 d,73.0 d,79.3 d,88.3 d,85.6 d,95.6 d,104.3 d,110.5 d,105.1 d,107.1 d,100.0 d,99.6 d,105.7 d,111.7 d,112.8,112.0,:,:
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Georgia,:,:,:,:,:,80.7,88.7,98.3,104.6,106.5,100.1,104.0,107.6,112.3,116.1,109.6,127.2,146.2
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Moldova,:,:,:,:,:,79.6 d,88.0 d,85.6 d,91.6 d,98.3 d,100.0 d,104.7 d,107.5 d,111.8 d,113.9 d,107.1 d,120.3 d,115.1 d
