Time frequency,Source of funds,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Business enterprise sector,Percentage of total,Austria,45.69 e,48.75,47.7 e,49.74,52.99 e,54.65,53.09 e,54.85,49.8 e,52.96,51.67 e,51.15 p
Annual,Business enterprise sector,Percentage of total,Bosnia and Herzegovina,17.11,16.44,41.67,:,:,:,:,36.12,29.35,38.67,:,:
Annual,Business enterprise sector,Percentage of total,Belgium,60.61,60.57,:,58.6,:,63.49,:,64.29,:,64.42,:,:
Annual,Business enterprise sector,Percentage of total,Bulgaria,20.77,19.51,22.25,35.58,43.61,43.21,43.13,37.64,35.43,32.93,34.74,:
Annual,Business enterprise sector,Percentage of total,Switzerland,60.79,:,:,61.93,:,64.44,:,64.7,:,65.91,:,:
Annual,Business enterprise sector,Percentage of total,China except Hong Kong,74.04,74.6,75.42,74.73,76.06,76.48,76.63,76.26,77.46,78.01,79.02,:
Annual,Business enterprise sector,Percentage of total,Cyprus,12.95,15.77,18.95,20.05,34.93,32.76,34.82,36.39,37.99,35.66,:,:
Annual,Business enterprise sector,Percentage of total,Czechia,36.38,37.6,35.93,34.53,39.54,39.32,39.91,38.18,35.59,36.05,37.23,37.59 p
Annual,Business enterprise sector,Percentage of total,Germany,66.07,65.44,65.98,65.67,65.22,66.18,66.01,64.46,62.61,62.78,:,:
Annual,Business enterprise sector,Percentage of total,Denmark,59.9 e,59.03,:,59.11,:,57.12,:,59.56 p,:,:,:,:
Annual,Business enterprise sector,Percentage of total,Euro area - 19 countries  (2015-2022),57.09 e,57.07 e,57.5 e,57.58 e,58.35 e,59.49 e,59.68 e,59.46,58.16 e,58.12,:,:
Annual,Business enterprise sector,Percentage of total,Euro area – 20 countries (from 2023),57.06 e,57.04 e,57.48 e,57.57 e,58.32 e,59.47 e,59.63 e,59.41,58.12 e,58.07,:,:
Annual,Business enterprise sector,Percentage of total,Estonia,51.29,42.05,37.06,41.01,48.24,43.57,40.83,49.11,50.13,50.95,49.47,:
