Time frequency,Unit of measure,Sex,Age class,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,8.7,9.5,10.8 b,10.6,11.7,12.5,10.9,10.0,11.7,13.6 b,10.8,10.9
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,24.7 b,25.1,22.9
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,12.1,13.5,14.3 b,14.8,14.5,13.1 b,11.9,10.4,10.7,12.9 b,11.4,11.4
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,27.0,28.5,27.5 b,24.7,21.9,17.9,15.2,12.9 b,13.8,15.5 b,12.4,12.6
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,8.2,8.8,9.2 b,9.3,9.8,8.5,8.4,8.0,8.6,9.9 b,8.6,7.6
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,12.6,18.0,19.4 b,17.9,15.7,13.3,9.1,7.0,7.5,7.9 b,6.7,5.4
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,25.5,23.4,20.7 b,20.7,19.2,11.9,9.4,10.2,9.6,11.7 b,11.6,11.3
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,12.7 b,12.3,12.0 b,11.4,10.0,9.2,8.5,7.7,8.8 b,7.0 b,6.2,5.8
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,9.9,9.9,9.1 b,8.9,6.8 b,6.8 b,6.7,6.2,7.3,6.8 b,5.6,6.8 b
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area – 20 countries (from 2023),17.9,19.4,19.2 b,18.1,16.9,15.6,14.0,13.0,12.9,12.8 b,11.3,10.8
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,21.7,13.7,11.7 b,11.5,11.8,9.7,8.7,7.8,10.7,12.0 b,7.7,9.4
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,25.1,28.7,27.6 b,26.2,26.2,23.9,21.9,20.7,19.4,16.6 b,14.4,12.3
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,31.1,32.7,31.4 b,28.9,26.1,23.4,20.5,18.9,20.0,20.0 bd,17.9 d,16.5 d
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 27 countries (from 2020),17.4,18.8,18.4 b,17.4,16.3,15.0,13.4,12.4,12.6,12.7 b,11.4,10.9
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,11.6,12.2,12.5 b,12.3,11.8,12.9,11.5,11.1,12.4,13.6 b,12.3,13.1
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",France,12.9,14.0 b,14.8 b,15.5,15.9,15.1,14.1,13.3,11.8,12.0 bd,11.2 d,11.0 d
