Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Armenia,-1.4 d,-2.4 d,-4.7 d,4.0 d,5.4 d,-3.5 d,1.0 d,-7.5,-2.7,1.8,-0.5,-0.3,-3.4,9.9,-5.5,-1.4,-8.5,:
Annual,Percentage,Azerbaijan,-10.8,-25.3,-12.7,-7.2,26.2,-6.5,-6.5,4.5,5.3 p,4.8,15.7,-2.6,-6.4,0.9,21.4,14.2,-13.8,-17.9
Annual,Percentage,Belarus,5.8 d,4.0 d,-2.7 d,-4.2 d,3.1,4.5,-14.3,6.4,16.7,-1.6,-1.1,-0.5,0.1,1.7,2.1,4.5 p,:,:
Annual,Percentage,Georgia,-0.3 d,-2.4 d,8.6 d,24.0 d,15.1 d,:,6.0 d,4.0 d,6.5 d,-2.1 d,2.1 d,7.8 d,-3.2 d,-0.7 d,2.4 d,-1.7 d,-4.9 d,3.0 d
Annual,Percentage,Moldova,:,1.3,-1.9,6.1,9.4,-9.5,-3.1,6.2,-5.2,-3.5,-2.7 bd,0.6 d,1.9,8.5 d,3.6 d,5.1 d,-4.6 d,:
