Time frequency,Unit of measure,Forestry indicators,Geopolitical entity (reporting)\Time,1990.0,2000.0,2010.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Thousand cubic metres,Growing stock of forests,Austria,927000.0,1067000.0,1126000.0,1146000.0,1150000.0,1154000.0,1158000.0,1162000.0,1166000.0
Annual,Thousand cubic metres,Growing stock of forests,Bosnia and Herzegovina,291000.0,358000.0,389310.0,399660.0,402610.0,404720.0,404720.0,404720.0,404720.0
Annual,Thousand cubic metres,Growing stock of forests,Belgium,:,:,:,179500.0,:,:,:,:,:
Annual,Thousand cubic metres,Growing stock of forests,Bulgaria,405890.0,526500.0,646500.0,680360.0,695220.0,712990.0,730860.0,748840.0,766920.0
Annual,Thousand cubic metres,Growing stock of forests,Switzerland,394300.0,415840.0,430260.0,439690.0,441580.0,443460.0,445350.0,447240.0,449120.0
Annual,Thousand cubic metres,Growing stock of forests,Czechia,624430.0,698680.0,754610.0,768150.0,771780.0,775370.0,782250.0,786470.0,790680.0
Annual,Thousand cubic metres,Growing stock of forests,Germany,2815000.0,3381000.0,3617000.0,3663000.0,3663000.0,3663000.0,3663000.0,3663000.0,3663000.0
Annual,Thousand cubic metres,Growing stock of forests,Denmark,65860.0,91550.0,116930.0,131160.0,131680.0,132100.0,132300.0,132500.0,132690.0
Annual,Thousand cubic metres,Growing stock of forests,Estonia,393300.0,428660.0,456100.0,491780.0,492600.0,494150.0,494150.0,494150.0,494150.0
Annual,Thousand cubic metres,Growing stock of forests,Greece,161790.0,176320.0,191830.0,191830.0,191830.0,191830.0,191830.0,191830.0,191830.0
Annual,Thousand cubic metres,Growing stock of forests,Spain,560180.0,906050.0,1035340.0,1059450.0,1103930.0,1106890.0,1107550.0,1108200.0,1108850.0
Annual,Thousand cubic metres,Growing stock of forests,European Union - 27 countries (from 2020),18976120.0,21485870.0,24451730.0,26582730.0,26576740.0,26743540.0,26903850.0,27066700.0,27228790.0
Annual,Thousand cubic metres,Growing stock of forests,European Union - 28 countries (2013-2020),19346120 d,21969870.0,25048730.0,27219730.0,27221740.0,27396540.0,27564850.0,27735700.0,:
Annual,Thousand cubic metres,Growing stock of forests,Finland,1878000.0,2078000.0,2343070.0,2448850.0,2448850.0,2448850.0,2448850.0,2448850.0,2448850.0
Annual,Thousand cubic metres,Growing stock of forests,France,2077410.0,2254280.0,2648610.0,2855810.0,2895810.0,2935820.0,2975820.0,3015830.0,3055830.0
Annual,Thousand cubic metres,Growing stock of forests,Croatia,310340.0,360130.0,409900.0,414940.0,418610.0,421170.0,423050.0,425140.0,427220.0
Annual,Thousand cubic metres,Growing stock of forests,Hungary,290880.0,326410.0,359010.0,378530.0,381900.0,386000.0,389300.0,393100.0,397030.0
Annual,Thousand cubic metres,Growing stock of forests,Ireland,:,:,94370.0,113960.0,117400.0,120120.0,120750.0,121370.0,122000.0
Annual,Thousand cubic metres,Growing stock of forests,Italy,846260.0,1058710.0,1277470.0,1384340.0,1392350.0,1400360.0,1408370.0,1416380.0,1424400.0
Annual,Thousand cubic metres,Growing stock of forests,Liechtenstein,2990.0,2870.0,2740.0,2740.0,2740.0,2740.0,2740.0,2740.0,2740.0
Annual,Thousand cubic metres,Growing stock of forests,Lithuania,413000.0,449500.0,489850.0,537050.0,542700.0,546900.0,551500.0,555600.0,559130.0
Annual,Thousand cubic metres,Growing stock of forests,Luxembourg,20380.0,25950.0,31260.0,32730.0,33100.0,33450.0,33800.0,34150.0,34600.0
Annual,Thousand cubic metres,Growing stock of forests,Latvia,442000.0,537000.0,639900.0,656110.0,659360.0,662600.0,665840.0,669080.0,672320.0
Annual,Thousand cubic metres,Growing stock of forests,Netherlands,52390.0,61100.0,76000.0,79020.0,79760.0,80500.0,81250.0,81990.0,82740.0
Annual,Thousand cubic metres,Growing stock of forests,Norway,788000.0,898000.0,1069000.0,1151000.0,1167400.0,1183800.0,1200200.0,1216600.0,1233000.0
Annual,Thousand cubic metres,Growing stock of forests,Poland,1485000.0,1736000.0,2371730.0,2549740.0,2586840.0,2623000.0,2658000.0,2694000.0,2730000.0
Annual,Thousand cubic metres,Growing stock of forests,Portugal,:,:,170400.0,171060.0,:,:,:,:,:
Annual,Thousand cubic metres,Growing stock of forests,Romania,1347500.0,1346400.0,1377900.0,2221630.0,2354790.0,2354790.0,2354790.0,2354790.0,2354790.0
Annual,Thousand cubic metres,Growing stock of forests,Sweden,3184670.0,3184670.0,3294650.0,3477630.0,3512890.0,3548140.0,3583400.0,3618650.0,3653910.0
Annual,Thousand cubic metres,Growing stock of forests,Slovenia,273240.0,332910.0,406120.0,414820.0,414230.0,413840.0,411520.0,413110.0,414180.0
Annual,Thousand cubic metres,Growing stock of forests,Slovakia,401600.0,459050.0,517180.0,535280.0,538110.0,537670.0,537670.0,537670.0,537670.0
Annual,Thousand cubic metres,Growing stock of forests,United Kingdom,370000.0,484000.0,597000.0,637000.0,645000.0,653000.0,661000.0,669000.0,677000.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Switzerland,:,550.0,800.0,920.0,950.0,970.0,1000.0,1020.0,1040.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Denmark,3700.0,3700.0,1080.0,450.0,440.0,440.0,420.0,400.0,380.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Estonia,6300.0,6840.0,4390.0,4420.0,4050.0,3980.0,3980.0,3980.0,3980.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Spain,1750.0,1780.0,1950.0,2110.0,:,:,:,:,:
Annual,Thousand cubic metres,Growing stock of other wooded land,Finland,7000.0,5240.0,7650.0,7130.0,7130.0,7130.0,7130.0,7130.0,7130.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Croatia,2850.0,4270.0,5700.0,5850.0,6300.0,6260.0,6290.0,6320.0,6350.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Lithuania,2400.0,2500.0,2500.0,2150.0,2150.0,2150.0,2150.0,2150.0,2150.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Latvia,1950.0,2080.0,2590.0,2530.0,2510.0,2500.0,2490.0,2470.0,2460.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Norway,4860.0,5870.0,7180.0,8240.0,8450.0,8660.0,8880.0,9090.0,9300.0
Annual,Thousand cubic metres,Growing stock of other wooded land,Portugal,:,:,2550.0,2220.0,:,:,:,:,:
