Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Ventspils   - Jelgava,Goods trains,Number,1216.0
Annual,Ventspils   - Jelgava,Other trains,Number,474.0
Annual,Ventspils   - Jelgava,Passenger trains,Number,0.0
Annual,Liep?ja   - Jelgava,Goods trains,Number,1619.0
Annual,Liep?ja   - Jelgava,Other trains,Number,1403.0
Annual,Liep?ja   - Jelgava,Passenger trains,Number,359.0
Annual,Valka - Meitene,Goods trains,Number,5568.0
Annual,Valka - Meitene,Other trains,Number,6050.0
Annual,Valka - Meitene,Passenger trains,Number,44343.0
Annual,R?ga  - Krustpils,Goods trains,Number,6593.0
Annual,R?ga  - Krustpils,Other trains,Number,3547.0
Annual,R?ga  - Krustpils,Passenger trains,Number,11537.0
Annual,Jelgava   - Krustpils,Goods trains,Number,1563.0
Annual,Jelgava   - Krustpils,Other trains,Number,431.0
Annual,Jelgava   - Krustpils,Passenger trains,Number,0.0
Annual,Krustpils   - Daugavpils,Goods trains,Number,2595.0
Annual,Krustpils   - Daugavpils,Other trains,Number,359.0
Annual,Krustpils   - Daugavpils,Passenger trains,Number,1269.0
Annual,Zilupe - Krustpils,Goods trains,Number,3990.0
Annual,Zilupe - Krustpils,Other trains,Number,803.0
Annual,Zilupe - Krustpils,Passenger trains,Number,847.0
Annual,Daugavpils  - Indra,Goods trains,Number,3027.0
Annual,Daugavpils  - Indra,Other trains,Number,837.0
Annual,Daugavpils  - Indra,Passenger trains,Number,38.0
Annual,K?rsava   - Eglaine,Goods trains,Number,1523.0
Annual,K?rsava   - Eglaine,Other trains,Number,1602.0
Annual,K?rsava   - Eglaine,Passenger trains,Number,0.0
Annual,Jelgava - Ventspils,Goods trains,Number,1241.0
Annual,Jelgava - Ventspils,Other trains,Number,462.0
Annual,Jelgava - Ventspils,Passenger trains,Number,0.0
Annual,Jelgava - Liep?ja,Goods trains,Number,1359.0
Annual,Jelgava - Liep?ja,Other trains,Number,1526.0
Annual,Jelgava - Liep?ja,Passenger trains,Number,359.0
Annual,Meitene  - Valka,Goods trains,Number,5907.0
Annual,Meitene  - Valka,Other trains,Number,6252.0
Annual,Meitene  - Valka,Passenger trains,Number,44321.0
Annual,Krustpils - R?ga,Goods trains,Number,4835.0
Annual,Krustpils - R?ga,Other trains,Number,3584.0
Annual,Krustpils - R?ga,Passenger trains,Number,11563.0
Annual,Krustpils - Jelgava,Goods trains,Number,2265.0
Annual,Krustpils - Jelgava,Other trains,Number,739.0
Annual,Krustpils - Jelgava,Passenger trains,Number,0.0
Annual,Daugavpils  - Krustpils,Goods trains,Number,2973.0
Annual,Daugavpils  - Krustpils,Other trains,Number,323.0
Annual,Daugavpils  - Krustpils,Passenger trains,Number,1301.0
Annual,Krustpils - Zilupe,Goods trains,Number,3138.0
Annual,Krustpils - Zilupe,Other trains,Number,704.0
Annual,Krustpils - Zilupe,Passenger trains,Number,848.0
Annual,Indra  - Daugavpils,Goods trains,Number,3422.0
Annual,Indra  - Daugavpils,Other trains,Number,668.0
Annual,Indra  - Daugavpils,Passenger trains,Number,37.0
Annual,Eglaine - K?rsava,Goods trains,Number,1750.0
Annual,Eglaine - K?rsava,Other trains,Number,1430.0
Annual,Eglaine - K?rsava,Passenger trains,Number,0.0
