Time frequency,Unit of measure,Hazard class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Waste categories,Geopolitical entity (reporting)\Time,2004.0,2006.0,2008.0,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Albania,:,:,:,:,:,:,:,:,:,0 d
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Austria,3441041.0,3711839.0,3819277.0,4622626.0,4020113.0,4170023.0,4268278.0,4407376.0,4630301.0,4456669.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Bosnia and Herzegovina,:,:,:,:,0.0,:,:,920541.0,922843.0,929136.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Belgium,5325207 e,4745161 e,4459161.0,5862032.0,5294743.0,5419042.0,5041207.0,4885123.0,5342390.0,4807402.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Bulgaria,2633592.0,2928981.0,2907121.0,3529458.0,2754523.0,2683016.0,2840316.0,3145709.0,2312155.0,2525106.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Cyprus,367353.0,356520.0,432858.0,461227.0,369586.0,323859.0,394911.0,386668.0,378382.0,381695.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Czechia,2841428.0,3482017.0,3176176.0,3334240.0,3232642.0,3260580.0,3579613.0,5804841 b,6108373.0,4310993.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Germany,38007849.0,34626019.0,35754996.0,36311611.0,36471810.0,36887634.0,37409896.0,37308892.0,38474001.0,36328252.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Denmark,2016209.0,2069635.0,2514155.0,3550267.0,3332998.0,3580549.0,3480305.0,3517972.0,3617933.0,3259317.0
Annual,Tonne,Hazardous and non-hazardous - total,Households,Total waste,Estonia,401989.0,411633.0,439973.0,430499.0,436420.0,482244.0,429882.0,548242.0,550331.0,581247.0
