Time frequency,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From minimum compulsory school age to 12 years,European Union - 28 countries (2013-2020),:,:,:,:,:,10.0,10.0,9.0 e,10.0,9.0,9.0,9.0,9.0,9.0,8.6 e,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Finland,10.0,10.0,10.0,10.0,10.0,:,:,:,:,:,:,20.0,:,:,:,:,:,:,:
Annual,From minimum compulsory school age to 12 years,France,8.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0 b,8.0,8.0 b,:
Annual,From minimum compulsory school age to 12 years,Croatia,:,:,:,:,:,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Hungary,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,8.0,10.0,8.0,8.0,6.0,8.0,6.0,:
Annual,From minimum compulsory school age to 12 years,Ireland,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0 b,10.0,12.0,:
Annual,From minimum compulsory school age to 12 years,Iceland,10.0,10.0,10.0,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,:,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Italy,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:,10.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Lithuania,20.0,16.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,12.0,10.0,10.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Luxembourg,8.0,8.0,7.0,8.0,6.0,8.0,8.0,10.0,10.0,10.0,9.0,10.0,8.0,8.0,8.0,13.0 b,9.0 b,5.0 b,:
Annual,From minimum compulsory school age to 12 years,Latvia,15.0,20.0,21.0,40.0,35.0,28.0,30.0,10.0,14.0,15.0,16.0,15.0,10.0,10.0,10.0,15.0,20.0,10.0,:
Annual,From minimum compulsory school age to 12 years,North Macedonia,:,:,:,:,:,:,:,:,:,25.0,20.0,25.0,20.0,20.0,25.0,20.0,:,:,:
Annual,From minimum compulsory school age to 12 years,Malta,10.0,10.0,10.0,10.0,8.0,6.0,7.0,10.0,8.0,8.0,7.0,6.0,8.0,10.0,10.0,10.0,8.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Netherlands,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,:
Annual,From minimum compulsory school age to 12 years,Norway,6.0,8.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,10.0 b,5.0,:
Annual,From minimum compulsory school age to 12 years,Poland,15.0,15.0,15.0,12.0,12.0,15.0,15.0,15.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Portugal,10.0,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:
Annual,From minimum compulsory school age to 12 years,Romania,:,:,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.0,20.0,:
Annual,From minimum compulsory school age to 12 years,Serbia,:,:,:,:,:,:,:,:,:,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,:,:
Annual,From minimum compulsory school age to 12 years,Sweden,10.0,15.0,10.0,10.0,9.0,10.0,8.0,6.0,10.0,7.0,10.0,10.0,6.0,6.0,10.0,10.0,4.0,4.0,:
Annual,From minimum compulsory school age to 12 years,Slovenia,10.0,10.0,8.0,10.0,5.0,5.0,8.0,7.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,10.0,5.0,:
