Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,13.8
Annual,Median equivalised income,Above 60%,Percentage,Austria,27.9
Annual,Median equivalised income,Above 60%,Percentage,Belgium,19.4
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,50.9
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,43.8
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,43.4
Annual,Median equivalised income,Above 60%,Percentage,Czechia,44.6
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,21.8
Annual,Median equivalised income,Above 60%,Percentage,Estonia,50.1
Annual,Median equivalised income,Above 60%,Percentage,Greece,59.5
Annual,Median equivalised income,Above 60%,Percentage,Spain,27.5
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),32.0 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,20.4
Annual,Median equivalised income,Above 60%,Percentage,France,31.1
Annual,Median equivalised income,Above 60%,Percentage,Croatia,58.8
Annual,Median equivalised income,Above 60%,Percentage,Hungary,38.5
Annual,Median equivalised income,Above 60%,Percentage,Ireland,33.1
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,47.9 u
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,22.3
Annual,Median equivalised income,Above 60%,Percentage,Latvia,46.2
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,46.2
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,39.1
Annual,Median equivalised income,Above 60%,Percentage,Malta,38.7
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,28.3
Annual,Median equivalised income,Above 60%,Percentage,Norway,15.3
Annual,Median equivalised income,Above 60%,Percentage,Poland,45.1
Annual,Median equivalised income,Above 60%,Percentage,Portugal,19.9
Annual,Median equivalised income,Above 60%,Percentage,Romania,57.1
Annual,Median equivalised income,Above 60%,Percentage,Serbia,49.7
Annual,Median equivalised income,Above 60%,Percentage,Sweden,18.1
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,47.3
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,48.0
Annual,Median equivalised income,Below 60%,Percentage,Albania,1.0
Annual,Median equivalised income,Below 60%,Percentage,Austria,41.3
Annual,Median equivalised income,Below 60%,Percentage,Belgium,30.9
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,19.4
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,27.7
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,34.6
Annual,Median equivalised income,Below 60%,Percentage,Czechia,40.1
Annual,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,21.0
Annual,Median equivalised income,Below 60%,Percentage,Estonia,61.3
Annual,Median equivalised income,Below 60%,Percentage,Greece,59.8
Annual,Median equivalised income,Below 60%,Percentage,Spain,26.6
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),28.9 u
Annual,Median equivalised income,Below 60%,Percentage,Finland,10.8
Annual,Median equivalised income,Below 60%,Percentage,France,26.4
Annual,Median equivalised income,Below 60%,Percentage,Croatia,47.4
Annual,Median equivalised income,Below 60%,Percentage,Hungary,29.3
Annual,Median equivalised income,Below 60%,Percentage,Ireland,22.6
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,56.6 u
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,15.9
Annual,Median equivalised income,Below 60%,Percentage,Latvia,36.7
