Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2002.0,2007.0,2012.0,2017.0
Annual,Total,Hectare,Total,Apricot trees,Austria,469.78,593.95,850.72,1004.61
Annual,Total,Hectare,Total,Apricot trees,Bulgaria,:,2610.4,2942.87,3388.23
Annual,Total,Hectare,Total,Apricot trees,Cyprus,:,269.0,179.97,185.98
Annual,Total,Hectare,Total,Apricot trees,Czechia,:,1788.41,1636.88,1152.21
Annual,Total,Hectare,Total,Apricot trees,Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Greece,4994.2,3928.53,4670.81,4902.68
Annual,Total,Hectare,Total,Apricot trees,Spain,22615.4,18699.9,20349.59,24064.83
Annual,Total,Hectare,Total,Apricot trees,European Union - 27 countries (from 2020),:,:,:,75697.21
Annual,Total,Hectare,Total,Apricot trees,European Union - 28 countries (2013-2020),:,:,67592.98,75697.21
Annual,Total,Hectare,Total,Apricot trees,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,France,14924.2,13804.3,12488.62,13615.65
Annual,Total,Hectare,Total,Apricot trees,Croatia,:,:,212 e,:
Annual,Total,Hectare,Total,Apricot trees,Hungary,:,4999.37,3836.05,5404.22
Annual,Total,Hectare,Total,Apricot trees,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Italy,15574.5,15648.9,16590.8,18893.85
Annual,Total,Hectare,Total,Apricot trees,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Apricot trees,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Poland,:,1059.65,680.44,723.12
Annual,Total,Hectare,Total,Apricot trees,Portugal,490.91,282.86,402 e,:
Annual,Total,Hectare,Total,Apricot trees,Romania,:,3434.19,2712.94,2361.81
Annual,Total,Hectare,Total,Apricot trees,Serbia,:,:,:,5787.0
Annual,Total,Hectare,Total,Apricot trees,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Apricot trees,Slovenia,:,22.86,39.3,:
Annual,Total,Hectare,Total,Apricot trees,Slovakia,:,227.34,: @C,:
Annual,Total,Hectare,Total,Apricot trees,United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert apple trees,Austria,6952.41,7229.32,7907.95,7674.63
Annual,Total,Hectare,Total,Dessert apple trees,Belgium,8248.89,6833.05,6398.2,5788.59
Annual,Total,Hectare,Total,Dessert apple trees,Bulgaria,:,4121.39,5239.1,4957.99
Annual,Total,Hectare,Total,Dessert apple trees,Cyprus,:,925.0,527.56,376.76
Annual,Total,Hectare,Total,Dessert apple trees,Czechia,:,9895.36,10487.01,7818.6
Annual,Total,Hectare,Total,Dessert apple trees,Germany,28050.1,27887.8,27708.54,28260.96
Annual,Total,Hectare,Total,Dessert apple trees,Denmark,1397.58,1506.5,1347.53,1254.98
Annual,Total,Hectare,Total,Dessert apple trees,Estonia,:,690.2,600 e,:
Annual,Total,Hectare,Total,Dessert apple trees,Greece,10379.0,9336.84,8703.93,9377.35
Annual,Total,Hectare,Total,Dessert apple trees,Spain,36292.6,24821.9,22646.43,23222.34
Annual,Total,Hectare,Total,Dessert apple trees,European Union - 27 countries (from 2020),:,:,:,457528.41
Annual,Total,Hectare,Total,Dessert apple trees,European Union - 28 countries (2013-2020),:,:,440997.78,463271.49
Annual,Total,Hectare,Total,Dessert apple trees,Finland,515.62,436.68,666.51,:
Annual,Total,Hectare,Total,Dessert apple trees,France,47593.3,40113.1,36741.17,38298.3
Annual,Total,Hectare,Total,Dessert apple trees,Croatia,:,:,4798.64,4459.08
Annual,Total,Hectare,Total,Dessert apple trees,Hungary,:,33793.1,25265.3,25044.02
Annual,Total,Hectare,Total,Dessert apple trees,Ireland,150.66,149.41,121.59,:
