Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Austria,17415.0,17500.0,28035.0,88160.0,42255.0,24715.0,13710.0,12860.0,14760.0,39900.0,112245.0,59210.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Belgium,28075.0,21030.0,22710.0,44665.0,18280.0,18340.0,22530.0,27460.0,16710.0,24970.0,36740.0,35160.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Bulgaria,1385.0,7145.0,11080.0,20390.0,19420.0,3695.0,2535.0,2150.0,3525.0,11000.0,20390.0,22510.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Switzerland,28400.0,21305.0,23560.0,39445.0,27140.0,18015.0,15160.0,14195.0,10990.0,14850.0,24440.0,30110.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Cyprus,1635.0,1255.0,1745.0,2265.0,2940.0,4600.0,7765.0,13650.0,7495.0,13670.0,22190.0,11910.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Czechia,740.0,695.0,1145.0,1515.0,1475.0,1445.0,1690.0,1915.0,1160.0,1405.0,1685.0,1405.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Germany,77485.0,126705.0,202645.0,476510.0,745160.0,222565.0,184180.0,165615.0,121955.0,190545.0,243835.0,351510.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Denmark,6045.0,7170.0,14680.0,20935.0,6180.0,3220.0,3570.0,2700.0,1475.0,2080.0,4565.0,2455.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Estonia,75.0,95.0,155.0,230.0,175.0,190.0,95.0,105.0,50.0,80.0,2945.0,3985.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Greece,9575.0,8225.0,9430.0,13205.0,51110.0,58650.0,66965.0,77275.0,40560.0,28355.0,37375.0,64225.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Spain,2565.0,4485.0,5615.0,14780.0,15755.0,36610.0,54050.0,117800.0,88530.0,65295.0,117945.0,162420.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,European Union - 27 countries (from 2020),:,400515.0,594180.0,1282690.0,1221185.0,677470.0,632615.0,702830.0,476360.0,638410.0,960725.0,1130345.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Finland,3095.0,3210.0,3620.0,32345.0,5605.0,4995.0,4500.0,4520.0,3190.0,2525.0,5780.0,5335.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,France,61440.0,66265.0,64310.0,76165.0,84270.0,99330.0,137665.0,151070.0,93200.0,120685.0,156455.0,166880.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Croatia,:,1080.0,450.0,210.0,2225.0,975.0,800.0,1400.0,1605.0,2550.0,2730.0,1750.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Hungary,2155.0,18895.0,42775.0,177135.0,29430.0,3390.0,670.0,500.0,115.0,40.0,45.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Ireland,955.0,945.0,1450.0,3275.0,2245.0,2930.0,3670.0,4780.0,1565.0,2650.0,13660.0,13275.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Iceland,115.0,125.0,170.0,370.0,1125.0,1085.0,775.0,845.0,640.0,870.0,4550.0,4155.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Italy,17335.0,26620.0,64625.0,83540.0,122960.0,128850.0,59950.0,43770.0,26940.0,53610.0,84290.0,135820.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Liechtenstein,70.0,55.0,65.0,150.0,80.0,150.0,165.0,50.0,35.0,95.0,80.0,80.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Lithuania,645.0,400.0,440.0,315.0,430.0,545.0,405.0,645.0,315.0,3940.0,1025.0,575.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Luxembourg,2050.0,1070.0,1150.0,2505.0,2160.0,2430.0,2335.0,2270.0,1345.0,1415.0,2460.0,2685.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Latvia,205.0,195.0,375.0,330.0,350.0,355.0,185.0,195.0,180.0,615.0,620.0,1700.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Montenegro,:,:,:,:,:,:,3100.0,1920.0,540.0,270.0,175.0,145.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Malta,2080.0,2250.0,1350.0,1845.0,1930.0,1840.0,2130.0,4090.0,2480.0,1595.0,1320.0,855.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Netherlands,13095.0,13060.0,24495.0,44970.0,20945.0,18210.0,24025.0,25200.0,15255.0,26525.0,37025.0,39710.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Norway,9680.0,11930.0,11415.0,31115.0,3490.0,3520.0,2660.0,2265.0,1375.0,1635.0,4840.0,5350.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Poland,10750.0,15240.0,8020.0,12190.0,12305.0,5045.0,4110.0,4070.0,2785.0,7795.0,9810.0,9475.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Portugal,295.0,500.0,440.0,895.0,1460.0,1750.0,1285.0,1820.0,1000.0,1540.0,2115.0,2695.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Romania,2510.0,1495.0,1545.0,1260.0,1880.0,4815.0,2135.0,2590.0,6155.0,9585.0,12355.0,10095.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Sweden,43855.0,54270.0,81185.0,162450.0,28795.0,26330.0,28605.0,30325.0,20195.0,20375.0,23805.0,17010.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Slovenia,295.0,270.0,385.0,275.0,1310.0,1475.0,2875.0,3820.0,3550.0,5300.0,6785.0,7260.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,Slovakia,730.0,440.0,330.0,330.0,145.0,160.0,175.0,230.0,280.0,370.0,545.0,410.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Asylum applicant,United Kingdom,28800.0,30585.0,32785.0,40160.0,39735.0,34780.0,38840.0,46055.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Austria,:,:,25675.0,85505.0,39875.0,22455.0,11580.0,10985.0,13400.0,37800.0,109775.0,56135.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Belgium,18335.0,11965.0,14045.0,38990.0,14250.0,14035.0,18130.0,23105.0,12905.0,19545.0,32100.0,29260.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Bulgaria,1230.0,6980.0,10805.0,20160.0,18990.0,3470.0,2465.0,2075.0,3460.0,10890.0,20260.0,22390.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Switzerland,25780.0,19315.0,21940.0,38060.0,25825.0,16615.0,13465.0,12545.0,9725.0,13240.0,23075.0,26820.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Cyprus,1590.0,1150.0,1480.0,2105.0,2840.0,4475.0,7610.0,12695.0,7065.0,13260.0,21590.0,11660.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Czechia,505.0,490.0,905.0,1235.0,1200.0,1140.0,1350.0,1570.0,790.0,1055.0,1335.0,1130.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Germany,64410.0,109375.0,172945.0,441805.0,722270.0,198255.0,161885.0,142450.0,102525.0,148175.0,217735.0,329035.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Denmark,6045.0,7170.0,14535.0,20825.0,6055.0,3125.0,3465.0,2605.0,1420.0,1995.0,4475.0,2355.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Estonia,75.0,95.0,145.0,225.0,150.0,180.0,90.0,100.0,45.0,75.0,2940.0,3980.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Greece,9575.0,7860.0,7585.0,11370.0,49875.0,56940.0,64975.0,74910.0,37860.0,22660.0,29125.0,57895.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Spain,2350.0,4285.0,5460.0,14600.0,15570.0,33035.0,52730.0,115175.0,86380.0,62050.0,116135.0,160460.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,European Union - 27 countries (from 2020),:,:,530560.0,1216860.0,1166815.0,620265.0,564680.0,628930.0,415235.0,535985.0,873680.0,1049550.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Finland,2905.0,2985.0,3490.0,32150.0,5275.0,4330.0,2950.0,2445.0,1445.0,1355.0,4815.0,4450.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,France,54265.0,60475.0,58845.0,70570.0,76790.0,91965.0,126580.0,138290.0,81735.0,103790.0,137510.0,145095.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Croatia,:,1045.0,380.0,140.0,2150.0,880.0,675.0,1265.0,1540.0,2480.0,2660.0,1635.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Hungary,:,18565.0,41215.0,174435.0,28215.0,3115.0,635.0,465.0,90.0,40.0,45.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Ireland,940.0,940.0,1440.0,3270.0,2235.0,2910.0,3655.0,4740.0,1535.0,2615.0,13645.0,13220.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Iceland,:,:,:,360.0,1100.0,1065.0,730.0,805.0,625.0,865.0,4530.0,4120.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Italy,17170.0,25720.0,63655.0,82790.0,121185.0,126550.0,53440.0,35005.0,21330.0,45200.0,77200.0,130565.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Liechtenstein,:,:,:,:,75.0,145.0,145.0,40.0,25.0,80.0,70.0,70.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Lithuania,560.0,250.0,385.0,275.0,415.0,520.0,385.0,625.0,260.0,3905.0,905.0,510.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Luxembourg,2000.0,990.0,1030.0,2360.0,2065.0,2320.0,2225.0,2200.0,1295.0,1365.0,2405.0,2615.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Latvia,190.0,185.0,365.0,330.0,345.0,355.0,175.0,180.0,145.0,580.0,545.0,1625.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Montenegro,:,:,:,:,:,:,3100.0,1920.0,540.0,270.0,175.0,145.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Malta,2060.0,2200.0,1275.0,1695.0,1735.0,1610.0,2035.0,4015.0,2410.0,1200.0,915.0,490.0
